Id,Name,Categories,Species,Lat,Lng,Lat/Lng,"Address Override","Street Num",Street,Suburb,State,Postcode,Country,"Last Known Status",Tags,"Owned By","Contracted To","Map URL","Profile URL"
633d2,"Ruby Fur Farm (USA)","Farm (skins/fur)",,41.363544,-92.571632,"41.363544, -92.571632",,,"200th Street","New Sharon",IA,50207,"United States",Open,,,,https://www.farmtransparency.org/map?location=633d2,https://www.farmtransparency.org/facilities/633d2-ruby-fur-farm-usa
61068,"JBS Beef Plant",Slaughterhouse,,41.642826,-111.858696,"41.642826, -111.858696",,410,"North 200 West",Hyrum,UT,84319,"United States",Open,,,,https://www.farmtransparency.org/map?location=61068,https://www.farmtransparency.org/facilities/61068-jbs-beef-plant
71cad,"Unknown (Most likely Smithfield)","Farm (meat)",Pigs,38.109711,-113.351402,"38.109711, -113.351402",,,"24000 North","Cedar City",UT,84721,"United States",Open,,,,https://www.farmtransparency.org/map?location=71cad,https://www.farmtransparency.org/facilities/71cad-unknown-most-likely-smithfield
0ce0e,"Godek's Farm",Slaughterhouse,,40.300655,-74.255348,"40.300655, -74.255348",,,"South Main Street","Marlboro Township",NJ,07746,"United States",Open,,,,https://www.farmtransparency.org/map?location=0ce0e,https://www.farmtransparency.org/facilities/0ce0e-godeks-farm
24146,"Ise America","Farm (eggs)",Chickens,40.712681,-75.059273,"40.712681, -75.059273","110 Good Springs Rd, Broadway, NJ 08808",110,"Good Springs Road",Asbury,NJ,08808,"United States",Open,Cage,,,https://www.farmtransparency.org/map?location=24146,https://www.farmtransparency.org/facilities/24146-ise-america
2e811,"American Halal Meats",Slaughterhouse,"Cows/cattle, Chickens, Sheep",40.734108,-74.131111,"40.734108, -74.131111","270 Raymond Blvd, Newark, NJ 07105",270,"Raymond Boulevard",Newark,NJ,07105,"United States",Open,Halal,,,https://www.farmtransparency.org/map?location=2e811,https://www.farmtransparency.org/facilities/2e811-american-halal-meats
4c8f8,"Livestock Cooperative Auction Market",Saleyard,"Cows/cattle, Goats, Sheep, Pigs, Rabbits, Chickens, Turkeys, Calves, Ducks",40.851662,-74.835800,"40.851662, -74.835800",,225,"West Stiger Street",Hackettstown,NJ,07840,"United States",Open,,,,https://www.farmtransparency.org/map?location=4c8f8,https://www.farmtransparency.org/facilities/4c8f8-livestock-cooperative-auction-market
75c55,"The Pequest Trout Hatchery","Hatchery (unconfirmed)",Fish/sealife,40.836754,-74.946114,"40.836754, -74.946114",,605,"Pequest Road",Oxford,NJ,07863,"United States",Open,,,,https://www.farmtransparency.org/map?location=75c55,https://www.farmtransparency.org/facilities/75c55-the-pequest-trout-hatchery
d5a50,"Red Bird Egg Farm","Farm (eggs)",Chickens,39.625816,-75.351875,"39.625816, -75.351875",,112,"Cemetery Road",Woodstown,NJ,08098,"United States",Open,,,,https://www.farmtransparency.org/map?location=d5a50,https://www.farmtransparency.org/facilities/d5a50-red-bird-egg-farm
07b70,"Puglisi Egg Farm","Farm (eggs)",Chickens,40.144447,-74.161095,"40.144447, -74.161095",,75,"Easy Street","Howell Township",NJ,07731,"United States",Open,,"Puglisi Egg Farms",,https://www.farmtransparency.org/map?location=07b70,https://www.farmtransparency.org/facilities/07b70-puglisi-egg-farm
