CPF_CNPJ;RAZAO_SOCIAL;NOME_FANTASIA;NR_SIF;DATA_RESERVA;DT_REGISTRO;NUMERO_PROCESSO;SITUACAO;LOGRADOURO;BAIRRO;CEP;MUNICIPIO;UF;TELEFONE;EMAIL;AREA_CATEGORIA;CATEGORIA_CLASSE;DATA_OCORRENCIA;DESCRICAO_OCORRENCIA
13.600.911/0001-00;VALÊNÇA DA BAHIA MARICULTURA S/A;;3609;1993-06-22 00:00:00;2015-07-30 00:00:00;21012-1902/92-41;A;EST.VALENCA GUAIBIM, KM 12,5;;45400000;VALENÇA;BA;(75) 3641-3217;aristoteles@grupompe.com.br                    ;PESCADO;UNIDADE DE BENEF. DE PESCADO E PROD. DE PESCADO - P07 / EP2 - ENTREPOSTO DE PESCADOS;;
07.287.998/0001-04;INDUSTRIA DE FRIO E PESCA SA;IPESCA;349;1968-12-11 00:00:00;1998-10-20 00:00:00;21014.002716/2019-81;A;AV. ALM. BARROSO, 501;PRAIA DE IRACEMA;60060440;FORTALEZA;CE;;;PESCADO;UNIDADE DE BENEF. DE PESCADO E PROD. DE PESCADO - P07 / EP2 - ENTREPOSTO DE PESCADOS;2023-07-28 00:00:00;China. Pescado. Renovação de habilitação. SEI: 21000.073294/2022-82   - 29997598. Validade: 31/07/2028
07.688.724/0001-19;ICAPEL ICAPUI PESCA LTDA;ICAPEL;971;1980-04-16 00:00:00;1984-06-20 00:00:00;21014.000990/2020-59;A;VILA BARRA GRANDE S/Nº;CENTRO;62810000;ICAPUÍ;CE;(88) 3246-1254;ivanvcosta@hotmail.com;PESCADO;UNIDADE DE BENEF. DE PESCADO E PROD. DE PESCADO - P07 / EP2 - ENTREPOSTO DE PESCADOS;2021-01-04 00:00:00;Argentina. Pescado. Habilitação. Produtos em natureza e produtos submetidos a tratamento térmico - cocção. Processo nº 21012.018995/2020-58
02.914.460/0205-00;SEARA ALIMENTOS LTDA;SEARA;2423;1979-10-31 00:00:00;2003-04-23 00:00:00;21012.005334/2019-29;A;NUCR DE TAGUATINGA, SN, AREA RURAL AREA ISOLADA GUARIROBA LOTE 04 BLOCO A B C;SAMAMBAIA NORTE (SAMAMBAIA);72322845;BRASÍLIA;DF;(11) 3144-5600;CONTADOR@SEARA.COM.BR;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AA1 - AVES - MAIS DE 3000/H;2021-05-23 00:00:00;AVES. REINO DA ARÁBIA SAUDITA. SUSPENSÃO DA PRODUÇÃO E CERTIFICAÇÃO A PARTIR DE 23/05/2021. PRODUTOS EM NATUREZA. PROCESSO  21000.033173/2021-17 (15133819). 
02.914.460/0205-00;SEARA ALIMENTOS LTDA;SEARA;2423;1979-10-31 00:00:00;2003-04-23 00:00:00;21012.005334/2019-29;A;NUCR DE TAGUATINGA, SN, AREA RURAL AREA ISOLADA GUARIROBA LOTE 04 BLOCO A B C;SAMAMBAIA NORTE (SAMAMBAIA);72322845;BRASÍLIA;DF;(11) 3144-5600;CONTADOR@SEARA.COM.BR;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AA1 - AVES - MAIS DE 3000/H;2022-05-06 00:00:00;Canadá. Suspensão da habilitação -  produção e certificação sanitária para todos os produtos. Processo SEI: 21000.028784/2022-24 / 21499359
02.914.460/0205-00;SEARA ALIMENTOS LTDA;SEARA;2423;1979-10-31 00:00:00;2003-04-23 00:00:00;21012.005334/2019-29;A;NUCR DE TAGUATINGA, SN, AREA RURAL AREA ISOLADA GUARIROBA LOTE 04 BLOCO A B C;SAMAMBAIA NORTE (SAMAMBAIA);72322845;BRASÍLIA;DF;(11) 3144-5600;CONTADOR@SEARA.COM.BR;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AA1 - AVES - MAIS DE 3000/H;2021-07-13 00:00:00;Peru. Aves. Renovação de habilitação. Produtos em natureza. Processo sei nº 21000.019430/2020-27.15924368. Vigência: 31/12/2021.
02.914.460/0205-00;SEARA ALIMENTOS LTDA;SEARA;2423;1979-10-31 00:00:00;2003-04-23 00:00:00;21012.005334/2019-29;A;NUCR DE TAGUATINGA, SN, AREA RURAL AREA ISOLADA GUARIROBA LOTE 04 BLOCO A B C;SAMAMBAIA NORTE (SAMAMBAIA);72322845;BRASÍLIA;DF;(11) 3144-5600;CONTADOR@SEARA.COM.BR;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AA1 - AVES - MAIS DE 3000/H;2022-09-19 00:00:00;"Egito. Aves. Prorrogação da habilitação. SEI 03844.000026/2019-32 (23833955). 
Validade: 01/01/2023."
02.914.460/0205-00;SEARA ALIMENTOS LTDA;SEARA;2423;1979-10-31 00:00:00;2003-04-23 00:00:00;21012.005334/2019-29;A;NUCR DE TAGUATINGA, SN, AREA RURAL AREA ISOLADA GUARIROBA LOTE 04 BLOCO A B C;SAMAMBAIA NORTE (SAMAMBAIA);72322845;BRASÍLIA;DF;(11) 3144-5600;CONTADOR@SEARA.COM.BR;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AA1 - AVES - MAIS DE 3000/H;2024-07-12 00:00:00;EGITO. Renovação de Habilitação. PRODUTOS EM NATUREZA (AVES) (DHC). SEI: 21000.091495/2021-81. ADIDO COMUNICA CAI (36355012).
02.914.460/0205-00;SEARA ALIMENTOS LTDA;SEARA;2423;1979-10-31 00:00:00;2003-04-23 00:00:00;21012.005334/2019-29;A;NUCR DE TAGUATINGA, SN, AREA RURAL AREA ISOLADA GUARIROBA LOTE 04 BLOCO A B C;SAMAMBAIA NORTE (SAMAMBAIA);72322845;BRASÍLIA;DF;(11) 3144-5600;CONTADOR@SEARA.COM.BR;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AA1 - AVES - MAIS DE 3000/H;2024-03-01 00:00:00;Argentina. Aves. Habilitação. produtos em natureza. SEI 21016.000129/2024-02.  (33956933).
02.914.460/0205-00;SEARA ALIMENTOS LTDA;SEARA;2423;1979-10-31 00:00:00;2003-04-23 00:00:00;21012.005334/2019-29;A;NUCR DE TAGUATINGA, SN, AREA RURAL AREA ISOLADA GUARIROBA LOTE 04 BLOCO A B C;SAMAMBAIA NORTE (SAMAMBAIA);72322845;BRASÍLIA;DF;(11) 3144-5600;CONTADOR@SEARA.COM.BR;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AA1 - AVES - MAIS DE 3000/H;2025-05-28 00:00:00;México. Delistamento. Produtos em Natureza (aves).  SEI 21000.060716/2023-31 (42854473)
