EST_NUM1,NAME1,NAME21,ADB_NAME1,MAIL_11,MAIL_21,MAIL_31,MAIL_CITY1,MAIL_PROV1,MAIL_PC1,LOC_ADD11,LOC_ADD21,LOC_ADD31,LOC_CITY1,LOC_PROV1,LOC_PC1,TELE_11,TELE_21,TELE_31,CODES_11,CODES_21,CODES_31,CODE_41,CODE_51,CODES_61,CODE_71,CODE_81,CODES_91,CODES_101,EXPORT1,TRICHINA1,POUTRY_SPC1,OTHERS_SPC1,HACCP_REG1,EP_NUM1,LASTUPDT1,LICENCE_NO1,LICENCE_IS1,LICENCE_EX1
7014,ROYAL DELIGHT FOODS LTD,,,,,,,,,6801 STEELES AVE W,,,ETOBICOKE,ON,M9V49,(416)276-7611,,,,,,,,fx,,,,,,,,,,,2025-06-06 13:04:37.0170436,,,
S924,KINTETSU WORLD EXPRESS (CANADA) INC.,,,6405 NORTHAM DRIVE,,,MISSISSAUGA,ON,L4V1J2,130-5200 MILLER ROAD,,,RICHMOND,ON,V7B1K5,604-788-1683,,,,,,,,,,,,AB,,,,,,,2024-02-02 12:19:47.050565400,,,
7005,1203283 ONTARIO LIMITED,,,,,,,,,75 ADDISCOTT COURT,,,MARKHAM,ON,L6G1A6,(905)4701926,,,,,,,,fx,,,,,,,,,,,2024-02-05 09:22:21.251812100,,,
S911,CONGEBEC G1,,,,,,,,,203-26596 GLOUCESTER WAY,,,LANGLEY,BC,V4W4A8,(438)334-8891,,,,,,,,,,,,A,,,,,,,2026-07-30 10:13:59.3771239,,,
S922,LES ALIMENTS BCI INC. / BCI FOODS INC.,,,4800 AVENUE PINARD,,,ST-HYACINTHE,QC,J2S 8E1,2999 BOULEVARD CHOQUETTE,,,ST-HYACINTHE,QC,J2S 6H5,450-796-3210,,,,,,,,,,,,B,,,,,,,2023-12-27 11:51:58.281166600,,,
840,ABATTOIR DUCHARME INC.,,,,,,,,,110-A RUE AUTHIER,,,SAINT-ALPHONSE-DE-GRANBY,QC,J0E2A0,(450)375-4620,,,fhi,,f,,,,,,,,ADK,,,,,,2024-08-07 07:23:42.9153181,,,
999,2519558 ONTARIO LTD.,,TFF,,,,,,,3-10 MELFORD DR,,,SCARBOROUGH,ON,M1B 2G1,(647)961-0188,,,,,x,,,,Y,,,,AD,,,,,,2025-11-04 08:50:03.5779851,,,
S912,CONSCO FOODS INC.,,,,,,,,,11281 BOUL. ALBERT-HUDON,,,MONTRÉAL,QC,H1G 3J5,(514)622-1203,,,,,,,,,,,B/US,A,,,,,,,2025-03-17 12:08:39.0313413,,,
166,1000542771 ONTARIO INC,,1000542771 ONTARIO INC. (ONTARIO RAVIOLI),,,,,,,121 BROCKLEY DRIVE,,,HAMILTON,ON,L8E3C4,(905)971-5890,,,,,,,,fx,,,,,D,,,,,,2026-05-08 13:11:16.4383338,,,
929,FRESH PREP FOODS INC.,,,,,,,,,1797 -120TH AVENUE NE,,,CALGARY,AB,T3K0R1,(778)999-3413,,,,,,,,fx,,,,,,,,,,,2023-06-28 12:18:32.087534500,,,
977,LES ALIMENTS IMPRESS S.E.C.,,,,,,,,,1910 AVENUE DU SANCTUAIRE,,,QUEBEC,QC,G1E3L2,(418)663-7477,,,,,,,,FX,,,,,D,,,,,,2026-07-14 08:31:31.1188733,,,
S847,RADIUS TRANSPORT LTD.,,,,,,,,,2525-188 STREET,,,SURREY,BC,V3Z2A1,(778)242-3854,,,,,,,,,,,AB/US,A,,,,,,,2023-07-04 13:23:40.072676500,,,
979,METRO RICHELIEU INC.,,,,,,,,,1055 BOULEVARD DE LA PINIÈRE OUEST,,,TERREBONNE,QC,J6Y1J5,(514)328-8000,,,,,,,,,Y,,B/US,,D,,,,,,2024-01-19 09:51:46.940933700,,,
980,2882540 CANADA INC,,,,,,,,,5890 AVE ANDOVER,,,MONT-ROYAL,QC,H4T1H4,(514)731-8888,,,,,,,,X,,,,,,,,,,,2023-07-07 11:52:15.668201200,,,
051,CARGILL LIMITED - CARGILL LIMITÉE,,CARGILL MEAT SOLUTIONS,,,,,,,165 DUNLOP DRIVE,,,GUELPH,ON,N1L 1P4,(519) 823-5200,(519) 823-5451/F,,AI,,,,,X,,,,,ACDGKLPQRVIE,,,,,,2025-04-02 10:11:31.9043511,,,
093,CARGILL LIMITED - CARGILL LIMITÉE,,CARGILL MEAT SOLUTIONS,,,,,,,472 AVENUE & HIGHWAY 2A N,,,HIGH RIVER,AB,T1V 1P4,(403)452-8466,,,A,,X,Y,,X,Y,Y,BUS,,ACDGIKLPRSQV,,,,,,2023-08-03 09:29:30.540757800,,,
093B,CARGILL LIMITED - CARGILL LIMITÉE,,"CARGILL MEAT SOLUTIONS, CARGILL FOODS/LES ALIMENTS CARGILL",,,,,,,"7901, RUE SAMUEL-HATT",,,CHAMBLY,QC,J3L 6V7,(450) 447-4600,(450) 447-9611/F,(450) 447-4672/I,,,FX,,,FX,,,,,,,,,,,2025-04-04 10:55:17.7451541,,,
146,CARGILL LIMITED - CARGILL LIMITÉE,,CARGILL MEAT SOLUTIONS,,,,,,,235 NUGGETT COURT,,,BRAMPTON,ON,T7X 3B3,(780) 962-6240,(780) 962-0862/F,,,,,,,x,,,,,CD,,,,,,2023-07-11 13:38:45.656838100,,,
146A,CARGILL LIMITED - CARGILL LIMITÉE,,CARGILL MEAT SOLUTIONS,,,,,,,240 DIAMOND AVENUE,,,SPRUCE GROVE,AB,T7X 4C7,(780) 962-6240,(780) 962-0862/F,780) 962-2737/I,,,,,,x,,,,,CD,,,,,,2023-07-11 13:40:45.223477200,,,
216,CARGILL LIMITED - CARGILL LIMITÉE,,"CARGILL MEAT SOLUTIONS, CARGILL FOODS/LES ALIMENTS GARGILL",,,,,,,180 WATSON PARKWAY SOUTH,,,GUELPH,ON,N1L 1P4,(519) 823-5200,,,,,fx,,,fx,,,,,,,,,,,2025-09-23 08:45:28.4621656,,,
470,CARGILL LIMITED – CARGILL LIMITÉE,,CARGILL COCOA AND CHOCOLATE; CARGILL LIMITED,,,,,,,10 CUDDY BLVD.,,,LONDON,ON,N5V 5E3,(519)823-5200,,,f,,f,,,fx,,,,,ADG,,,,,,2023-10-17 13:22:58.347981900,,,
988,MOM'S PANTRY PRODUCTS LTD,,MOM'S PANTRY,,,,,,,3241 ST. MARYS RD,,,WINNIPEG,MB,R2N4B4,(204)228-6405,,,,,,,,,Y,,,,,,,,,,2023-09-18 13:49:48.092099800,,,
S788,GOCOLD SOLUTIONS INC.,,GOCOLD SOLUTIONS INC. - MONTREAL,,,,,,,7801 BOUL. HENRI-BOURASSA,,,MONTREAL,QC,H1E1N9,(438)821-3349,,,,,,,,,,,"B,US",A,,,,,,,2024-05-16 13:51:03.3104814,,,
973,PREMIUM SWEETS & DESSERTS INC.,,PREMIUM SWEETS,,,,,,,"7025 TOMKEN ROAD, UNIT 15",,,MISSISSAUGA,ON,L5S1R6,(416)880-6462,,,,,,,,FX,,,,,D,,,,,,2023-10-05 09:57:13.381705100,,,
990,ASIAN LEGEND TO GO INC.,,,,,,,,,900 DENISON ST,,,MARKHAM,ON,L3R3K5,(416)-729-4879,,,,,,,,XF,,,,,D,,,,,,2024-09-12 14:58:22.0420546,,,
356A,12247054 CANADA INC.,,,,,,,,,975 RUE BERLIER,,,LAVAL,QC,H7L3W9,514 803-0763,,,,,F,,,F,,,,,,,,,,,2023-10-10 09:16:21.438057800,,,
972,975837 ONTARIO LIMITED,,975837 ONTARIO LIMITED DBA PATTY KING INTERNATIONAL,"307 EDGELEY BLVD, UNIT #1-6",,,VAUGHAN,ON,L4K 3Z5,81 ROYSUN ROAD,,,VAUGHAN,ON,L4L 8T5,905-660-4306,,,,,,,,XF,,,,,,,,,,,2023-10-11 10:55:05.845226300,,,
805,MI'RAAJ HALAL FARMS,,,,,,,,,126815 SOUTHGATE ROAD 12,,,SOUTHGATE,ON,N0C1B0,(416)576-4814,,,"F,I",,,,,,,,,,D,,,,,,2024-01-19 09:48:11.479471500,,,
950,MERCANTI SPECIALTY FOODS INC,,,,,,,,,175 NEBO ROAD,,,HAMILTON,ON,L8W 2E4,(905)510-7547,,,,,,,,X,,,,,,,,,,,2023-10-26 10:15:16.132049500,,,
993,VERNON SAUSAGE COMPANY LTD,,,,,,,,,810 WADDINGTON DRIVE,,,VERNON,BC,V1T8T3,(250)545-2047,,,,,,,,"f,x",,,,,D,,,,,,2026-09-02 08:38:31.1769202,,,
720,FIVE CORNERS MEAT COMPANY (ALBERTA) LTD.,,,,,,,,,6364 ROPER ROAD,,,EDMONTON,AB,T6B 3P9,604-376-3323,,,,,XF,,,XF,,,,,D,,,,,,2025-04-25 14:58:21.121284,,,
137,SOFINA FOODS INC./ALIMENTS SOFINA INC.,,"EXCELDOR COOPERATIVE, EXCELDOR FOODS LTD",,,,,,,4 PENNER DRIVE,,,BLUMENORT,MB,R0A0C0,(204)326-3448,,,"F,H,I",,F,,,F,,,,,"A, D",,,,,,2026-02-27 15:08:57.4619587,,,
S567,MARSAN FOODS ULC,,,,,,,,,107 WALKER DRIVE,,,BRAMPTON,ON,L6T5K5,(416)755-9262,,,,,,,,,,,B/US,A,,,,,,,2023-11-17 12:06:41.215277000,,,
926,NORTH 49 FOODS LTD.,,,,,,,,,555-24TH AVE NW,,,MOOSE JAW,SK,S6H4N9,(604)533-3911,,,d,,x,,,,,,,,AD,,,,,,2024-03-05 12:42:07.506172700,,,
424,MARSAN FOODS ULC,,,,,,,,,160 THERMOS ROAD,,,TORONTO,ON,M1L 4W2,(416) 755-9262,,,,,,,,FX,,,,,D,,,,,,2023-11-17 11:48:33.125126800,,,
994,102320 P.E.I. INC.,,THE HANDPIE COMPANY,171 INDUSTRIAL DRIVE,,,BORDEN-CARLETON,PE,C0B1X0,169 INDUSTRIAL DRIVE,,,BORDEN-CARLETON,PE,C0B1X0,(902)303-4148,,,,,,,,XF,,,,,,,,,,,2023-11-20 09:44:45.182053900,,,
424A,MARSAN FOODS ULC,,,160 THERMOS ROAD,,,TORONTO,ON,M1L 4W2,46 MODERN ROAD,,,TORONTO,ON,M1R 3B6,(416) 755-9262,,,,,,,,FX,,,,,D,,,,,,2023-11-20 10:06:08.175887000,,,
S917,WORLD STORAGE LTD.,,,,,,,,,"7672 PROGRESS WAY,103",,,DELTA,BC,V3W 5V9,604-861-1100,,,,,,,,,,,,A,,,,,,,2023-08-11 12:47:14.733340300,,,
986,GDE GROCERY DELIVERY E-SERVICES CANADA INC.,,"CHEFS PLATE, HELLOFRESH",UNIT 201-110 SPADINA AVE.,,,TORONTO,ON,M5V 2K4,3520 LAIRD ROAD,,,MISSISSAUGA,ON,L5L 5Z7,647-632-3036,,,,,,,,XF,,,,,,,,,,,2023-08-16 15:13:33.367217800,,,
987,LATIN FOODS SPECIALTIES INC.,,,,,,,,,6103 CENTRE STREET SOUTH,,,CALGARY,AB,T2H0B3,(403)667-7951,,,,,,,,fx,,,,,,,,,,,2023-08-29 12:53:22.782680800,,,
S918,"THOMAS, LARGE & SINGER INC",,,,,,,,,7825 WINSTON CHURCHILL BLVD.,,,BRAMPTON,ON,L6Y 5Z4,(647)775-2614,,,,,,,,,,,,B,,,,,,,2023-09-08 09:51:39.643071600,,,
970,PREMIUM BRANDS OPERATING LIMITED PARTNERSHIP,,QUALITY FAST FOODS,,,,,,,19020 111 AVENUE NW,,,EDMONTON,AB,T5S0B6,(780)964-4704,,,,,,,,XF,,,,,D,,,,,,2023-10-05 09:51:56.928518800,,,
S919,MATRIX LOGISTICS SERVICES LIMITED,,,,,,,,,2525 29 STREET NE,,,CALGARY,AB,T1Y 7B5,(403)470-8501,,,,,,,,,,,,A,,,,,,,2023-09-12 10:12:53.887284600,,,
964,FIMA CRESCENT HOLDINGS INC,,,27 FIMA CRESCENT,,,TORONTO,ON,M8W 3R1,27 FIMA CRESCENT,,,TORONTO,ON,M8W 3R1,(416)769-1788,,,,,fx,,,fx,,,,,,,,,,,2022-12-23 08:23:10.948329300,,,
956,2243783 ONTARIO LTD.,,KUNG FU DUCK,,,,,ON,,85 SELECT AVE.,,,SCARBOROUGH,ON,M1V 4A9,(416)827-6368,,,,,,,,FXG,,,,,D,,,,,,2023-10-05 09:48:50.640178200,,,
958,PASTA QUISTINI INC.,,,,,,,,,139 BASALTIC RD,,,VAUGHAN,ON,L4K 1G4,(905)269-2322,,,,,,,,fx,,,,,,,,,,,2022-09-29 11:28:10.238610200,,,
S904,MATRIX LOGISTICS SERVICES LIMITED,,,,,,,,,6941 KENNEDY ROAD,,,MISSISSAUGA,ON,L5T2R6,437-774-1365,,,,,,,,,,,,AB,,,,,,,2022-09-28 14:07:54.154822100,,,
959,ALIMENTS ADDENDA INC.,,,,,,,,,"2376 RUE GALVANI, PORTE 120",,,QUEBEC,QC,G1N4G4,(418)952-1716,,,,,,,,F,,,,,,,,,,,2025-03-27 10:37:30.3420504,,,
S905,MATRIX LOGISTICS SERVICES LIMITED,,,,,,,,,2675 STEELS AVENUE WEST,,,BRAMPTON,ON,L6Y0B2,(437)774-1365,,,,,,,,,,,,B,,,,,,,2022-10-04 09:29:40.504247100,,,
S906,BURNBRAE FARMS LIMITED,,,,,,,,,3356 COUNTY ROAD #27,,,LYN,ON,K0E1M0,450-549-4524,,,,,,,,,,,,A,,,,,,,2022-10-24 14:36:31.029112700,,,
837,LOUIS LAFRANCE & FILS LTÉE,,,,,,,,,255 RUE DES BÂTISSEURS,,,SHAWINIGAN,QC,G9T 5K5,(819)533-4550,,,abchij,,X,,,,,,,,D,,,,,,2025-09-22 15:24:12.0036407,,,
S907,CANUCK COLD STORAGE LTD.,,,,,,,,,4120 HARVESTER ROAD,,,BURLINGTON,ON,L7L 5M3,,,,,,,,,,,,B/US,A,,,,,,,2023-01-27 09:41:17.705900200,,,
S902,HOPEWELL LOGISTICS INC,,,,,,,,,"UNIT 2, 260253 HIGH PLAINS WAY",,,ROCKY VIEW,AB,T4A3L5,(587)436-2357,,,,,,,,,,,"C, US",B,,,,,,,2022-08-05 09:49:27.199462700,,,
