InstallationInspireId,installationName,CountryName,City_of_Facility,Longitude,Latitude,IEDAnnexIMainActivity,IEDMainActivityName,EPRTRAnnexIMainActivity,installationStatus,reportingYear,dateOfStartOfOperation,permitURL,parent_facilityInspireId
AT.CAED/9008391028772.INSTALLATION,Brauerei,Austria,Salzburg,13.022278,47.794528,6.4(b)(ii),"Treatment and processing, other than exclusively packaging, of the following raw materials, whether previously processed or unprocessed, intended for the production of food or feed from only vegetable raw materials with a finished product production capacity greater than 300 tonnes per day or 600 tonnes per day where the installation operates for a period of no more than 90 consecutive days in any year",8(b),functional,2024,,http://www.edm.gv.at,AT.CAED/9008390444337.FACILITY
AT.CAED/9008391831723.INSTALLATION,Ernest Fuchs KG,Austria,Groß Sankt Florian,15.279667,46.828972,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2024,,,AT.CAED/9008391714675.FACILITY
AT.CAED/9008391988489.INSTALLATION,Fleischverarbeitung Münzbach,Austria,Münzbach,14.716056,48.273194,6.4(b)(i),"Treatment and processing, other than exclusively packaging, of the following raw materials, whether previously processed or unprocessed, intended for the production of food or feed from only animal raw materials (other than exclusively milk) with a finished product production capacity greater than 75 tonnes per day",8(b),functional,2024,,http://www.edm.gv.at,AT.CAED/9008391988526.FACILITY
AT.CAED/9008391942368.INSTALLATION,Fleischwarenherstellung,Austria,Bad Leonfelden,14.295444,48.526389,6.4(b)(i),"Treatment and processing, other than exclusively packaging, of the following raw materials, whether previously processed or unprocessed, intended for the production of food or feed from only animal raw materials (other than exclusively milk) with a finished product production capacity greater than 75 tonnes per day",8(b),functional,2024,,http://www.edm.gv.at,AT.CAED/9008391942405.FACILITY
AT.CAED/9008391758020.INSTALLATION,Fondsgut,Austria,Lichtenwörth,16.349917,47.821861,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2024,,,AT.CAED/9008391757986.FACILITY
AT.CAED/9008391962809.INSTALLATION,Franz Rauch,Austria,Grabersdorf,15.837583,46.853167,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2024,,,AT.CAED/9008391962748.FACILITY
AT.CAED/9008391763901.INSTALLATION,Frsichei GmbH,Austria,Dobersberg,15.272833,48.900472,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2024,,,AT.CAED/9008391765370.FACILITY
AT.CAED/9008391034131.INSTALLATION,Futtermischanlage,Austria,"Klagenfurt,11.Bez.:St. Ruprecht",14.301306,46.606278,6.4(b)(ii),"Treatment and processing, other than exclusively packaging, of the following raw materials, whether previously processed or unprocessed, intended for the production of food or feed from only vegetable raw materials with a finished product production capacity greater than 300 tonnes per day or 600 tonnes per day where the installation operates for a period of no more than 90 consecutive days in any year",8(b),functional,2024,,https://www.klagenfurt.at,AT.CAED/9008391034094.FACILITY
AT.CAED/9008392105830.INSTALLATION,Futtermittelherstellung,Austria,Pöchlarn,15.224722,48.2125,6.4(b)(ii),"Treatment and processing, other than exclusively packaging, of the following raw materials, whether previously processed or unprocessed, intended for the production of food or feed from only vegetable raw materials with a finished product production capacity greater than 300 tonnes per day or 600 tonnes per day where the installation operates for a period of no more than 90 consecutive days in any year",8(b),functional,2024,,,AT.CAED/9008392106653.FACILITY
AT.CAED/9008391831822.INSTALLATION,GZR,Austria,Paldau,15.839778,46.958528,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2024,,,AT.CAED/9008391733706.FACILITY
AT.CAED/9008391291213.INSTALLATION,Geflügelhaltung,Austria,St. Paul im Lavanttal,14.845722,46.711889,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2024,,https://www.ktn.gv.at/Verwaltung/Bezirke/BH-Wolfsberg/Amtstafel?nid=1344,AT.CAED/9008391291251.FACILITY
AT.CAED/9008391776376.INSTALLATION,Geflügelhof Hubinger GmbH,Austria,Pettenbach,14.036306,47.995167,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2024,,http://www.edm.gv.at,AT.CAED/9008390974438.FACILITY
AT.CAED/9008391271161.INSTALLATION,Geflügelmast,Austria,St. Gertraud,14.936639,46.893278,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2024,,,AT.CAED/9008391271185.FACILITY
AT.CAED/9008391903024.INSTALLATION,Geflügelmast Mayer,Austria,Wolfsbach,14.652611,48.073028,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2024,,,AT.CAED/9008391902980.FACILITY
AT.CAED/9008391938149.INSTALLATION,Geflügelzucht,Austria,Hopfersbach,12.961028,48.132222,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2024,,https://www.edm.gv.at,AT.CAED/9008391884088.FACILITY
AT.CAED/9008392575909.INSTALLATION,Geflügelzucht,Austria,Wanzenöd,14.487556,48.059833,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2024,,,AT.CAED/9008392573134.FACILITY
AT.CAED/9008392186952.INSTALLATION,Getreidemühle,Austria,Schwechat,16.473056,48.144444,6.4(b)(iii),"Treatment and processing, other than exclusively packaging, of the following raw materials, whether previously processed or unprocessed, intended for the production of food or feed from animal and vegetable raw materials, both in combined and separate products, with a finished product production capacity in tonnes per day greater than 75 if A is equal to 10 or more or, [300- (22,5 ? A)] in any other case, where ?A? is the portion of animal material (in percent of weight) of the finished product production capacity",8(b),functional,2024,,,AT.CAED/9008392186990.FACILITY
AT.CAED/9008392391622.INSTALLATION,Getränkeherstellung,Austria,Frankenmarkt,13.429417,47.984028,6.4(b)(ii),"Treatment and processing, other than exclusively packaging, of the following raw materials, whether previously processed or unprocessed, intended for the production of food or feed from only vegetable raw materials with a finished product production capacity greater than 300 tonnes per day or 600 tonnes per day where the installation operates for a period of no more than 90 consecutive days in any year",8(b),functional,2024,,http://www.edm.gv.at,AT.CAED/9008392394685.FACILITY
AT.CAED/9008391254959.INSTALLATION,Getränkeproduktion,Austria,Lauterach,9.733278,47.473028,6.4(b)(ii),"Treatment and processing, other than exclusively packaging, of the following raw materials, whether previously processed or unprocessed, intended for the production of food or feed from only vegetable raw materials with a finished product production capacity greater than 300 tonnes per day or 600 tonnes per day where the installation operates for a period of no more than 90 consecutive days in any year",8(b),functional,2024,,,AT.CAED/9008390427989.FACILITY
AT.CAED/9008392594252.INSTALLATION,Getränkeproduktion,Austria,Lorch,14.462528,48.222556,6.4(b)(ii),"Treatment and processing, other than exclusively packaging, of the following raw materials, whether previously processed or unprocessed, intended for the production of food or feed from only vegetable raw materials with a finished product production capacity greater than 300 tonnes per day or 600 tonnes per day where the installation operates for a period of no more than 90 consecutive days in any year",8(b),functional,2024,,http://www.edm.gv.at,AT.CAED/9008392556571.FACILITY
AT.CAED/9008391701279.INSTALLATION,Heimtiernahrungsfabrik,Austria,Bruck an der Leitha,16.79175,48.03475,6.4(b)(iii),"Treatment and processing, other than exclusively packaging, of the following raw materials, whether previously processed or unprocessed, intended for the production of food or feed from animal and vegetable raw materials, both in combined and separate products, with a finished product production capacity in tonnes per day greater than 75 if A is equal to 10 or more or, [300- (22,5 ? A)] in any other case, where ?A? is the portion of animal material (in percent of weight) of the finished product production capacity",8(b),functional,2024,,,AT.CAED/9008390679173.FACILITY
AT.CAED/9008391756378.INSTALLATION,Hühnerhaltung,Austria,Aschbach-Markt,14.742028,48.099472,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2024,,,AT.CAED/9008391756354.FACILITY
AT.CAED/9008391274346.INSTALLATION,INAKTIV Schlachtbetrieb,Austria,Straß in Steiermark,15.621972,46.729389,6.4(a),Operating slaughterhouses with a carcass production capacity greater than 50 tonnes per day,8(a),functional,2024,,,AT.CAED/9008390941232.FACILITY
AT.CAED/9008391789956.INSTALLATION,Intensivtierhaltung,Austria,Aschbach-Markt,14.791389,48.093833,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2024,,,AT.CAED/9008391789918.FACILITY
AT.CAED/9008391799719.INSTALLATION,Intensivtierhaltung,Austria,Thürnbuch,14.632611,48.161833,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2024,,,AT.CAED/9008391799665.FACILITY
AT.CAED/9008391569633.INSTALLATION,Intensivtierhaltung,Austria,Hofing,15.852222,47.191111,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2024,,,AT.CAED/9008390500095.FACILITY
