approval_number,name,address,city,postcode,region,country,section,section_label,activity,species,last_update
EAC 115 - 759996,ANDERSON NOEL & ALVIN,"RUSHINDOO, KESH, ENNISKILLEN, CO. FERMANAGH, BT93 1DW",Kesh,BT93,"County Fermanagh,Northern Ireland",United Kingdom (Northern Ireland),ASC-UNG,Assembly centres ungulates,Assembly center,,16/03/2026
EAC131 - UK6ICI,Andrew Wylie,18 Ballycraigy Road South Newtownabbey BT36 4Sz,Newtownabbey,BT36,"County Antrim,Northern Ireland",United Kingdom (Northern Ireland),ASC-UNG,Assembly centres ungulates,Assembly center,,16/03/2026
EAC016 - 124442 - 729998,BALLYMENA MART EAC,WOODSIDE ROAD BALLYMENA BT42 4HY,Ballymena,BT42,"County Antrim,Northern Ireland",United Kingdom (Northern Ireland),ASC-UNG,Assembly centres ungulates,Assembly center,,16/03/2026
EAC128 - 733305,BALLYNACANNON EXPORT ASSEMBLY CENTRE,56 CASHEL ROAD BALLYNACANON COLERAINE LONDONDERRY,County Londonderry,BT51,"County Londonderry,Northern Ireland",United Kingdom (Northern Ireland),ASC-UNG,Assembly centres ungulates,Assembly center,,16/03/2026
EAC125 - 703260,BEATTIE R - LIVESTOCK YARD EAC,109 GLENPARK ROAD,Gortin,BT79,"County Tyrone,Northern Ireland",United Kingdom (Northern Ireland),ASC-UNG,Assembly centres ungulates,Assembly center,,16/03/2026
E09006 - 303001 - 799997,BEATTIE R EAC,RUAS SHOW GROUNDS BALMORAL PARK,County Antrim,BT27,Northern Ireland,United Kingdom (Northern Ireland),ASC-UNG,Assembly centres ungulates,Assembly center,,16/03/2026
EAC110 - 779997 - 393001,BURKE M EAC,1 PLANTATION ROAD CLAUDY COUNTY LONDONDERRY BT47 4AZ,Claudy,BT47,"County Londonderry,Northern Ireland",United Kingdom (Northern Ireland),ASC-UNG,Assembly centres ungulates,Assembly center,,16/03/2026
EAC006,Barry Read,3 Inishroosk Road Drummack Lisnaskea BT92 0PY,Lisnaskea,BT92,"County Fermanagh,Northern Ireland",United Kingdom (Northern Ireland),ASC-UNG,Assembly centres ungulates,Assembly center,,16/03/2026
EAC124,CAMPBELL A EAC,74 CORNAKINNEGAR ROAD CORNAKINNEGAR LURGAN ARMAGH BT67 9JN,Lurgan,BT67,"County Armagh,Northern Ireland",United Kingdom (Northern Ireland),ASC-UNG,Assembly centres ungulates,Assembly center,,16/03/2026
EAC122 - 186006 - 711710,CARNA EXPORTS - non operational,162 CASTLEBLAYNEY ROAD TIEVENAMARA KEADY ARMAGH BT60 3HT,Keady,BT60,"County Armagh,Northern Ireland",United Kingdom (Northern Ireland),ASC-UNG,Assembly centres ungulates,Assembly center,,16/03/2026
