approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
LN-0495-05-2020,"""Nettuno SHPK Import-Eksport Converse Ittiche""",Fshati Allprenaj,Lushnja,9001,"Bashkia Lushnjë,Fier County,Southern Albania",Albania,third-country,FFP,PP,,,PP - Processing Plant,,
LN 7875-07-2019,"""ROZAFA"" SH.P.K:","Në zonën pranë ish Autopark, Prrenjas",Librazhd,3401,"Bashkia Librazhd,Elbasan County,Central Albania",Albania,third-country,FFP,PP,,,PP - Processing Plant,,
49,ACQUARIO SALI PESHK,,Durrës,2000,"Bashkia Durrës,Durrës County,Northern Albania",Albania,third-country,FFP,PP,,,PP - Processing Plant,,
55,ALMARINA OR,"Rr.Pashalimanit, Orikum",Qendër Vlorë,,"Bashkia Vlorë,Vlorë County,Southern Albania",Albania,third-country,FFP,PP,,,PP - Processing Plant,,
54,Alb-Adriatico 2013 Sh.p.k.,"Orikum, Dukat Fushe",Qendër Vlorë,,"Bashkia Vlorë,Vlorë County,Southern Albania",Albania,third-country,FFP,PP,,,PP - Processing Plant,,
52,Artic Group Sh.p.k.,,Durrës,2000,"Bashkia Durrës,Durrës County,Northern Albania",Albania,third-country,FFP,PP,,,PP - Processing Plant,,
57,CORAL,Rruga nacionale Kavaje - Rrogozhine,Kavaje,2501,"Bashkia Kavajë,Tirana County,Central Albania",Albania,third-country,FFP,PP,,,PP - Processing Plant,,
40,Coral,autostrada,Durrës,2000,"Bashkia Durrës,Durrës County,Northern Albania",Albania,third-country,FFP,PP,,,PP - Processing Plant,,
32,Eurofish,Nene Tereza,Lezha,,"Lezhë County,Northern Albania",Albania,third-country,FFP,PP,,,PP - Processing Plant,,
47,Fenix I.C.,,Elbasan,,"Bashkia Elbasan,Elbasan County,Central Albania",Albania,third-country,FFP,PP,,,PP - Processing Plant,,
37,ITTICA - San Giovanni,,Lezha,,"Lezhë County,Northern Albania",Albania,third-country,FFP,PP,,,PP - Processing Plant,,
48,KIARA-FISH,Elbasan Metalurgji km 5 Zona kadastrale nr.3965 Pasuria 163 Elbasan Bradashesh,Elbasan,,"Bashkia Elbasan,Elbasan County,Central Albania",Albania,third-country,FFP,PP,,,PP - Processing Plant,19/03/2026,
1,Konservimi Adriatik,,Durrës,2000,"Bashkia Durrës,Durrës County,Northern Albania",Albania,third-country,FFP,PP,,,PP - Processing Plant,,
30,Mare Adriatik,Shelqet,Shkoder,,"Bashkia Shkodër,Shkodër County,Northern Albania",Albania,third-country,FFP,PP,,,PP - Processing Plant,,
59,Mare Adriatik Sh.p.k.,Babrru,Tiranë,1010,"Tirana Municipally,Tirana County,Central Albania",Albania,third-country,FFP,PP,,,PP - Processing Plant,,
63,OCCHIO VIVO,"Lagjja nr.1, Rr. ""Skenderbej""",Durrës,2000,"Bashkia Durrës,Durrës County,Northern Albania",Albania,third-country,FFP,PP,,,PP - Processing Plant,,
36,Orik Peshk,,Qendër Vlorë,,"Bashkia Vlorë,Vlorë County,Southern Albania",Albania,third-country,FFP,PP,,,PP - Processing Plant,,
28,Poseidon,Shengjin,Lezhë,4501,"Bashkia Lezhë,Lezhë County,Northern Albania",Albania,third-country,FFP,PP,,,PP - Processing Plant,,
50,ROZAFA,,Elbasan,,"Bashkia Elbasan,Elbasan County,Central Albania",Albania,third-country,FFP,PP,,,PP - Processing Plant,,
LN-0519-10-2025,SALI FISH,"Fier, Mbrostar-Ura me Nr. Pasurie 72/63,Z.K Vol. 16, Fq. 77, dhe siperfaqe 994 m2",Fier,9301,"Bashkia Fier,Fier County,Southern Albania",Albania,third-country,FFP,PP,,,PP - Processing Plant,13/02/2026,
60,SOFISH,Kashar,Tiranë,1010,"Tirana Municipally,Tirana County,Central Albania",Albania,third-country,FFP,PP,,,PP - Processing Plant,,
38,Sea-Fish,,Tiranë,1010,"Tirana Municipally,Tirana County,Central Albania",Albania,third-country,FFP,PP,,,PP - Processing Plant,,
62,VIVIMPEX,"""Ismail Qemali""",Qendër Vlorë,,"Bashkia Vlorë,Vlorë County,Southern Albania",Albania,third-country,FFP,PP,,,PP - Processing Plant,,
LN 72354-05-2019,VLORA FISH,"Rruga Nacionale Vlore-Himare, Fushe Dukat",Vlora,9401,"Bashkia Vlorë,Vlorë County,Southern Albania",Albania,third-country,FFP,PP,,,PP - Processing Plant,,
