approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
46 4 63,BOUDJEMAA Sofiene,Zone d'Activité Section 89 Ilot 13,Hammam Bou Hadjar,46200,Aïn Témouchent,Algeria,third-country,FFP,PP,,,PP - Processing Plant,20/12/2022,
16494,EL WAKIL AL479 (Eurl Alespa Peche),Rue Freres Boulahdour,Algiers Centre,16004,Algiers,Algeria,third-country,FFP,FV,,,FV - Factory Vessel,,
18411,EURL CAP AFRICA EXPORT,Port de pêche Boudis,Jijel,18000,Jijel,Algeria,third-country,FFP,PP,,,PP - Processing Plant,15/03/2023,
25402,EURL CHIKH HAMZA,Zone d'Activité Ain El Bey N°114,El Khroub,25001,Constantine,Algeria,third-country,FFP,PP,,,PP - Processing Plant,20/04/2023,
42427,EURL EXPORTERIA,Local N°1 Chaigue,Bou Ismail,42004,Tipaza,Algeria,third-country,FFP,PP,,,PP - Processing Plant,02/02/2026,
36441,EURL KENDI REDA,SEBAA,Berrihane,36027,El Taref,Algeria,third-country,FFP,PP,,,PP - Processing Plant,21/07/2025,
35419,EURL POULPOU EXPORT,Rue Ben Badis,Dellys,16007,Boumerdès,Algeria,third-country,FFP,PP,,,PP - Processing Plant,08/11/2023,
46467,EURL SMALEP,Cité 02 Zone Industrielle Ouled Boudjemaa Sidi Sohbi,Beni Saf,,Aïn Témouchent,Algeria,third-country,FFP,PP,,,PP - Processing Plant,13/05/2024,
46450,EURL Zabiba,,Beni Saf,,Aïn Témouchent,Algeria,third-country,FFP,PP,,,PP - Processing Plant,,
27 4 14,Eurl ALMAR,140 Les Sablettes-Mazagran,Hassi Mameche,27100,Mostaganem,Algeria,third-country,FFP,PP,,,PP - Processing Plant,,
18410,Eurl Big Fish Import Export,,Jijel,18000,Jijel,Algeria,third-country,FFP,PP,,,PP - Processing Plant,,
27412,Eurl Crustal,"89, Diar El Mehal commune Sayada daira kheireddine",Mostaganem,27000,Mostaganem,Algeria,third-country,FFP,PP,,,PP - Processing Plant,,
16484,Eurl Dipromer,"Chasse Loup, Loubat Basse, Casbah Alger Centre",Algiers Centre,16007,Algiers,Algeria,third-country,FFP,PP,,,PP - Processing Plant,,
16492,Eurl MARPEIX,Lot N°141 Les Amandiers,Baba Hassen,16007,Algiers,Algeria,third-country,FFP,PP,,,PP - Processing Plant,,
18412,OULMANE KHIREDDINE,Port de pêche Boudis,Jijel,18000,Jijel,Algeria,third-country,FFP,PP,,,PP - Processing Plant,24/06/2024,
16452,Ouardia (Société Smalep),"03, Rue Khelifa Boukhalfa",Algiers Centre,16004,Algiers,Algeria,third-country,FFP,FV,,,FV - Factory Vessel,,
36439,SARL ADAM AQUA FISH,POINTE DE CHACAL,El Kala,36002,El Taref,Algeria,third-country,FFP,PP,,,PP - Processing Plant,16/05/2024,
46466,SARL ALESPA PECHE,Cité 02 Zone Industrielle Ouled Boudjemaa Sidi Sohbi,Beni Saf,,Aïn Témouchent,Algeria,third-country,FFP,PP,,,PP - Processing Plant,13/05/2024,
42425,SARL ALGERIA FISHERS COMPANY,"Zone d’équipement,",Bouharoun,42009,Tipaza,Algeria,third-country,FFP,PP,,,PP - Processing Plant,31/07/2024,
31447,SARL ALKATEX,"69, coopérative Errabie Point du Jour",Oran,31009,Oran,Algeria,third-country,FFP,PP,,,PP - Processing Plant,,
16498,SARL BLUE MARLIN SEA FOOD PRODUCTS,Zonne industrielle,Oued Smar,16007,Algiers,Algeria,third-country,FFP,PP,,,PP - Processing Plant,07/04/2022,
35422,SARL EL MORDJANE EL ABYAD EL MOUTAOUASSITE,Cap Djinet Centre,Djinet,,Boumerdès,Algeria,third-country,FFP,PP,,,PP - Processing Plant,18/11/2025,
31461,SARL FRIO FISH,Nº 2786 Hai Si Tarek,Ain El Turk,,Oran,Algeria,third-country,FFP,PP,,,PP - Processing Plant,,
27417,SARL GHRILYAS FISH,Cite Kheloufi Route d'Oran,Mazagran,27120,Mostaganem,Algeria,third-country,FFP,PP,,,PP - Processing Plant,,
31453,SARL Healty Food,HAI CHEIKH BOUAMAMA LOT 574LT 31/30 N°1 ORAN,Oran,31009,Oran,Algeria,third-country,FFP,PP,,,PP - Processing Plant,,
35416,SARL JOHNNY FOOD ET FISH,Cité Mouilha (BOUMLIH),Djinet,,Boumerdès,Algeria,third-country,FFP,PP,,,PP - Processing Plant,11/04/2022,
23449,SARL MAREE BONOISE,"Zone d'Activité Commerciale ZAC, Sidi Salem N°19",El Bouni,23005,Annaba,Algeria,third-country,FFP,PP,,,PP - Processing Plant,03/10/2022,
