approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
15111,"Alistado 10 (Fresh Sul, Lda)",,Luanda,,Luanda,Angola,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
11111,Alistado 11 (Organizações Tamaku Lda),"Rua Direita do Cacuaco, Bairro Boa Esperança, Casa S/N",Luanda,,Luanda,Angola,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
11112,Alistado 12 (Organizações Tamaku Lda),"Rua Direita do Cacuaco, Bairro Boa Esperança, Casa S/N",Luanda,,Luanda,Angola,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
18112,"Alistado 15 (Sanesal, Lda)",,Luanda,,Luanda,Angola,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
18111,"Alistado 16 (Senasal, Lda)",,Luanda,,Luanda,Angola,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
16111,"Alistado 17 (Jovibar, Lda)",,Luanda,,Luanda,Angola,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
14111,"Alistado 2 (Canoa Douro, Lda)",,Luanda,,Luanda,Angola,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
8111,Alistado 4 (Mupindão),Largo da Maianga,Luanda,,Luanda,Angola,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
9111,Alistado 5 (Takiandu Lda),Rua Alberto Corrreia N° 40 R/C,Luanda,,Luanda,Angola,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
10111,Alistado 6 (Visamar-Agricultura Pescas E Industria Lda),Rua Comandante Kwenha N°176 1° Andar,Luanda,,Luanda,Angola,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
17111,"Alistado 9 (Orkiz, Lda)",,Luanda,,Luanda,Angola,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
3331,Atlantico 237 (Fadepa-Fish),,Luanda,,Luanda,Angola,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
3332,"Atlántico 238 (Martico, SA Mariscos Do Atlántico)",Rua Francisco das Necessidades Castelo Branco n° 12 R/C,Luanda,,Luanda,Angola,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
22111,Curbeiro,Rua Rainha Nginga Nº1674ªºandar,Luanda,,Luanda; 9194191	13/07/2026,Angola,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
2632,Demersal 9 (Organizacoes Alco Limitada),,Luanda,,Luanda,Angola,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
EMORPCC2,"Pescaria Mormolo, LDA",Caota,Benguela,,Huambo,Angola,third-country,FFP,PP,,,PP - Processing Plant,28/03/2023,
ESICC1,Sicopal LDA,Praia Amelia,Namibe,,Namibe,Angola,third-country,FFP,PP,,,PP - Processing Plant,21/03/2023,
