approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
3655,ALIMENTARIA LA POMPEYA S.A.,"RUTA PROV. N° 200 CAMINO COLONIA GUTIERREZ KM. 3,200",Marcos Paz,1727,"Partido de Marcos Paz,Buenos Aires",Argentina,third-country,ABP-SH,,,,CAT3 - Category 3,26/03/2024,
4491,AVEX S.A.,Ruta Nacional N° 8-Km. 585,Río Cuarto,5800,"Departamento Río Cuarto,Córdoba",Argentina,third-country,ABP-SH,,,,CAT3 - Category 3,,
2035,BLACK BAMBOO ENTERPRISES S.A.,"ruta 8,km 302,5",Hughes,2725,"Departamento General López,Santa Fe",Argentina,third-country,ABP-SH,,,,CAT3 - Category 3,,
2090,BUSTOS Y BELTRAN S.A.,"CAMINO A JESUS MARIA KM 10,5",Estación Juárez Celman,5111,"Departamento Colón,Córdoba",Argentina,third-country,ABP-SH,,,,CAT3 - Category 3,,
1408,Cooperativa de Trabajo Subpga de los Trabajadores Ltda.,CALLE 108 E/ CALLE 18 y CALLE 19,Berazategui,1884,"Partido de Berazategui,Buenos Aires",Argentina,third-country,ABP-SH,,,,CAT3 - Category 3,20/07/2022,
1326,Establecimiento Frigorífico Azul S.A.,Leyra 1025,Azul,7300,"Partido de Azul,Buenos Aires",Argentina,third-country,ABP-SH,,,,CAT3 - Category 3,,
2581,FRIGORIFICO CORONEL MOLDES S.A.,Ruta Nac. 8 - Km. 601,Río Cuarto,5800,"Departamento Río Cuarto,Córdoba",Argentina,third-country,ABP-SH,,,,CAT3 - Category 3,10/06/2026,12/06/2026
2553,FRIGORIFICO FAIMALI S.A.,Av. Almirante Brown 1902,Río Gallegos,9400,"Güer Aike,Santa Cruz",Argentina,third-country,ABP-SH,,,,CAT3 - Category 3,,
2792,FRIGORIFICO GENERAL PICO S.A.,Acceso Pte.Peron y Ruta 4,Trenel,6369,"Departamento Trenel,La Pampa",Argentina,third-country,ABP-SH,,,,CAT3 - Category 3,,
4072,FRIGORIFICO VISOM S.A.,JOSE LEON SUAREZ 3451,Los Polvorines,1613,"Partido de Malvinas Argentinas,Buenos Aires",Argentina,third-country,ABP-SH,,,,CAT3 - Category 3,11/02/2022,11/02/2022
2537,FRIGORÍFICO HERMOSO DE CARLOS ALBERTO HERMOSO,GATICA 472 B,Comodoro Rivadavia,9000,"Departamento Escalante,Chubut",Argentina,third-country,ABP-SH,,,,CAT3 - Category 3,14/09/2022,15/09/2022
2064,FRIGORÍFICO VILLA OLGA SOCIEDAD ANONIMA,Ruta Nac. N° 3 - Km. 699,Bahía Blanca,8000,"Partido de Bahía Blanca,Buenos Aires",Argentina,third-country,ABP-SH,,,,CAT3 - Category 3,12/05/2025,12/05/2025
3270,FRIMSA S.A.,AV. SAN ISIDRO Y JUJUY,Belén de Escobar,1623,"Partido de Escobar,Buenos Aires",Argentina,third-country,ABP-SH,,,,CAT3 - Category 3,10/03/2025,24/03/2025
2531.,Frigorifico General Pico S.A.,Calle 24 esquina 47,General Pico,6360,"Departamento Maracó,La Pampa",Argentina,third-country,ABP-SH,,,,CAT3 - Category 3,20/07/2022,
1451,Frigorifico Lamar SA,"Ruta Nacional 5 Km 94,500",Mercedes,6600,"Partido de Mercedes,Buenos Aires",Argentina,third-country,ABP-SH,,,,CAT3 - Category 3,13/10/2025,10/11/2025
1610,Granja Tres Arroyos S.A.,CNO. MATADERO MUNICIPAL S/N° MANZANA 1,Concepción del Uruguay,3260,"Departamento Uruguay,Entre Ríos",Argentina,third-country,ABP-SH,,,,CAT3 - Category 3,,
1788,Industria Alimentaria Coronel Vidal S.A.,España 478 y Ruta Nacional Nº 3,Coronel Vidal,,"Partido de Mar Chiquita,Buenos Aires",Argentina,third-country,ABP-SH,,,,CAT3 - Category 3,14/09/2022,15/09/2022
1425,Infriba S.A.,"Ruta 88 - Km. 12,5",Batán,,"Partido de General Pueyrredón,Buenos Aires",Argentina,third-country,ABP-SH,,,,CAT3 - Category 3,20/07/2022,
2009,LAND L S.A.,"Ruta 36 Km 597,5",Las Higueras,5800,"Departamento Río Cuarto,Córdoba",Argentina,third-country,ABP-SH,,,,CAT3 - Category 3,28/10/2025,21/11/2025
