approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
1620,AUSTRALIAN COUNTRY CHOICE PRODUCTION PTY LTD,,Cannon Hill,,Queensland,Australia,third-country,ABP-SH,,,,CAT3 - Category 3,09/03/2011,
3085,AUSTRALIAN MEAT GROUP PTY LTD,"LEVEL 1, 26 - 30 MCDONALD RD",Dandenong,3000,"City of Greater Dandenong,Greater Melbourne,Victoria",Australia,third-country,ABP-SH,,,,CAT3 - Category 3,11/11/2025,17/11/2025
87,AUSTRALIAN MEAT GROUP PTY LTD,572 STOCKINBINGAL ROAD,Cootamundra,2590,"Cootamundra-Gundagai Regional Council,New South Wales",Australia,third-country,ABP-SH,,,,CAT3 - Category 3,10/05/2024,18/06/2024
2608,AUSTRALIAN PET PRODUCTS PTY LIMITED,2-4 WRIGHTS PLACE,Arundel,4214,Queensland,Australia,third-country,ABP-SH,,,,CAT3 - Category 3,17/12/2025,08/01/2026
282,Australian Lamb (Colac) Pty Ltd,1 TRISTANIA DRIVE,Colac,3250,"Shire of Colac Otway,Barwon South West,Victoria",Australia,third-country,ABP-SH,,,,CAT3 - Category 3,01/08/2006,03/07/2024
369,Ausvision Meat Processors PTY LTD,,Beaufort River,,Western Australia,Australia,third-country,ABP-SH,,,,CAT3 - Category 3,01/07/2025,09/07/2025
8,Benale Pty Ltd,"LOT 520 , SETTLEMENT ROAD",Narrikup,,Western Australia,Australia,third-country,ABP-SH,,,,CAT3 - Category 3,,
239,CASINO FOOD COMPANY LIMITED,10615 SUMMERLAND WAY,Casino,2470,"Richmond Valley Council,New South Wales",Australia,third-country,ABP-SH,,,,CAT3 - Category 3,20/04/2005,03/06/2025
206,CEDAR MEATS (AUST) PTY LTD,"Lot 1, 690 Geelong Rd",Brooklyn,2083,New South Wales,Australia,third-country,ABP-SH,,,,CAT3 - Category 3,14/01/2022,14/01/2022
1892,CENTRAL AGRI GROUP PTY LTD,48 JESICA ROAD,Campbellfield,,Victoria,Australia,third-country,ABP-SH,,,,CAT3 - Category 3,18/02/2025,28/04/2025
249,Cargill Meat Processors,P.O. Box 1750,Tamworth,2340,"Tamworth Regional Council,New South Wales",Australia,third-country,ABP-SH,,,,CAT3 - Category 3,,
1230,Cool Off Pty Ltd,271 JUDE ROAD,Howlong,2643,"Federation Council,New South Wales",Australia,third-country,ABP-SH,,,,CAT3 - Category 3,27/05/2024,
486,E C THROSBY PTY LTD,,Whittingham,2330,"Singleton Council,New South Wales",Australia,third-country,ABP-SH,,,,CAT3 - Category 3,22/12/2009,07/07/2022
2309,Fletcher International Exports Pty Ltd (RJ Fletcher & Co),LOT 11 YARRANDALE ROAD,Dubbo,2830,"Dubbo Regional Council,New South Wales",Australia,third-country,ABP-SH,,,,CAT3 - Category 3,10/02/2019,23/07/2024
1265,G. & K. O'Connor Pty Ltd,KOO-WEE-RUP ROAD,Pakenham,3810,"Shire of Cardinia,Greater Melbourne,Victoria",Australia,third-country,ABP-SH,,,,CAT3 - Category 3,,
224,GBP Australia Pty Ltd,Slaughtherhouse Lane,Poowong,,"Shire of South Gippsland,Gippsland,Victoria",Australia,third-country,ABP-SH,,,,CAT3 - Category 3,,
205,GREENHAM GIPPSLAND PTY LTD,330 WALHALLA ROAD,Moe,3825,"Latrobe City,Gippsland,Victoria",Australia,third-country,ABP-SH,,,,CAT3 - Category 3,,
703,Game Meat Processing Pty Ltd.,,Wulkuraka,4305,Queensland,Australia,third-country,ABP-SH,,,,CAT3 - Category 3,24/04/2026,24/04/2026
716,Greenhams Tasmania Pty Ltd,Bacon Factory Road,Smithton,,Tasmania,Australia,third-country,ABP-SH,,,,CAT3 - Category 3,31/08/2026,01/09/2026
194,Greenmountain Food Processing Pty Ltd,,Coominya,4305,Queensland,Australia,third-country,ABP-SH,,,,CAT3 - Category 3,,
234,H.w. Greenham And Sons Pty Ltd,"222, lorimer street",Tongala,3621,"Shire of Campaspe,Loddon Mallee,Victoria",Australia,third-country,ABP-SH,,,,CAT3 - Category 3,16/06/2026,02/07/2026
43,HARDWICKS MEATWORKS PTY LTD,"LOT 4, KNIGHT COURT",Kyneton,3444,"Shire of Macedon Ranges,Loddon Mallee,Victoria",Australia,third-country,ABP-SH,,,,CAT3 - Category 3,08/09/2025,17/09/2025
648,Harvey Industries Group Pty Ltd,"SEVENTH STREET, HARVEY 6220, WESTERN AUSTRALIA",Harvey,6220,Western Australia,Australia,third-country,ABP-SH,,,,CAT3 - Category 3,,
