approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
AT 61980 EG,ALTO Fleischwerke GmbH,Florianerstraße 46,Groß Sankt Florian,8522,"Groß Sankt Florian,Bezirk Deutschlandsberg,Styria",Austria,RM,CP,N,,CP - Cutting Plant,,
AT 70533 EG,Achorner Johann jun,Bichlach 73,Reith bei Kitzbühel,6370,"Reith bei Kitzbühel,Bezirk Kitzbühel,Tyrol",Austria,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
AT 30929 EG,Aigner Anton,Unterort 20,Suttenbrunn,2020,"Bezirk Hollabrunn,Lower Austria",Austria,RM,SH,Y,,SH - Slaughterhouse,,
AT 30588 EG,Akpinar & Yildirim GmbH,Sarlingstraße 8,Säusenstein,3374,"Bezirk Melk,Lower Austria",Austria,RM,SH,Y,,SH - Slaughterhouse,,
AT 50145 EG,Alpenrind GmbH,Metzgerstraße 67,Salzburg,5020,"Statutarstadt Salzburg,Salzburg",Austria,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
AT 31731 EG,Altschach Viehhandel GmbH.,Hauptstraße 5,Windigsteig,3841,Lower Austria,Austria,RM,SH,Y,,SH - Slaughterhouse,,
AT 30640 EG,Angelmayr GmbH,Frauenhofen 88,Frauenhofen,3580,"Bezirk Horn,Lower Austria",Austria,RM,SH,Y,bovine caprine ovine,SH - Slaughterhouse,,
AT 30257 EG,Arthold OG,Zellerndorf 20,Zellerndorf,2051,"Zellerndorf,Bezirk Hollabrunn,Lower Austria",Austria,RM,SH,Y,,SH - Slaughterhouse,,
AT 42207 EG,"Bauernhof Putz, Pühringer Carina und Roland",Buchenstraße 16,Ohlsdorf,4694,"Ohlsdorf,Bezirk Gmunden,Upper Austria",Austria,RM,CP,N,bovine,CP - Cutting Plant,,
AT 41044 EG,Beiskammer Rupert und Gertrude,Guggenberg 8,Kirchham,4656,"Kirchham,Bezirk Gmunden,Upper Austria",Austria,RM,SH,Y,,SH - Slaughterhouse,,
AT31320EG,Berger Franz GesmbH & Ko KG,Betriebsgebiet 17,Eschenau,3153,"Bezirk Lilienfeld,Lower Austria",Austria,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
AT40859EG,Berger Johannes,Feuerbachstraße 4,Grünburg,4594,"Grünburg,Bezirk Kirchdorf an der Krems,Upper Austria",Austria,RM,SH,Y,caprine ovine,SH - Slaughterhouse,,
AT 50754 EG,Bergmüller Rupert,Sonnhalb 8 5511 Hüttau,Hüttau,5511,"Hüttau,Bezirk Sankt Johann im Pongau,Salzburg",Austria,RM,SH,Y,bovine,SH - Slaughterhouse,,
AT 40905 EG,Bio-Hof-Fleischerei Höglinger KG,Ollerndorf 7,Putzleinsdorf,4134,"Putzleinsdorf,Bezirk Rohrbach,Upper Austria",Austria,RM,SH,Y,bovine caprine porcine ovine,SH - Slaughterhouse,,
AT 10125 EG,Brüder Strobl OG,Hauptstraße 56,Ollersdorf im Burgenland,7533,Burgenland,Austria,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
3788172,Buchauer Johannes,Walchseestraße 27,Niederndorf,6342,"Bezirk Kufstein,Tyrol",Austria,RM,SH,Y,equine porcine ovine caprine bovine,SH - Slaughterhouse,,
AT41902EG,Buttenhauser Klaus,Unterweinberg 9,Schalchen,5231,"Schalchen,Bezirk Braunau am Inn,Upper Austria",Austria,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
8013934,Bösch Hermann,Maria-Theresien-Straße 78,Lustenau,6890,"Lustenau,Bezirk Dornbirn,Vorarlberg",Austria,RM,SH,Y,,SH - Slaughterhouse,,
AT 30330 EG,Cemile Gündüz Handel GmbH,Hauptstraße 9 (Bruderndorf),Niederhollabrunn,2004,"Bezirk Korneuburg,Lower Austria",Austria,RM,SH,Y,,SH - Slaughterhouse,,
AT 40446 EG,Dachs Fleischveredelung GmbH,Untertreubach 1,Treubach,5272,"Treubach,Bezirk Braunau am Inn,Upper Austria",Austria,RM,CP SH,Y,porcine bovine,CP - Cutting Plant | SH - Slaughterhouse,,
AT30660EG,Dachsberger & Söhne Gesellschaft m.b.H.,Gauderndorf 32,Eggenburg,3730,"Eggenburg,Bezirk Horn,Lower Austria",Austria,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
AT 30805 EG,Ebner GmbH Fleischhauerei u. Viehhandel,Bahnstraße 4,Irnfritz,3754,"Bezirk Horn,Lower Austria",Austria,RM,SH,Y,,SH - Slaughterhouse,,
AT30865EG,"Ehn Friedrich, Schlachthof GesmbH",Großweikersdorferstraße 43,Oberrußbach,3702,"Bezirk Korneuburg,Lower Austria",Austria,RM,SH,Y,,SH - Slaughterhouse,,
AT80162EG,Fessler Martin,Schüssellehen 28,Eichenberg,6911,"Eichenberg,Bezirk Bregenz,Vorarlberg",Austria,RM,SH,Y,,SH - Slaughterhouse,,
AT 30708 EG,Fleischerei Hofmann GmbH,Sparkassegasse 26-28,Hollabrunn,2020,"Bezirk Hollabrunn,Lower Austria",Austria,RM,CP,N,,CP - Cutting Plant,,
AT61877EG,Fleischhof Raabtal GmbH,Berndorf 119,Kirchberg an der Raab,8324,"Kirchberg an der Raab,Bezirk Südoststeiermark,Styria",Austria,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
AT 60447 EG,Franz Kornberger Viehhandel e. U.,Hinteregg 61,Pöllau,8225,"Pöllau,Bezirk Hartberg-Fürstenfeld,Styria",Austria,RM,CP SH,Y,bovine caprine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
AT 40694 EU,Friedrich Pöll Gesellschaft m.b.H. & Co. KG.,Bahnhofstraße 27,Vorchdorf,4655,"Vorchdorf,Bezirk Gmunden,Upper Austria",Austria,RM,CP SH,Y,bovine caprine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
AT 10164 EG,Fröch GmbH,Kirchenplatz 3,Zemendorf,7023,"Bezirk Mattersburg,Burgenland",Austria,RM,CP SH,Y,bovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
AT30173EG,Fröch-Fleisch GesmbH,Neunkirchner Straße 65,Wiener Neustadt,2700,"Wiener Neustadt,Statutarstadt Wiener Neustadt,Lower Austria",Austria,RM,CP,N,,CP - Cutting Plant,,
50245,Fuchs Stephan,Gartenauerstraße 9,Grödig,5083,"Grödig,Bezirk Salzburg-Umgebung,Salzburg",Austria,RM,SH,Y,,SH - Slaughterhouse,,
AT 30359 EG,Gantner Rudolf Karl jun.,Obritz 29,Obritz,2061,"Bezirk Hollabrunn,Lower Austria",Austria,RM,SH,Y,,SH - Slaughterhouse,,
AT 31503 EG,Grandits GmbH,Ungerbachstraße 10,Kirchschlag in der Buckligen Welt,2860,"Bezirk Wiener Neustadt,Lower Austria",Austria,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
AT31335EG,Grandits GmbH,Zinsenhof 9,"Ruprechtshofen, Noe",3244,Lower Austria,Austria,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
AT 40559 EU,Greisinger GmbH,Klamer Straße 10,Münzbach,4323,"Münzbach,Bezirk Perg,Upper Austria",Austria,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
AT 41304 EG,Gruber Georg,Einsiedlstraße 2,Schwanenstadt,4690,"Schwanenstadt,Bezirk Vöcklabruck,Upper Austria",Austria,RM,CP SH,Y,bovine ovine equine,CP - Cutting Plant | SH - Slaughterhouse,,
