approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
128,ALBEMARLE ISLAND,--,Nassau,,,Bahamas,third-country,FFP,RV,,,RV - Reefer Vessel,,
219,ANGARA,"Dept. Marine Resources East Bay Street, New Providence",Nassau,,9136890	29/05/2026,Bahamas,third-country,FFP,RV,,,RV - Reefer Vessel,,
129,ATLANTIC ACANTHUS,--,Nassau,,,Bahamas,third-country,FFP,RV,,,RV - Reefer Vessel,,
204,Argos Reefer,"East Bay Street, New Providence",Nassau,,9184548	12/12/2024,Bahamas,third-country,FFP,RV,,,RV - Reefer Vessel,,
43,Arma Import/Export,Grand Bahama,City of Freeport,,,Bahamas,third-country,FFP,PP,,,PP - Processing Plant,18/02/2022,
130,Autumn Stream,,Nassau,,,Bahamas,third-country,FFP,RV,,,RV - Reefer Vessel,,
174,BALTIC ERICA,,Nassau,,,Bahamas,third-country,FFP,RV,,,RV - Reefer Vessel,,
124,BALTIC PEARL,,Nassau,,,Bahamas,third-country,FFP,RV,,,RV - Reefer Vessel,,
147,BALTIC PURPLE,-,Nassau,,,Bahamas,third-country,FFP,RV,,,RV - Reefer Vessel,,
113,BALTIC WINTER,,Nassau,,,Bahamas,third-country,FFP,RV,,,RV - Reefer Vessel,,
131,BARRINGTON ISLAND,--,Nassau,,,Bahamas,third-country,FFP,RV,,,RV - Reefer Vessel,,
30,BAYER SEAFOOD,,Burnt Ground Settlement,,,Bahamas,third-country,FFP,PP,,,PP - Processing Plant,,
167,Baltic Heather,,Nassau,,,Bahamas,third-country,FFP,RV,,,RV - Reefer Vessel,,
168,Baltic Hollyhock,,Nassau,,,Bahamas,third-country,FFP,RV,,,RV - Reefer Vessel,,
176,Baltic Lady,East Bay Street,Nassau,,9160736	17/05/2023,Bahamas,third-country,FFP,RV,,,RV - Reefer Vessel,,
171,Baltic Patriot,,Nassau,,,Bahamas,third-country,FFP,RV,,,RV - Reefer Vessel,,
166,Baltic Performer,,Nassau,,,Bahamas,third-country,FFP,RV,,,RV - Reefer Vessel,,
170,Baltic Spring,,Nassau,,,Bahamas,third-country,FFP,RV,,,RV - Reefer Vessel,,
169,Baltic Summer,,Nassau,,,Bahamas,third-country,FFP,RV,,,RV - Reefer Vessel,,
133,Beluga Reefer,,Nassau,,,Bahamas,third-country,FFP,RV,,,RV - Reefer Vessel,,
140,CHARLES ISLAND,,Nassau,,,Bahamas,third-country,FFP,RV,,,RV - Reefer Vessel,,
164,COOL SPIRIT,-,Nassau,,,Bahamas,third-country,FFP,RV,,,RV - Reefer Vessel,,
150,CROWN GARNET,-,Nassau,,,Bahamas,third-country,FFP,RV,,,RV - Reefer Vessel,,
153,CROWN JADE,-,Nassau,,,Bahamas,third-country,FFP,RV,,,RV - Reefer Vessel,,
158,CROWN OPAL,,Nassau,,,Bahamas,third-country,FFP,RV,,,RV - Reefer Vessel,,
154,CROWN RUBY,-,Nassau,,,Bahamas,third-country,FFP,RV,,,RV - Reefer Vessel,,
159,CROWN SAPPHIRE,,Nassau,,,Bahamas,third-country,FFP,RV,,,RV - Reefer Vessel,,
151,CROWN TOPAZ,-,Nassau,,,Bahamas,third-country,FFP,RV,,,RV - Reefer Vessel,,
208,Callisto,East Bay Street,Nassau,,9073402	26/05/2025,Bahamas,third-country,FFP,RV,,,RV - Reefer Vessel,,
