approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
SAT-140,ACI Agrolink Limited,"Amian, Kaligonj",Satkhira,,Khulna Division,Bangladesh,third-country,FFP,PP,,,PP - Processing Plant,,
KLN-57,Achia Sea Foods Ltd.,,Khulna,9000,Khulna Division,Bangladesh,third-country,FFP,PP,,,PP - Processing Plant,,
BAG-136,Alpha Accessories & Agro Export Ltd.,"Nowpara (Khatakhli), Fakirhat, Bagerhat, Bangladesh",Bagerhat,9100,Khulna Division,Bangladesh,third-country,FFP,PP,,,PP - Processing Plant,,
KLN-19,Amam Sea Food Ind. Ltd.,"House 84, Road #02, Sonadanga R/A",Khulna,9000,Khulna Division,Bangladesh,third-country,FFP,PP,,,PP - Processing Plant,,
CTG-42,Anraj Fish Products Industries Ltd.,"301 Hathazari Road, West Sholashahar",Chittagong,4000,Chittagong Division,Bangladesh,third-country,FFP,PP,,,PP - Processing Plant,,
CTG-35,Apex Foods Limited,51-B (1) Shagarika Road,Chittagong,4219,Chittagong Division,Bangladesh,third-country,FFP,PP,,,PP - Processing Plant,26/05/2025,
KLN-118,Apollo Sea Foods Limited,"City Palace (2nd.Floor), 16, Haji Mohsin Road",Khulna,9000,Khulna Division,Bangladesh,third-country,FFP,PP,,,PP - Processing Plant,,
SAT- 144,Aquamax Limited,"Datinakhali, Shyamnagar, Satkhira",Satkhira,,Khulna Division,Bangladesh,third-country,FFP,PP,,,PP - Processing Plant,20/11/2023,
CTG-66,Ark Sea Foods Ltd.,"BSCIC Industrial Estate, Faujdarhat, Sagarika Road",Chittagong,4000,Chittagong Division,Bangladesh,third-country,FFP,PP,,,PP - Processing Plant,,
KLN-107,Asian Sea Food Ltd.,,Khulna,9000,Khulna Division,Bangladesh,third-country,FFP,PP,,,PP - Processing Plant,,
KLN-77,Atlas Sea Food Ltd.,RUPSHA APPROACH ROAD,Khulna,9000,Khulna Division,Bangladesh,third-country,FFP,PP,,,PP - Processing Plant,,
CTG-97,BD Seafood Limited,"CDA Plot No. 68-W(P), Sagarica Road, Pahartali",Chittagong,4000,Chittagong Division,Bangladesh,third-country,FFP,PP,,,PP - Processing Plant,,
