approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
0011МС,JSC BEREZOVSKIY MEAT CONNERY ENTERPRISE,"BEREZA, SVERDLOVA STR.1",Berioza,,Brest Region,Belarus,third-country,ABP-SH,,,,CAT3 - Category 3,,
0029МС,JSC Brest Meat Plant,,Brest,224000,"Brest,Brest Region",Belarus,third-country,ABP-SH,,,,CAT3 - Category 3,,
0029MC,JSC Brest meat plant,"Fort \,7",Brest,224000,"Brest,Brest Region",Belarus,third-country,ABP-SH,,,,CAT3 - Category 3,,
0027MC,JSC Kobrin meat plant,"Gomelskoye \,3",Kobrin,225830,"Kobryn District,Brest Region",Belarus,third-country,ABP-SH,,,,CAT3 - Category 3,,
0030MC,JSC PINSKY MEATCOMBINAT,INDRUSTRIALNAJA 1,Pinsk,225716,"Pinsk,Brest Region",Belarus,third-country,ABP-SH,,,,CAT3 - Category 3,,
0015MC,OJSC Grodno meat-processing plant,"Gorkogo \,105",Hrodna,2,"Hrodna,Hrodna Region",Belarus,third-country,ABP-SH,,,,CAT3 - Category 3,,
0016MC,OJSC Oshmyanski- meat-packing plant,"Pionerskaya \,52",Oshmyany,,Hrodna Region,Belarus,third-country,ABP-SH,,,,CAT3 - Category 3,,
0021MC,OJSC Slonim Meat-Packing Plant,,Slonim,,"Slonim District,Hrodna Region",Belarus,third-country,ABP-SH,,,,CAT3 - Category 3,,
0014MC.,OJSC Volkovysk Meat-processing Plant,VOLKOWYSK OKTJÁBSZKAYA STR151,Volkovysk,,Hrodna Region,Belarus,third-country,ABP-SH,,,,CAT3 - Category 3,,
BY 05-05-26,CJSC DG-Centr,Zavodskaya 39A/3,Fanipol,,Minsk Region,Belarus,third-country,FFP,PP,,,PP - Processing Plant,,
BY 02-04-19,FLLC «Prodexim»,"Republic of Belarus. 210040, Vitebsk. Zhurzhevskaja str.. 6",Vitebsk,,"Витебский городской Совет,Vitsebsk Region",Belarus,third-country,FFP,PP,,,PP - Processing Plant,,
BY 01-02-23,"GV ""Transoexpress"" LTD","Lenina st, 108/1",Берёза,,"Kobryn District,Brest Region",Belarus,third-country,FFP,PP,,,PP - Processing Plant,,
BY 04-11-01,"JV ""Leor Plastic"" LLC","Novogrudok, st. Sverdlova, 38a",Novogrudok,,Hrodna Region,Belarus,third-country,FFP,PP,,,PP - Processing Plant,,
BY 01-03-02,"Joint Venture ""Santa Bremor"" LLC","Katin Bor, 106",Brest,224000,"Brest,Brest Region",Belarus,third-country,FFP,PP,,,PP - Processing Plant,,
BY 04-10-24,Ltd Kamchatskaya Ryba,"Sovetskaya St, 12",Village Neman,,"Grodno District,Hrodna Region",Belarus,third-country,FFP,PP,,,PP - Processing Plant,,
BY 01-14-22,"OJC ""Fish-farm ""Polesye""","Pinsk district, village Vayz",Vayz,,Brest Region,Belarus,third-country,FFP,PP,,,PP - Processing Plant,,
BY 01-02-03,OSC Pilot Fishfarm Selets,"Beroyza district, Brest region, Republic of Belarus",Mormozhevo,,Brest Region,Belarus,third-country,FFP,PP,,,PP - Processing Plant,,
BY 07-11-26,UE «Minskintercaps»,"Republic of Belarus. 220075, Minsk region, Minsk, Inzhenernaya street, 26",Minsk District,,Minsk Region,Belarus,third-country,FFP,PP,,,PP - Processing Plant,,
