approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
F913,A. LONHIENNE,"Rue de Droixhe, 21",Liège,4020,"Liège,Wallonia",Belgium,RM,CP,N,bovine caprine ovine,CP - Cutting Plant,,
F101349,A.F.B.,Daalstraat 4,Affligem,1790,"Flemish Brabant,Flanders",Belgium,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
1,ABATTOIR Nv,Quai Industrie 168,Anderlecht,1070,Brussels-Capital,Belgium,RM,SH,Y,bovine caprine ovine equine,SH - Slaughterhouse,,
F694 - 1,ALVLEES,Lange Slachterijstraat 51-59,Antwerpen,2060,"Antwerp,Flanders",Belgium,RM,CP,N,bovine,CP - Cutting Plant,,
32/4,ANI-VIANDES (Dussart Nicolas),"Place de l'Abattoir, 1",Charleroi,6000,"Hainaut,Wallonia",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F920,AUDENAERT-DE MEESTER,Hekelaarslaan 4,Lokeren,9160,"East Flanders,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
1 (1),Abaco,Quai Industrie 168,Anderlecht,1070,Brussels-Capital,Belgium,RM,SH,Y,bovine caprine ovine equine,SH - Slaughterhouse,,
136,Abattoir Communal D'Aubel,Rue de Merckhof 111,Aubel,4880,"Liège,Wallonia",Belgium,RM,SH,Y,bovine caprine ovine,SH - Slaughterhouse,,
102305,Abattoir Communal De Virton,Rue d'Arlon 92,Virton,6760,"Luxembourg,Wallonia",Belgium,RM,SH,Y,,SH - Slaughterhouse,,
100963,Abattoir Communal de Gedinne,Rue Moulinai 38,Gedinne,5575,"Namur,Wallonia",Belgium,RM,SH,Y,bovine caprine ovine equine porcine,SH - Slaughterhouse,,
83,Abattoir De Liège,Rue de Droixhe 15,Liège,4020,"Liège,Wallonia",Belgium,RM,SH,Y,bovine caprine ovine,SH - Slaughterhouse,,
140,Abattoir communal,Chemin des Peupliers 22,Ath,7800,"Hainaut,Wallonia",Belgium,RM,SH,Y,bovine caprine ovine equine porcine,SH - Slaughterhouse,,
F104918,Amar K,Rue Ropsy Chaudron 24,Anderlecht,1070,Brussels-Capital,Belgium,RM,CP,N,bovine caprine ovine,CP - Cutting Plant,,
1/05,Amnimeat B.V.B.A.,Rue Ropsy Chaudron 24/5,Anderlecht,1070,Brussels-Capital,Belgium,RM,CP,N,bovine porcine,CP - Cutting Plant,,
36/1 (5),Anseeuw Sven,Statiestraat 153,Lichtervelde,8810,"West Flanders,Flanders",Belgium,RM,CP,N,bovine,CP - Cutting Plant,,
F104436,Ardenne Bovin Sprl,Avenue des Moissons 24,Perwez,1360,"Walloon Brabant,Wallonia",Belgium,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
F103736,Atelier St.-Pierre,Buntstraat 67,Evergem,9940,"East Flanders,Flanders",Belgium,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
F5,BACKX CHRIS BVBA,Molenweg 11,Wetteren,9230,"East Flanders,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
F234,BEEF WORLD,Avenue de Heppignies(H) 1,Fleurus,6220,"Hainaut,Wallonia",Belgium,RM,CP,N,bovine,CP - Cutting Plant,,
F105253,BELFOOD CHICKEN PRODUCTS,Karnemelkstraat 7,Zelzate,9060,"East Flanders,Flanders",Belgium,RM,CP,N,bovine,CP - Cutting Plant,,
130/2,BELLIPORC,Winkelom 56,Geel,2440,"Antwerp,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
F819,BENS NV,Nijverheidsstraat 24,Westerlo,2260,"Antwerp,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
F1085,BERNARD GOTTA,Rue de Droixhe 23,Liège,4020,"Liège,Wallonia",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F129,BEST-VLEES,Vladslostraat 20 A,Diksmuide,8600,"West Flanders,Flanders",Belgium,RM,CP,N,bovine,CP - Cutting Plant,,
F104356,BIELEN FRANK,Hasseltsesteenweg 532,Tongeren-Borgloon,3700,"Limburg,Flanders",Belgium,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
F105331,BIZIM KASAP,Meulesteedsesteenweg 507,Ghent,9000,"East Flanders,Flanders",Belgium,RM,CP,N,bovine caprine ovine,CP - Cutting Plant,,
101281,BOUCHERIE ARTISANALE DOMINIQUE,Rue d'Aulnoit 23,Ellezelles,7890,"Hainaut,Wallonia",Belgium,RM,SH,Y,bovine caprine ovine porcine,SH - Slaughterhouse,,
F100398,BOURGONJON,Nijverheidskaai 18/B,Ghent,9040,"East Flanders,Flanders",Belgium,RM,CP,N,bovine porcine,CP - Cutting Plant,,
F101656,BOVIAN BVBA,Naamsesteenweg 29,Oud-Heverlee,3052,"Flemish Brabant,Flanders",Belgium,RM,CP,N,bovine porcine,CP - Cutting Plant,,
1/38,BOVO NV,Rue Ropsy Chaudron 24,Anderlecht,1070,Brussels-Capital,Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F149,BRACKENIER Oscar en Eric,Keiberg 13,Oosterzele,9860,"East Flanders,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
101070,BRICLET BENOIT,Place de Strée(ST) 2,Strée,6511,"Hainaut,Wallonia",Belgium,RM,SH,Y,bovine caprine ovine porcine,SH - Slaughterhouse,,
F409,BVBA Bert Maes,Nijverheidsstraat 2,Tielt,8760,"West Flanders,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
100811,BVBA Openbaar Slachthuis Diksmuide-Oudekapelle,Nieuwkapellestraat 42,Diksmuide,8600,"West Flanders,Flanders",Belgium,RM,SH,Y,caprine ovine equine porcine bovine,SH - Slaughterhouse,,
F98,Beirens Andre,Zandstraat 97,Erpe-Mere,9420,"East Flanders,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
103758,Belgian Meat Company,Rue du Blanc Bleu Belge 21,Mouscron/Moeskroen,7700,"Hainaut,Wallonia",Belgium,RM,SH,Y,porcine,SH - Slaughterhouse,,
F542,Bens Retail,Westerring 19,Oudenaarde,9700,"East Flanders,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
F 508,Bonmeat,"Houtelweg, 1",Rijkevorsel,2310,"Antwerp,Flanders",Belgium,RM,CP,N,,CP - Cutting Plant,,
F104750,Boucherie De La Ferme Des Noyers,"Rue des Corbeaux, Corroy 31",Chaumont-Gistoux,1325,"Walloon Brabant,Wallonia",Belgium,RM,CP,N,bovine caprine ovine,CP - Cutting Plant,,
F850,Breydel,Legen Heirweg 2,Gavere,9890,"East Flanders,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
F103354,CAMPO,Oostmalsebaan 3,Brecht,2960,"Antwerp,Flanders",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F101314,CARMANS E. & L.,Nijverheidspark 42,Beringen,3580,"Limburg,Flanders",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F388(1),CARMO,Overbroekstraat 6,Wellen,3830,"Limburg,Flanders",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F1124,CHABOT VIANDES S.A.,"Rue de la Naïe, Pre. 18",Couvin,5660,"Namur,Wallonia",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F629,CHARCUTERIE BOVIE,Plein 10,Tongeren-Borgloon,3700,"Limburg,Flanders",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F60,CHEVIDECO,Lar P20,Menen,8930,"West Flanders,Flanders",Belgium,RM,CP,N,equine,CP - Cutting Plant,,
79/2-1,CINFRA BVBA,Mechelsesteenweg 101,Heist-op-den-Berg,2220,"Antwerp,Flanders",Belgium,RM,CP,N,bovine,CP - Cutting Plant,,
F446,COENEN & CO VLEESWAREN EN ZUIVELPRODUKTEN,Groenlarenstraat 40,Lummen,3560,"Limburg,Flanders",Belgium,RM,CP,N,bovine,CP - Cutting Plant,,
