approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
BZE-FP-ATG-036,ATLANTIC GLORY (MORGAN & MORGAN TRUST CORP BELIZE LTD.),"3rd Floor, Withfield Tower, 4792 Coney Drive",Belize City,,Belize District,Belize,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
BZE-FP-ATP-033,ATLANTIC PRINCE (MORGAN & MORGAN TRUST CORP BELIZE LTD.),"3rd Floor, Withfield Tower, 4792 Coney Drive",Belize City,,Belize District,Belize,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
BZE-FP-BOL-044,BAO LUCKY,Oriental Ocean Fishing Limited 3301 Chetumal Street,Belize City,,Belize District; 7809273	09/03/2022,Belize,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
BZE-FP-BOW-046,BAO WIN,"Fortune Ocean Fishing Company Limited Withfield Towers, 3rd Floor, 4792 Coney Drive",Belize City,,Belize District; 7360320	24/03/2022,Belize,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
BZE-FP-DA7-051,DICHA SIETE,"Dicha International Ventures Ltd., 60 Market Square",Belize City,,Belize District; 9197650	20/01/2026,Belize,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
BZE-FP-DA1-042,DICHA UNO,Dicha International Ventures Ltd. 60 Market Square,Belize City,,Belize District,Belize,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
BZE-FP-JCG-044,JC Gloria,"Laus Fishing Company Limited -Withfield Tower, 3rd Floor, 4792 Coney Drive, Belize City, Belize P.O BOX 1777",Belize,,Belize District; 8988818	08/03/2022,Belize,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
BZE-FP-JCV-050,JC Victoria,"Laus Fishing Company Limited Withfield Tower, 3rd Floor 4792 Coney Drive Belize City",Belize City,,Belize District; 7641580	07/05/2024,Belize,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
BZE-FP-PTO-032,PITUFO (MORGAN & MORGAN TRUST CORP BELIZE LTD.),"3rd Floor, Withfield Tower, 4792 Coney Drive",Belize City,,Belize District,Belize,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
BZE-FP-PSC-040,PRAIA DE SANTA CRUZ,"MFV LOOTUS OSAÜHING MILE 3.5, PHILLIP GOLDSON HIGHWAY",Belize,,Belize District,Belize,third-country,FFP,FV,,,FV - Factory Vessel,,
BZE-FP-PLA-048,Playa de Laga,"SEA BREEZE VENTURES LTD, P.O. BOX 364, 60 Market Place",Belize City,,Belize District,Belize,third-country,FFP,ZV ZVB,,,ZV - Freezer Vessel | ZVB - Freezer vessel freezing tuna in brine at -18°C,27/01/2023,
BZE-FP-RSL-035,RAINFOREST CARIBBEAN LIMITED,"Big Creek, Independence Village, Stann Creek District",Belize,,Belize District,Belize,third-country,FFP,PP,,,PP - Processing Plant,,
