approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
2-110,"""ATLANTIC ARGETA"" D.o.o.",Patriotske lige 73,Hadžići,71240,"Sarajevo Canton,Entity Federation of Bosnia and Herzegovina",Bosnia and Herzegovina,third-country,FFP,PP,,,PP - Processing Plant,,
2-1152,"""Andrea & Giovanni"" D.o.o.","PJ br. 2, Fra Nikole Ivankovića 13",Ljubuški,88000,"West Herzegovina Canton,Entity Federation of Bosnia and Herzegovina",Bosnia and Herzegovina,third-country,FFP,PP CS,,,PP - Processing Plant | CS - Cold Stores,,
BA-3-0192,"""Fratello Trade"" A.d.",,Banja Luka,78111,Republika Srpska,Bosnia and Herzegovina,third-country,FFP,CS,,,CS - Cold Stores,02/10/2025,
K-3-102,"""RIBARSTVO VIR"" D.o.o.",Zepa b.b.,Рогатица,71000,Republika Srpska,Bosnia and Herzegovina,third-country,FFP,PP,,,PP - Processing Plant,,
BA-3-0207,'Fratello Trade'' A.d.,Ramići b.b.,Banja Luka,78111,Republika Srpska,Bosnia and Herzegovina,third-country,FFP,PP CS,,,PP - Processing Plant | CS - Cold Stores,02/10/2025,
R-3-011,'RIBNJAK JANJ' D.o.o.,Urosa Drenovica 105,Banja Luka,78111,Republika Srpska,Bosnia and Herzegovina,third-country,FFP,PP,,,PP - Processing Plant,,
2-2142,Bariba d.o.o.,Nova cesta 11 Semizovac,Vogošća,71320,"Sarajevo Canton,Entity Federation of Bosnia and Herzegovina",Bosnia and Herzegovina,third-country,FFP,PP,,,PP - Processing Plant,12/05/2025,
2-1523,EURO FISH RIBA D.o.o.,Radišići 403,Ljubuški,88000,"West Herzegovina Canton,Entity Federation of Bosnia and Herzegovina",Bosnia and Herzegovina,third-country,FFP,PP,,,PP - Processing Plant,,
RP-2-108,Laks d.o.o.,Salakovac b.b.,Mostar,88201,"Herzegovina-Neretva Canton,Entity Federation of Bosnia and Herzegovina",Bosnia and Herzegovina,third-country,FFP,PP,,,PP - Processing Plant,,
K-3-111,STUDEN-PROM,Karakaj 102A,Zvornik,75000,Republika Srpska,Bosnia and Herzegovina,third-country,FFP,PP,,,PP - Processing Plant,,
2-1488,Salmon d.o.o.,Salakovac b.b.,Mostar,88000,"Herzegovina-Neretva Canton,Entity Federation of Bosnia and Herzegovina",Bosnia and Herzegovina,third-country,FFP,PP,,,PP - Processing Plant,11/10/2022,
RP-2-121,Zuvela HB D.o.o.,Radimlja b.b.,Stolac,88000,"Herzegovina-Neretva Canton,Entity Federation of Bosnia and Herzegovina",Bosnia and Herzegovina,third-country,FFP,PP,,,PP - Processing Plant,,
2-1665,Mesna Industrija Rakitno d.o.o. Posušje,Rakitno-Vrpolje b.b.,Vrpolje,88245,"West Herzegovina Canton,Entity Federation of Bosnia and Herzegovina",Bosnia and Herzegovina,third-country,RM,SH CP CS,Y,,SH - Slaughterhouse | CP - Cutting Plant | CS - Cold Stores,,
2-116,"""BROVIS"" d.d.",Dobrinje b.b.,Visoko,73000,"Zenica-Doboj Canton,Entity Federation of Bosnia and Herzegovina; A Poultry",Bosnia and Herzegovina,third-country,PM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
2-255,"""MADI"" d.o.o.",Poslovna zona Vila 16,Tešanj,74000,"Zenica-Doboj Canton,Entity Federation of Bosnia and Herzegovina; A Poultry",Bosnia and Herzegovina,third-country,PM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
BA-3-0095,PERUTNINA PTUJ S D.o.o.,Povelic bb,Srbac,78420,Republika Srpska; A Poultry,Bosnia and Herzegovina,third-country,PM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,01/08/2024,
BA-3-0181,Perutnina Ptuj BH d.o.o. Breza - poslovna jedinica Trn-Laktaši,Svetosavska 102A,Trn,78252,Republika Srpska; A Poultry,Bosnia and Herzegovina,third-country,PM,CS,N,,CS - Cold Stores,07/08/2026,
2-640,VIMAR GROUPE d.o.o.,"Industrijska zona Ozrakovići bb, 71300",Visoko,73000,"Zenica-Doboj Canton,Entity Federation of Bosnia and Herzegovina; A Poultry",Bosnia and Herzegovina,third-country,PM,CP,N,,CP - Cutting Plant,,
