approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
2137,ABATEDOURO COROAVES LTDA,"ESTRADA DA FRUTA. Nº 831 - LOTE 145, GLEBA PATRIMÔNIO MARINGÁ, 87.070-002, MARINGÁ-PR",Maringá,87065571,"Mesorregião Norte Central Paranaense,Paraná,South Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,22/09/2025,24/10/2025
414,ADORO S/A,"EST DE ACESSO SP 053/332, S/N, KM 4 BAIRRO DO MURSA CEP 13.226-400 Varzea Paulista - SP",Várzea Paulista,13224430,"Mesorregião Macro Metropolitana Paulista,São Paulo,Southeast Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,19/02/2018,23/12/2025
3941,AGRA AGROINDUSTRIAL DE ALIMENTOS S/A,"ROD. BR 163 KM 114,6 - ZONA RURAL",Rondonopolis,78740000,"Mesorregião Sudeste Mato-Grossense,Mato Grosso,Central-West Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,,
1440,AGROINDUSTRIAL IGUATEMI LTDA.,"ROD. IGUATEMI/SETE QUEDAS S/Nº, KM 1,5, CHACARA CEP:79.960-000 IGUATEMI- MS",Iguatemi,79960000,"Mesorregião Sudoeste de Mato Grosso do Sul,Mato Grosso do Sul,Central-West Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,13/11/2024,18/11/2024
1433,AGROINDUSTRIAL IRMÃOS DALLA COSTA LTDA,"ROD. SP 284, Km 519 S/nº BAIRRO: ÁGUA DA LAVADEIRA",Rancharia,,"Mesorregião de Presidente Prudente,São Paulo,Southeast Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,,
915,ALIBEM ALIMENTOS S. A.,RUA TIRADENTES 1605 BAIRRO: CENTRO,Santo Ângelo,98801590,"Mesorregião Noroeste Rio-Grandense,Rio Grande do Sul,South Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,,
2146,ALIBEM ALIMENTOS S. A.,"AV. INHACORÁ, 1425 BAIRRO: TIMBAUVA",Santa Rosa,97390000,"Mesorregião Sudoeste Rio-Grandense,Rio Grande do Sul,South Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,,
1184,ALIMENTOS ESTRELA LTDA,RUA VICENTE FERRER DO PRADO S/N BAIRRO GRM,São Luiz Gonzaga,97800000,"Mesorregião Noroeste Rio-Grandense,Rio Grande do Sul,South Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,,
4232,AVENORTE AVICOLA CIANORTE LTDA,"EST ESTRADA PARA FECULA KM 04 LOTES, 905 A 910, S/N - BAIRRO: ZONA RURAL CEP: 87.212-899",Cianorte,87201108,"Mesorregião Noroeste Paranaense,Paraná,South Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,11/10/2018,28/02/2026
4017,Agrosul Agroavicola Industrial S/A,"RUA WALDOMIRO FREIBERGER, 1000 Campestre São Sebastião do Caí- RS Cep:95.760-000",São Sebastião do Caí,95760000,"Metropolitan Mesoregion of Porto Alegre,Rio Grande do Sul,South Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,20/04/2022,20/04/2022
3409,BELLO ALIMENTOS LTDA,"A RURAL RODOVIA BR 163, KM 74, S/N BAIRRO: AREA RURAL DE ITAQUIRAI CEP: 79.968-899",Itaquiraí,,"Mesorregião Sudoeste de Mato Grosso do Sul,Mato Grosso do Sul,Central-West Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,03/01/2018,09/01/2026
3659,BJ RECICLAGEM ANIMAL LTDA,"ROD. EUPHLY JALLES SP, 563, KM 348 BAIRRO: ZONA RURAL",Jales,,"Mesorregião de São José do Rio Preto,São Paulo,Southeast Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,,
104,BRF S. A.,"AV SENADOR ATTILIO FRANCISCO XAVIER FONTANA, 600-E, ALA 01, BAIRRO EFAPI, Chapecó/SC, CEP: 89.809-901",Chapeco,89800000,"Mesorregião do Oeste Catarinense,Santa Catarina,South Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,23/02/2018,15/02/2026
466,BRF S. A.,"Ac Cidade Alta, 4700",Capinzal,,"Mesorregião do Oeste Catarinense,Santa Catarina,South Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,,
1449,BRF S. A.,"R CARLOS SPOHR FILHO, 2836, SETOR 1 CEP: 95901-178 MOINHOS LAJEADO - RS",Lajeado,95900970,"Mesorregião Centro-Oriental Rio-Grandense,Rio Grande do Sul,South Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,23/02/2017,05/05/2025
1001,BRF S. A.,ROD. BR 060 KM 394 S/N° SETOR INDUSTRIAL RIO VERDE - GO CEP:75.904-900,Rio Verde,,"Mesorregião Sul Goiano,Goiás,Central-West Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,22/09/2022,23/09/2022
103,BRF S. A.,"AV. ARTHUR OSCAR, 1706 Bairro: Centro Cep: 99250-000 SERAFINA CORRÊA - RS",Serafina Corrêa,99250000,"Mesorregião Nordeste Rio-Grandense,Rio Grande do Sul,South Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,23/02/2018,19/12/2025
2014,BRF S. A.,"ROD RS 324, S/N, KM 76 SANTA RITA CEP:99.150-000 MARAU - RS",Marau,99150000,"Mesorregião Noroeste Rio-Grandense,Rio Grande do Sul,South Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,27/02/2018,30/12/2025
716,BRF S. A.,"AV. SENADOR ATTILIO FONTANA, 4040, SETOR ALA 01 Bairro: CENTRO Município: TOLEDO UF: PR CEP: 85900900",Toledo,85900110,"Mesorregião Oeste Paranaense,Paraná,South Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,12/09/2023,12/09/2023
18,BRF S. A.,"R VEREADOR MARIO FERREIRA DE ARAGAO, 385, DISTRITO INDUSTRIAL DE DOURADOS, CEP: 79.839-707, DOURADOS/MS",Dourados,79830020,"Mesorregião Sudoeste de Mato Grosso do Sul,Mato Grosso do Sul,Central-West Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,08/05/2018,10/02/2026
3515,BRF S.A,"ROD MT 449, KM 4,6 (ROD. DA MUDANCA), 6000N, SETOR 41 QUADRA999 LOTE 03 BAIRRO: INDUSTRIAL CEP: 78.460-417 LUCAS DO RIO VERDE - MT",Lucas do Rio Verde,784555000,"Mesorregião Norte Mato-Grossense,Mato Grosso,Central-West Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,08/01/2025,09/01/2025
1,BRF S.A,"RUA SENADOR ATILIO FRANCISCO XAVIER FONTANA, 86 - ALA 01 Bairro: Centro CEP: 89.700-907",Concórdia,89700000,"Mesorregião do Oeste Catarinense,Santa Catarina,South Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,,
2518,BRF S.A.,"AV ATTILIO FONTANA, nº 4000, SETOR ALA 01 PINHEIRINHO CEP : 85.603-025 FRANCISCO BELTRÃO - PR",Francisco Beltrão,85601070,"Mesorregião Sudoeste Paranaense,Paraná,South Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,23/02/2024,23/02/2024
4567,BRF S.A.,"R MARY LOIZE, 511 S, QUADRABRF LOTE 0001 Bairro Industrial Cep: 78450-000 Nova Mutum -MT",Nova Mutum,78450000,"Mesorregião Norte Mato-Grossense,Mato Grosso,Central-West Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,08/12/2017,19/12/2025
4569,BUGIO AGROPECUARIA LTDA,"Rodovia SC 283, s/nº, km 8, Interior, CEP 89.801-973, Chapecó, SC",Chapeco,89800000,"Mesorregião do Oeste Catarinense,Santa Catarina,South Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,29/07/2025,31/07/2025
941,Barra Mansa Comercio De Carnes E Derivados Ltda.,SÍTIO NOSSA SENHORA APARECIDA S/N° BAIRRO:ZONA RURAL,Sertãozinho,14120000,"Mesorregião de Ribeirão Preto,São Paulo,Southeast Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,,
4199,Bello Alimentos Ltda.,"A RURAL ROD MS 316, KM 365,2 MARGEM ESQUERDA, S/N, AREA RURAL DE APARECIDA DO TABOADO / MS CEP: 79.577-899",Aparecida do Taboado,79570000,"Mesorregião Leste de Mato Grosso do Sul,Mato Grosso do Sul,Central-West Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,21/07/2022,16/06/2026
2121,Bon-Mart Frigorifico Ltda.,"Avenida Ana Jacinta, 335 Bairro Jardim Bon-Mart",Presidente Prudente,19000000,"Mesorregião de Presidente Prudente,São Paulo,Southeast Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,,
3300,C. Vale - Cooperativa Agroindustrial,"AV ARIOSVALDO BITENCOURT, 2000 - LINHA SANTA FÉ BAIRRO: PARQ. INDUST. C. VALE CEP: 85.950-000",Palotina,85950000,"Mesorregião Oeste Paranaense,Paraná,South Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,28/06/2022,28/06/2022
2439,CARRER ALIMENTOS LTDA,"ROD VRS 813, KM 12.9, S/Nº - DISTRITO DE NOVA SARDENHA",Farroupilha,95115350,"Mesorregião Nordeste Rio-Grandense,Rio Grande do Sul,South Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,23/02/2024,23/02/2024
802,COASUL COOPERATIVA AGROINDUSTRIAL,"ROD PR 562, KM 82,7, S/Nº BAIRRO: RODOVIA CEP: 85.570-000",Sao Joao,,"Mesorregião Sudoeste Paranaense,Paraná,South Region",Brazil,third-country,ABP-SH,,,,CAT3 - Category 3,,
