approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
120 PP,AIRONE-CI,Treichville rue de l'industrie 18 BP 513 Abidjaan 18,Abidjan,,Abidjan,Côte d’Ivoire,third-country,FFP,PP,,,PP - Processing Plant,,
390 PP,Bertrand Produits Export (B.P.E),.02 cidex 34 Abidjan 08,Abidjan,,Abidjan,Côte d’Ivoire,third-country,FFP,PP,,,PP - Processing Plant,,
399 PP,Food And Beverage Service Afrique SA (FBSA) SA,01 BP12335 Abidjan 01,Abidjan,,Abidjan,Côte d’Ivoire,third-country,FFP,PP,,,PP - Processing Plant,,
394 PP,KANATE ET COMPAGNIE,18 BP 3234 Abidjan 18,Abidjan,,Abidjan,Côte d’Ivoire,third-country,FFP,PP,,,PP - Processing Plant,,
398 PP,MYNAS,BP 141,Dabou,,"Grands Ponts,Lagunes",Côte d’Ivoire,third-country,FFP,PP,,,PP - Processing Plant,,
001 DP,Nestlé CI,01 BP 1840 ABIDJAN 01,Abidjan,,Abidjan,Côte d’Ivoire,third-country,FFP,PP,,,PP - Processing Plant,,
002 EF,SIVCOGE INDUSTRIE,Treichville 01 BP 126 Abidjan 01,Abidjan,,Abidjan,Côte d’Ivoire,third-country,FFP,CS,,,CS - Cold Stores,,
400 PP,Société Coopérative Des Pêcheurs Artisanaux D'Abidjan (SOCOPAA-SCOOPS),"Vridi, rue de la Métallurgie 06 BP 740-N°CC 1625838 V",Abidjan,,Abidjan,Côte d’Ivoire,third-country,FFP,PP,,,PP - Processing Plant,,
001 EF,Société De Construction et d'Exploitation d'Entrepôts Frigorifiques en Côte d'Ivoire (SOCEF),,Abidjan,,Abidjan,Côte d’Ivoire,third-country,FFP,CS,,,CS - Cold Stores,,
100 PP,Société Des Conserves De Côte D'Ivoire (SCODI),01 BP 677 ABIDJAN 01,Abidjan,,Abidjan,Côte d’Ivoire,third-country,FFP,PP,,,PP - Processing Plant,,
