approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
S-76,VIANDE RICHELIEU INC,"595 RUE ROYALE, MASSUEVILLE",1K0 Massueville,J0G,"Montérégie,Quebec",Canada,third-country,ABP-SH,,,,CAT3 - Category 3,,
0940,0822759 BC Ltd. Ucluelet Harbour Seafoods Ltd.,2074 Peninsula Road V0R 1A0,Ucluelet,,British Columbia,Canada,third-country,FFP,PP,,,PP - Processing Plant,11/07/2022,
6446,0862417 B.C. Ltd.,13269 Simpson Road,Ladysmith,,British Columbia,Canada,third-country,FFP,CS,,,CS - Cold Stores,15/06/2022,
6249,1006984 B.C. Ltd.,776 North Rd,Gibsons,,British Columbia,Canada,third-country,FFP,FV,,,FV - Factory Vessel,,
6315,10489310 Canada Inc. (Atlantic Autocold),69 Crescent Street,Sackville,,New Brunswick,Canada,third-country,FFP,CS,,,CS - Cold Stores,15/06/2022,
6264,1064922 B.C. Ltd.,Port Alberni Port Authority 2750 Harbour Rd.,2A8 Port Alberni,V9Y,British Columbia,Canada,third-country,FFP,FV,,,FV - Factory Vessel,,
6145,10955159 Canada Limited,1221 Montee De Liesse H4S 1J7,Saint-Laurent,,Quebec,Canada,third-country,FFP,PP,,,PP - Processing Plant,28/04/2022,
2428,11656520 Canada Inc. (Pointe-Sapin Seafoods),3046 route 117,Pointe-Sapin,,New Brunswick,Canada,third-country,FFP,PP,,,PP - Processing Plant,20/04/2022,
1D39,12935180 Canada Inc.,528 Rte 199,Grande-Entrée,,Quebec,Canada,third-country,FFP,PP,,,PP - Processing Plant,09/07/2025,
6292,15857937 Canada Inc.,30-1 Rue de L’Enrepôt G4X 5L4,Gaspé,,Quebec,Canada,third-country,FFP,CS,,,CS - Cold Stores,04/05/2022,
1893,1594052 Ontario Inc. (Taylor Fish Company),419 Erie Street South,Wheatley,,Ontario,Canada,third-country,FFP,PP,,,PP - Processing Plant,13/04/2022,
1051,16771408 Canada Inc. (Glovertown),188B Main Street North,Glovertown,,Newfoundland and Labrador,Canada,third-country,FFP,PP,,,PP - Processing Plant,25/06/2025,
