approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
01-11,Agroindustrial Arica Ltda.,Av. Santa María 2348,Arica,1000434,"Provincia de Arica,Arica and Parinacota Region",Chile,third-country,ABP-SH,,,,CAT3 - Category 3,,
13-07,Agroindustrial El Paico S.A.,.Av. Los Libertadores N° 1714,El Monte,,"Provincia de Talagante,Santiago Metropolitan Region",Chile,third-country,ABP-SH,,,,CAT3 - Category 3,,
06-01,COMAFRI S.A.,Av. Libertador Bernardo O'Higgins N°1370 ncagua,Rancagua,2820000,"Provincia de Cachapoal,O'Higgins Region",Chile,third-country,ABP-SH,,,,CAT3 - Category 3,,
06-17,COMERCIAL MAXAGRO SA.,Ruta H-886 Km 2,Pichidegua,,"Provincia de Cachapoal,O'Higgins Region",Chile,third-country,ABP-SH,,,,CAT3 - Category 3,,
96.999.710-K,Coexca S.A.,,Talca,,"Provincia de Limarí,Coquimbo Region",Chile,third-country,ABP-SH,,,,CAT3 - Category 3,,
12-08,Comercial Mac Lean y Cia. Ltda,.Los Arrieros 1517,Puerto Natales,,"Provincia de Última Esperanza,XII Region of Magallanes and Chilean Antarctica",Chile,third-country,ABP-SH,,,,CAT3 - Category 3,,
06-02,Faenadora Lo Miranda Ltda.,".Carretera H-30, N° 3814, Lo Miranda",Doñihue,,"Provincia de Cachapoal,O'Higgins Region",Chile,third-country,ABP-SH,,,,CAT3 - Category 3,02/06/2017,05/02/2025
06-08,Faenadora San Vicente Ltda.,".Carretera H-66-G Km 19,2",San Vicente de Tagua Tagua,,"Provincia de Cachapoal,O'Higgins Region",Chile,third-country,ABP-SH,,,,CAT3 - Category 3,,
09-12,Frigorifico Temuco S.A.,AV. ALTAMIRA N° 01825,Temuco,,"Provincia de Cautín,Araucanía Region",Chile,third-country,ABP-SH,,,,CAT3 - Category 3,,
12-10,Frigorífico Patagonia S.A.,John Williams N° 1,Porvenir,,"Provincia de Arica,Arica and Parinacota Region",Chile,third-country,ABP-SH,,,,CAT3 - Category 3,,
12-01,Frigorífico Simunovic S.A.,".Km 13,7 norte",Punta Arenas,,"Provincia de Magallanes,XII Region of Magallanes and Chilean Antarctica",Chile,third-country,ABP-SH,,,,CAT3 - Category 3,,
10-26,Frigorífico de Osorno S.A.,Francisco del Campo N° 200,Osorno,,"Provincia de Osorno,Los Lagos Region",Chile,third-country,ABP-SH,,,,CAT3 - Category 3,,
13-06,Industrial Ochagavia Ltda.,Av. José Joaquin Prieto Nº 8020,La Cisterna,,"Provincia de Limarí,Coquimbo Region",Chile,third-country,ABP-SH,,,,CAT3 - Category 3,,
10-15,Matadero Frigorifico del Sur S.A.,"Ruta U-55, Camino Pichidamas Km. 1,7",Osorno,,"Provincia de Osorno,Los Lagos Region",Chile,third-country,ABP-SH,,,,CAT3 - Category 3,,
Planta 06-03,Procesadora De Alimentos Del Sur Itda.,Camino Fundo Peuco 3400,San Francisco Mostazal,,"Provincia de Cachapoal,O'Higgins Region",Chile,third-country,ABP-SH,,,,CAT3 - Category 3,,
LEEPP 06-06,Procesadora De Alimentos Del Sur Limitada,"Ruta H­50, Km 0.304, Camino Quinta de Tilcoco, Rengo",Rengo,,"Provincia de Cachapoal,O'Higgins Region",Chile,third-country,ABP-SH,,,,CAT3 - Category 3,,
12-05,Soc. Com. Jose Marin Antonin Y Cia. Ltda.,"Los Calafates N° 0415, Sitio 7-11, Barrio Industrial",Punta Arenas,,"Provincia de Magallanes,XII Region of Magallanes and Chilean Antarctica",Chile,third-country,ABP-SH,,,,CAT3 - Category 3,,
05-09,Sopraval SPA,Panamericana Norte Km 112,La Calera,,"Provincia de Quillota,Valparaiso Region",Chile,third-country,ABP-SH,,,,CAT3 - Category 3,01/09/2004,23/06/2025
10086,ABICK S A,BAHIA ILQUE S N,Puerto Montt,,"Provincia de Llanquihue,Los Lagos Region",Chile,third-country,FFP,PP,,,PP - Processing Plant,05/07/2022,
10933,ACME CHILE SPA,RUTA 5 SUR KM 1029 CAMINO A PARGUA,Puerto Montt,,"Provincia de Llanquihue,Los Lagos Region",Chile,third-country,FFP,PP CS,,,PP - Processing Plant | CS - Cold Stores,29/10/2024,
10990,ACUAPRO SPA,PASAJE DON JUSTO S N KM 2 LA VARA,Puerto Montt,,"Provincia de Llanquihue,Los Lagos Region",Chile,third-country,FFP,CS PP,,,CS - Cold Stores | PP - Processing Plant,31/05/2024,
7034,ACUICOLA ALAS S A,RUTA 5 SUR 338,Parral,,"Provincia de Linares,Maule Region",Chile,third-country,FFP,CS PP,,,CS - Cold Stores | PP - Processing Plant,29/10/2024,
7040,ACUICOLA ALAS SPA,RUTA 5 SUR KM 338,Parral,,"Provincia de Linares,Maule Region",Chile,third-country,FFP,CS PP,,,CS - Cold Stores | PP - Processing Plant,04/08/2025,
140712,AGROINDUSTRIA PINOCHET FUENZALIDA LIMITADA,,Romeral,,"Provincia de Quillota,Valparaiso Region",Chile,third-country,FFP,CS,,,CS - Cold Stores,18/10/2024,
7726,AGROINDUSTRIAL FRIO BUENO LIMITADA,LOTE A CORAL DE PIEDRA S N LOS NICHES,Curicó,,"Provincia de Arauco,Biobío Region",Chile,third-country,FFP,CS,,,CS - Cold Stores,,
8529,ALIMENTOS MAR BIOBIO SPA,MAESTRANZA 952,Coronel,4190000,"Provincia de Concepción,Biobío Region",Chile,third-country,FFP,PP CS,,,PP - Processing Plant | CS - Cold Stores,05/05/2026,
8505,ALIMENTOS MAR DE LAGOS LTDA,CALLE C LOTE D PARQUE INDUSTRIAL,Coronel,4190000,"Provincia de Concepción,Biobío Region",Chile,third-country,FFP,CS PP,,,CS - Cold Stores | PP - Processing Plant,29/10/2024,
10823,ALIMENTOS MULTIEXPORT S A,AV CARDONAL 2501,Puerto Montt,,"Provincia de Llanquihue,Los Lagos Region",Chile,third-country,FFP,PP CS,,,PP - Processing Plant | CS - Cold Stores,27/07/2022,
8320,ALIMEX S A,CAMINO CORONEL KM 20 PARQUE INDUSTRIAL ESCUADRON,Coronel,4190000,"Provincia de Concepción,Biobío Region",Chile,third-country,FFP,PP CS,,,PP - Processing Plant | CS - Cold Stores,13/02/2024,
140711,ALTAMIRA FROZEN S.A.,LONGITUDINAL SUR KM. 171,Teno,,"Provincia de Curicó,Maule Region",Chile,third-country,FFP,CS,,,CS - Cold Stores,,
12103,ALVAREZ Y ALVAREZ LIMITADA,HUERTO 68 A LOTE 2,Puerto Natales,6160000,"Provincia de Última Esperanza,XII Region of Magallanes and Chilean Antarctica",Chile,third-country,FFP,PP CS,,,PP - Processing Plant | CS - Cold Stores,19/07/2022,
