approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
2300/03115,"Heilongjiang Le'er Food CO.,Ltd",Sijiqing Town(Changqing forest farm) Lindian County,Daqing,163813,"Daqing City,Heilongjiang; Lo Oryctolagus cuniculus",China,third-country,PM,SH CP CS,Y,,SH - Slaughterhouse | CP - Cutting Plant | CS - Cold Stores,30/08/2022,
3700/03091,"Heze Foodstar Co., Ltd.",,Yuncheng,,"Yuncheng City,Shanxi; Lo Oryctolagus cuniculus",China,third-country,PM,SH CP CS,Y,,SH - Slaughterhouse | CP - Cutting Plant | CS - Cold Stores,,
3700/03456,"Heze Huaying Poultry Co., Ltd.",,Heze,274000,"Heze City,Shandong; 17 Poultry meat produced solely for the manufacture of poultry meat products on own territory and intended for export to the EU; A Poultry",China,third-country,PM,CS SH CP,Y,,CS - Cold Stores | SH - Slaughterhouse | CP - Cutting Plant,,
4100/03666,"Jiyuan Sunshine Food Co. , Ltd.","Yuquan Science and Technology Venture Park, Jiyuan City, Henan province",Jiyuan,,Henan; Lo Oryctolagus cuniculus,China,third-country,PM,CS CP SH,Y,,CS - Cold Stores | CP - Cutting Plant | SH - Slaughterhouse,23/01/2025,
3700/03543,"Linyi Chaohe Food Co., Ltd","No.2 Zhongchuang Road, Economic Development Zone, Yinan County, Linyi City, Shandong Province",Linyi City,276000,"Linyi City,Shandong; 17 Poultry meat produced solely for the manufacture of poultry meat products on own territory and intended for export to the EU; A Poultry",China,third-country,PM,CS CP SH,Y,,CS - Cold Stores | CP - Cutting Plant | SH - Slaughterhouse,13/11/2024,
3700/03445,"Otto and Sons (Weihai) Poultry Development Co., Ltd.",,"No.6 Of Xingfu Road,Rushan City,Weihai City,Shandong Province,China",,"Weihai,Shandong; 17 Poultry meat produced solely for the manufacture of poultry meat products on own territory and intended for export to the EU; A Poultry",China,third-country,PM,CP CS SH,Y,,CP - Cutting Plant | CS - Cold Stores | SH - Slaughterhouse,,
3700/03238,"PENGLAI MINHE FOOD CO,.LTD.","NO.1 EAST OF XIANJING ROAD, XINGANG SUB-DISTRICT, PENGLAI DISTRICT,YANTAI,SHANDONG",Yantai,,"Yantai City,Shandong; 17 Poultry meat produced solely for the manufacture of poultry meat products on own territory and intended for export to the EU; A Poultry",China,third-country,PM,CS CP SH,Y,,CS - Cold Stores | CP - Cutting Plant | SH - Slaughterhouse,13/11/2024,
3700/03262,"Qingdao Chia Tai Co., Ltd.",,Qingdao,,"Qingdao City,Shandong; 17 Poultry meat produced solely for the manufacture of poultry meat products on own territory and intended for export to the EU; A Poultry",China,third-country,PM,CS SH CP,Y,,CS - Cold Stores | SH - Slaughterhouse | CP - Cutting Plant,,
3700/03442,"Qingdao Kangda Foodstuffs Co., Ltd. Industrial Park Branch (N° 1 Factory)","8399 Binhai Boulevard, Huangdao District, Qingdao City",Qingdao,,"Qingdao City,Shandong; Lo Oryctolagus cuniculus",China,third-country,PM,CS SH CP,Y,,CS - Cold Stores | SH - Slaughterhouse | CP - Cutting Plant,,
3700/03235,"Qingdao Nine-Alliance Group Co., Ltd. Cold storage factory","Weihai West Road, Laixi City",Qingdao,,"Qingdao City,Shandong; 17 Poultry meat produced solely for the manufacture of poultry meat products on own territory and intended for export to the EU; A Poultry",China,third-country,PM,CS SH CP,Y,,CS - Cold Stores | SH - Slaughterhouse | CP - Cutting Plant,,
