approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
452B,Cooperativa Integral Lechera Del Cesar – Coolesar,Valledupar (575),Valledupar,,Cesar,Colombia,third-country,ABP-SH,,,,CAT3 - Category 3,,
341B,Frigorífico Vijagual S.A.,Bucaramanga (577),Bucaramanga,680001,Santander,Colombia,third-country,ABP-SH,,,,CAT3 - Category 3,,
066B,Frigoríficos Ble San Martin,,Puerto Bogotá,732040,Cundinamarca,Colombia,third-country,ABP-SH,,,,CAT3 - Category 3,,
503B,Frigosinú S.A.,Montería (574),Montería,230002,Córdoba,Colombia,third-country,ABP-SH,,,,CAT3 - Category 3,,
062B,Friogan S.A. Planta Corozal,Corozal (575),Corozal,,Sucre,Colombia,third-country,ABP-SH,,,,CAT3 - Category 3,,
BOGOTA-680B,Red Cárnica S.A.S,Vereda El Palmito Kilómetro,Ciénaga de Oro,,Córdoba,Colombia,third-country,ABP-SH,,,,CAT3 - Category 3,,
002-12,Agropesquera Industrial Bahia Cupica Ltda. Sociedad Comercializadora Internacional S.C.I.,,Buenaventura,760020,Valle del Cauca,Colombia,third-country,FFP,PP,,,PP - Processing Plant,,
05-553,Amanda S,"Barrio Manga, avenida 3a. No.28-02",Cartagena,130002,Bolívar,Colombia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
05-492,American Eagle,"Barrio Manga, avenida 3a. No.28-02",Cartagena,130002,Bolívar,Colombia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
001-09,C.I. Naturmega S.A.,Vía 40 # 80-131,Barranquilla,080001,Atlántico,Colombia,third-country,FFP,PP,,,PP - Processing Plant,09/02/2026,
001-17,C.I. PISCICOLA BOTERO S.A.,Costado Sur Via El Hobo,Hobo,,Huila,Colombia,third-country,FFP,PP,,,PP - Processing Plant,,
001-04,C.I. Procesadora San Francisco S.A.S.,,Buenaventura,760020,Valle del Cauca,Colombia,third-country,FFP,PP,,,PP - Processing Plant,,
0040-91,COMPAÑÍA DE ALIMENTOS ANTILLANA S.A.S.,,Cartagena,130015,Bolívar,Colombia,third-country,FFP,PP,,,PP - Processing Plant,20/10/2023,
05-554,Cabo De Hornos,"Barrio Manga, avenida 3a. No.28-02",Cartagena,130002,Bolívar,Colombia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
07-0209,Capt. Geovannie,Carrera 1 Noreste No. 8-41 muelle de la ciudad de San Andres Isla,San Andrés,880001,"Archipiélago de San Andrés, Providencia y Santa Catalina (Colombia); 9241839	10/03/2025",Colombia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
01-0603,Caribean Star 8,,Buenaventura,760020,Valle del Cauca,Colombia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
001-05,Comercializadora Internacional (C.l.) Piscícola New York S.A,Kilómetro 15 Vía al sur Vereda Rio Frió,Rivera,,Huila,Colombia,third-country,FFP,PP,,,PP - Processing Plant,,
001-24,Compañía de Alimentos Antillana S.A.S. - Centro de Acopio San Andres Isla,"San Andres, Providencia y Santa Catalina",San Andrés,880001,"Archipiélago de San Andrés, Providencia y Santa Catalina (Colombia)",Colombia,third-country,FFP,CS,,,CS - Cold Stores,11/11/2024,
05-608,Dominador I,,Cartagena,130002,Bolívar,Colombia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
MC-05-775,Doña Raquel,Martínez Martelo Transversal 34 No. 19-85C,Cartagena,130002,Bolívar; 8103028	16/09/2025,Colombia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
