approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
268,"Carnes Cinco Estrellas, S.A.",San Isidro de Miramar,San Isidro de Miramar,,Provincia Puntarenas,Costa Rica,third-country,ABP-SH,,,,CAT3 - Category 3,,
8,Coopemontecillos R.L. (Cooperativa Matadero Nacional De Montecillos),,Alajuela,20101,Provincia Alajuela,Costa Rica,third-country,ABP-SH,,,,CAT3 - Category 3,,
1042,Corimex S.A.,,Alajuela,20101,Provincia Alajuela,Costa Rica,third-country,ABP-SH,,,,CAT3 - Category 3,,
12,El Arreo S.A.,,La Ribera,10104,Provincia Heredia,Costa Rica,third-country,ABP-SH,,,,CAT3 - Category 3,,
9,GICO (Ganaderos Industriales De Costa Rica S.A.),,Alajuela,20101,Provincia Alajuela,Costa Rica,third-country,ABP-SH,,,,CAT3 - Category 3,,
144,Gerardo Francisco Quesada Fernandez,"Coyolar, Orotina",Alajuela,20101,Provincia Alajuela,Costa Rica,third-country,ABP-SH,,,,CAT3 - Category 3,,
274,MACOTECO LTDA,,San Isidro de Coronado,,Provincia de San José,Costa Rica,third-country,ABP-SH,,,,CAT3 - Category 3,,
261,Matadero Agropecuaria La Codorniz S.R.L.,"Barrio Los Alpes, Zarcero de Alfaro Ruiz",Alajuela,20101,Provincia Alajuela,Costa Rica,third-country,ABP-SH,,,,CAT3 - Category 3,,
18,Matadero Del Valle S.A.,,Alajuela,20101,Provincia Alajuela,Costa Rica,third-country,ABP-SH,,,,CAT3 - Category 3,,
70,Alimentos Prosalud S.A.,200 oeste de Dos Pinos Carretera Costanera,Puntarenas,60101,Provincia Puntarenas,Costa Rica,third-country,FFP,PP,,,PP - Processing Plant,,
57,Exportaciones Marinas Del Golfo,Cenada,Barreal,40104,Provincia Heredia,Costa Rica,third-country,FFP,PP,,,PP - Processing Plant,,
80,"Exportadora PMT, S.A.","6 km oeste de Forum, Brasil de Mora",Escazú,10104,Provincia de San José,Costa Rica,third-country,FFP,PP,,,PP - Processing Plant,,
64,Industrias Martec S.A.,El Ranchón de Boca Vieja,Quepos,10104,Provincia Puntarenas,Costa Rica,third-country,FFP,PP,,,PP - Processing Plant,,
96,Rainbow Export Processing S.A.,Zona Franca Saret Puntarenas,Barranca,60108,Provincia Puntarenas,Costa Rica,third-country,FFP,PP,,,PP - Processing Plant,,
82,Terrapez,2.5 km al oeste del Cementerio de Cañas,Cañas,50601,Provincia Guanacaste,Costa Rica,third-country,FFP,PP,,,PP - Processing Plant,,
