approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
2304001,Frigorífico No. 1 'CARIBEX' (Cámaras 07 Y 08),,La Habana,,Havana,Cuba,third-country,FFP,CS,,,CS - Cold Stores,,
05,Pesquera Industrial Batabanó,,Batabanó,32700,Mayabeque,Cuba,third-country,FFP,PP,,,PP - Processing Plant,,
18,Pesquera Industrial Tunas de Zaza,,Tunas de Zaza,,Sancti Spiritus,Cuba,third-country,FFP,PP,,,PP - Processing Plant,,
06,Pesquera industrial Isla de la Juventud,,Nueva Gerona,25100,Isle of Youth,Cuba,third-country,FFP,PP,,,PP - Processing Plant,,
07,Pesquera industrial La Coloma,,La Coloma,20100,Pinar del Rio,Cuba,third-country,FFP,PP,,,PP - Processing Plant,,
14,Pesquera industrial Manzanillo,,Manzanillo,87510,Granma,Cuba,third-country,FFP,PP,,,PP - Processing Plant,,
15,Pesquera industrial Niquero,,Niquero,87800,Granma,Cuba,third-country,FFP,PP,,,PP - Processing Plant,,
13,Pesquera industrial Santa Cruz del Sur,,Santa Cruz del Sur,,Camagüey,Cuba,third-country,FFP,PP,,,PP - Processing Plant,,
16,Pesquera industrial de Villa Clara Villamar,,Caibarién,52600,Villa Clara,Cuba,third-country,FFP,PP,,,PP - Processing Plant,,
43,Procesadora Industrial Guajaca,,Frank Pais,27200,Isle of Youth,Cuba,third-country,FFP,PP,,,PP - Processing Plant,,
24,Procesadora industrial Río Cauto,,Río Cauto,75100,Granma,Cuba,third-country,FFP,PP,,,PP - Processing Plant,,
