approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
CZ 16880,"AGRO - CB, spol. s r.o.",Plavnická 495,Kamenný Újezd,37381,"Jihočeský kraj,Southwest",Czechia,RM,CP,N,,CP - Cutting Plant,,
CZ 1238,"AGRO - Měřín, obchodní společnost, s.r.o.","Zarybník 516, 59442 Měřín",Měřín,59442,"Kraj Vysočina,Southeast",Czechia,RM,SH,Y,,SH - Slaughterhouse,,
CZ 11300,"ASTRA maso, s.r.o.",Dr. M. Horákové 1559,Nový Bydžov,50401,"Královéhradecký kraj,Northeast",Czechia,RM,CP,N,bovine porcine,CP - Cutting Plant,,
CZ 18811,"ASTUR-KA, s.r.o.","Charvatce č.p. 13, 41119 Matiněves",Martiněves,41119,"Ústecký kraj,Northwest",Czechia,RM,CP,N,,CP - Cutting Plant,,
CZ2139,"Agraspol Předmíř, a.s.","Předmíř č. p. 54, 38742 Předmíř",Předmíř,38742,"Jihočeský kraj,Southwest",Czechia,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
CZ 390,"Agrokomplex, spol. s r.o.","Areál ÚOS, 40725 Verneřice",Verneřice,40725,"Ústecký kraj,Northwest",Czechia,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
CZ 11920182,BEEFEX s.r.o.,"Výrobní 5/3, Štěrboholy, 10200 Praha 10",00 Prague,102,"Capital City of Prague,Prague",Czechia,RM,CP,N,,CP - Cutting Plant,,
CZ 11730,BELAN řezník-uzenář s.r.o.,"Máchovy sady 293, 41761 Bystřany",Bystřany,41761,"Ústecký kraj,Northwest",Czechia,RM,CP,N,,CP - Cutting Plant,,
CZ 158,BETAS s.r.o.,Lipovec 327,Lipovec,67915,"Jihomoravský kraj,Southeast",Czechia,RM,SH CP,Y,bovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
CZ 20076,BILBO šmak s.r.o.,"Maxima Gorkého 1165, 43401 Most",01 Most,434,"Ústecký kraj,Northwest",Czechia,RM,CP,N,,CP - Cutting Plant,,
CZ 2197,BIVOJ a.s.,"Jateční 2884/23a, 746 01 Opava - Předměstí, Czech Republic",01 Opava,746,"Moravskoslezský kraj,Moravia-Silesia",Czechia,RM,CP,N,caprine ovine equine porcine bovine,CP - Cutting Plant,,
CZ 17193,BORSO plus s.r.o.,"Sobotovice č. p. 175, 66467",Sobotovice,,"Jihomoravský kraj,Southeast",Czechia,RM,CP,N,bovine porcine,CP - Cutting Plant,,
CZ 81920628,Bidfood Kralupy s.r.o.,"Palhanecká 505/15, 74707 Opava, Czech Republic",Opava,74707,"Moravskoslezský kraj,Moravia-Silesia",Czechia,RM,CP,N,caprine ovine equine porcine bovine,CP - Cutting Plant,,
CZ 42920164,BioFarma Františkov,Františkov nad Ploučnicí č. p. 320,Františkov nad Ploučnicí,40723,"Ústecký kraj,Northwest",Czechia,RM,CP,N,bovine porcine,CP - Cutting Plant,,
CZ 51910062,Biofarma Pod Hájkem s.r.o.,Malofaremní porážka s bourárnou Horní Branná 497,Horní Branná,51236,"Liberecký kraj,Northeast",Czechia,RM,CP SH,Y,bovine,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 399,Biopark s.r.o.,"Lipová č. p. 270, 40781 Lipová",Lipová,40781,"Ústecký kraj,Northwest",Czechia,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
CZ23273,Bohuslav Kolář,Čertyně č. p. 31,Dolní Třebonín,38232,"Jihočeský kraj,Southwest",Czechia,RM,SH,Y,,SH - Slaughterhouse,,
CZ 912,CHOVSERVIS a.s.,"Hlavečník, 53315 Hlavečník",Hlavečník,53315,"Pardubický kraj,Northeast",Czechia,RM,SH CP,Y,bovine caprine ovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
CZ 18836,Chovaneček s.r.o.,"Novobranská 87/14, Litoměřice-Město, 41201 Litoměřice",Litoměřice,41201,"Ústecký kraj,Northwest",Czechia,RM,CP,N,,CP - Cutting Plant,,
CZ 41920073,DCH Bohemia Trade a.s.,"Sokolovská 1036/124e, Rybáře, 36005 Karlovy Vary",01 Carlsbad,360,"Karlovarský kraj,Northwest",Czechia,RM,CP,N,ovine caprine,CP - Cutting Plant,,
CZ 42910152,Daniel Kudla,Studánka č. p. 2,Varnsdorf,40752,"Ústecký kraj,Northwest",Czechia,RM,SH,Y,ovine bovine,SH - Slaughterhouse,,
CZ 42910163,EKOFARMA BABINY,Babiny II č. ev. 21,02 Homole u Panny,400,"Ústecký kraj,Northwest",Czechia,RM,CP SH,Y,bovine ovine porcine caprine,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 20603,Ekofarma Bošina,Vernéřovice č. p. 56,Vernéřovice,54982,"Královéhradecký kraj,Northeast",Czechia,RM,CP SH,Y,bovine caprine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 10665,"FOLDA, s.r.o.",Bělíkova 1446,Frýdlant,46401,"Liberecký kraj,Northeast",Czechia,RM,CP,N,bovine porcine,CP - Cutting Plant,,
CZ 53920188,FOSTRADE s.r.o,"Písečná č. p. 136, 56170 Písečná",Písečná,56170,"Pardubický kraj,Northeast",Czechia,RM,CP,N,,CP - Cutting Plant,,
CZ 17928,"Fakultní jatky, VFU Brno",Palackého třída 1946/1 612 42 Brno,Brno,61200,"Jihomoravský kraj,Southeast",Czechia,RM,CP SH,Y,porcine ovine caprine bovine,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 31910408,Farma Semice,"K Píseckým horám 176, Semice, 39701 Písek",Písek,39701,"Jihočeský kraj,Southwest",Czechia,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
CZ 31910396,Farma Strážný - Jatky Hliniště,"Hliniště č. p. 45, 38443 Strážný",43 Strážný,384,"Jihočeský kraj,Southwest",Czechia,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
CZ 13500,"Farma u řeky Orlice, s.r.o.","Lípa nad Orlicí č. p. 60, 51721 Lípa nad Orlicí",Lípa nad Orlicí,,"Královéhradecký kraj,Northeast",Czechia,RM,CP,N,bovine,CP - Cutting Plant,,
CZ 31940276,"Farmáři, z.s.","Čížová č. p. 35, 39831 Čížová",Čížová,39831,"Jihočeský kraj,Southwest",Czechia,RM,CP,N,,CP - Cutting Plant,,
CZ371,Foitl řeznictví a uzenářství v.o.s.,náměstí J. V. Kamarýta 70,Velešín,38232,"Jihočeský kraj,Southwest",Czechia,RM,SH,Y,,SH - Slaughterhouse,,
CZ 51910073,František Berka,Pod Špičákem 675,Tanvald,46841,"Liberecký kraj,Northeast",Czechia,RM,CP SH,Y,bovine caprine ovine porcine equine,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 13438,František Šutera,Veselská 581,Olešnice,67974,"Jihomoravský kraj,Southeast",Czechia,RM,CP SH,Y,bovine caprine equine porcine ovine,CP - Cutting Plant | SH - Slaughterhouse,,
