approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
4918,AB Catering A/S,Kystvejen 80,Nørresundby,9400,"Aalborg Municipality,North Denmark Region",Denmark,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
2083,AaD Drift ApS,Lundvej 8,Herning,7400,"Herning Municipality,Central Denmark Region",Denmark,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
2203,Aarhus Kødengros A/S,Viaduktvej 7,Viby J.,8260,"Aarhus Municipality,Central Denmark Region",Denmark,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
1379,"Aidt Slagtehus ApS, Slagteri",Bavnehøjvej 1,Thorsø,8881,"Favrskov Municipality,Central Denmark Region",Denmark,EU-EFTA,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
5886,Allegårdens Opskæring og Pølsemageri Engros,Melbyvej 34,Søndersø,5471,"Nordfyn Municipality,Region of Southern Denmark",Denmark,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
4322,BC CATERING KOLDING,Kokbjerg 28,Kolding,6000,"Kolding Municipality,Region of Southern Denmark",Denmark,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
2135,BC Catering Grossisten,Blækhatten 10,Odense SØ,5220,"Odense Kommune,Region of Southern Denmark",Denmark,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
2002,BC Catering Skanderborg A/S,Niels Bohrs Vej 20,Skanderborg,8660,"Skanderborg Municipality,Central Denmark Region",Denmark,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
2134,BF-OKS A/S,Mejerivej 14,Hesselager,5874,"Svendborg Municipality,Region of Southern Denmark",Denmark,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
1211,Bjergstedslagteren ApS,Bjergsted Byvej 5,Jyderup,4450,"Holbæk Municipality,Region Zealand",Denmark,EU-EFTA,RM,SH,Y,,SH - Slaughterhouse,,
1416,"Bjerre Kød, Engros, v/ Linda og Lars Kjerkegaard",Bjerrevej 346,Hornsyld,8783,"Hedensted Municipality,Central Denmark Region",Denmark,EU-EFTA,RM,SH,Y,,SH - Slaughterhouse,,
5765,Bodebjerg ApS,Vinkelvej 21,Marslev,5290,"Kerteminde Kommune,Region of Southern Denmark",Denmark,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
