approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
008/AP/CPG,BASEDON S.A.,Km. 2.5 via Milagro-Naranjito,Milagro,091025,Guayas,Ecuador,third-country,ABP-SH,,,,CAT3 - Category 3,,
3,Curtipiel Martinez,"panamericana norte km 7, diagonal gasolinera ambato",Ambato,180101,Tungurahua,Ecuador,third-country,ABP-SH,,,,CAT3 - Category 3,,
6903,9 MAR S.A. NUEVEMARSA,"Barrio Puerto Chanduy, Solar 1 Bloque 5 referencia ubicada frente a escuela San Agustín",Chanduy,,Santa Elena Province,Ecuador,third-country,FFP,PP,,,PP - Processing Plant,,
79581,ACUISHRIMP S.A,"Solar y edificación # 40, manzana 3, lotización industrial inmaconsa, Parroquia Tarqui, Cantón Guayaquil, Provincia Guayas.",Guayaquil,090513,Guayas,Ecuador,third-country,FFP,PP,,,PP - Processing Plant,29/08/2025,
5894,ADOLFOPEZ S.A.,CDLA. COLINAS INDUSTRIALES CALLE 47 #S/N Y AV. 9,Parroquia La Libertad,241702,Santa Elena Province,Ecuador,third-country,FFP,PP,,,PP - Processing Plant,,
65333,ALIMENTOS CONGELADOS ALIMARE S.A.,LOTIZACIÓN SANTA CECILIA - VÍA PRINCIPAL8,Parroquia Jaramijó,130804,Manabí,Ecuador,third-country,FFP,PP,,,PP - Processing Plant,03/11/2022,
79736,ALMARSA S.A.,"KM 16 DE LA VÍA A DAULE, BARRIO DAULE, CALLE RÍO DAULE, SOLAR 15 INTERSECCIÓN ASBESTO",Guayaquil,090109,Guayas,Ecuador,third-country,FFP,PP,,,PP - Processing Plant,13/10/2023,
104444,AMERICAN-SEALAND FOODS S.A.S.,"Provincia de Manabí, Cantón Jaramijó, Urbanización La Macarena, Calle Circunvalación Tramo 3",Jaramijó,,Manabí,Ecuador,third-country,FFP,PP,,,PP - Processing Plant,18/09/2025,
82996,AQUAGOLD S.A.,"LOTE DE TERRENO #002, SECTOR DENOMINADO ZONA YAMILE, KM 16,5 VÍA DURAN – TAMBO, CANTÓN",Duran,090306,Guayas,Ecuador,third-country,FFP,PP,,,PP - Processing Plant,10/06/2024,
50193,ARCASDENOE S.A.,EL PRADO NRO. LOTE 2,Montecristi,,Manabí,Ecuador,third-country,FFP,PP,,,PP - Processing Plant,,
454,Asiservy S.A.,"Km. 5,5 Vía Manta - Rocafuerte",Jaramijó,,Manabí,Ecuador,third-country,FFP,PP,,,PP - Processing Plant,,
BP-4367,B/P FORTICA (PESDEL S.A.),KM 5.5 VIA MANTA - ROCAFUERTE,Manta,,Manabí; 7919860	27/07/2023,Ecuador,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
INP-018-10,B/P YELISAVA (PESDEL S.A.),KM 5.5 VIA MANTA - ROCAFUERTE,Manta,,Manabí; 6928577	27/07/2023,Ecuador,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
BP-48183,B/P ADRIA DEL MAR (SUR TUNA SURTUNA S.A.),CIUDADELA UNIVERSITARIA U7 S/N INTERSECCION AV. U2,Manta,130202,Manabí; 7363059	18/06/2026,Ecuador,third-country,FFP,ZV ZVB,,,ZV - Freezer Vessel | ZVB - Freezer vessel freezing tuna in brine at -18°C,,
BP-5320,B/P ALTAR 10 (TRANSMARINA C.A.),KM 9.5 VIA CIRCUNVALACION VIA MANTA MONTECRISTI,Manta,,Manabí; 8803977	28/02/2023,Ecuador,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
106,B/P ALTAR 11 (TRANSMARINA C.A.),"KM 9 1/2 VÍA CIRCUNVALACIÓN, TRAMO 2 - MONTECRISTI",Montecristi,,Manabí; 8904082	20/06/2025,Ecuador,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
BP-3580,B/P ALTAR 8 (TRANSMARINA C.A.),KM 9.5 VIA CIRCUNVALACION VIA MANTA MONTECRISTI,Manta,,Manabí; 8520068	28/02/2023,Ecuador,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
1510,B/P AMALIS (ECUAVESSEL S.A.),GENERAL FRANCISCO 523 Y CALLE C. GUAYAQUIL-GUAYAS,Guayaquil,090513,Guayas; 8800808	16/12/2025,Ecuador,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
79505,B/P ANDREA D (ELVAYKA KYOEI S.A.),CALLE 4TA BARRIO ''LA ENSENADITA'' MANTA-MANABI,Manta,,Manabí; 8915134	25/07/2023,Ecuador,third-country,FFP,ZV ZVB,,,ZV - Freezer Vessel | ZVB - Freezer vessel freezing tuna in brine at -18°C,,
BP-1511,B/P ARIETE (RUXTEL S.A.),,Manta,130312,Manabí,Ecuador,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
INP-011-10,B/P Alina (Transmarina C.A.),KM 9.5 VIA CIRCUNVALACION VIA MANTA MONTECRISTI,Manta,,Manabí; 7920168	28/02/2023,Ecuador,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
99475,B/P BELLE ISLE (PESQUERA FINISTERRE S.A.),"CALLE CUARTA BARRIO LA ENSENADITA, MANTA - MANABI",Manta,,Manabí; 9679634	30/10/2024,Ecuador,third-country,FFP,ZV ZVB,,,ZV - Freezer Vessel | ZVB - Freezer vessel freezing tuna in brine at -18°C,,
