approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
EGY-12-066FPP.17.03,AL RADWAN COMPANY COOLING & FREEZING,"INDUSTRIAL ZONE, SOUTH PORT SAID PLOT 76",Port Said,,Port Said Governorate,Egypt,third-country,FFP,PP,,,PP - Processing Plant,23/02/2026,
EGY03-03FPP.04.03,ALEXANDRIA CO FOR IMPORT AND EXPORT,4 EL SAADA ST. ABOU QIR,Abu Qir,21519,Alexandria Governorate,Egypt,third-country,FFP,PP,,,PP - Processing Plant,31/01/2025,
EGY12-066FPP.22.03,EGYPT FISH FOR FOOD INDUSTRIES,"PLOT (95-96) INDUSTRIAL ZONE, ALHOOD ALSAMAKY ALRASWA",Port Said,,Port Said Governorate,Egypt,third-country,FFP,PP,,,PP - Processing Plant,08/09/2025,
EGY09-066FPP.16.03,Egyptalia For Fresh and Frozen Fish,"Port Said, Industrial Zone, Bahary Fish Basin. Egypt",Egyptian Fox Border Point,,New Valley Governorate,Egypt,third-country,FFP,PP,,,PP - Processing Plant,28/01/2025,
EGY10-02FPP.41.03,Global Overseas Company,"Plot No. 130, 100-acre Industrial Zone, Small Industries, Badr City, Cairo Governorate",Badr City,,Cairo Governorate,Egypt,third-country,FFP,PP,,,PP - Processing Plant,16/04/2025,
EGY04-013FPP.03.0306,"JIANG´S FISH PROCESSOR CO., LTD","FIRST INDUSTRIAL ZONE, BLOCK 13005,PLOT",Al Qalag,45455,Qalyubia Governorate,Egypt,third-country,FFP,PP,,,PP - Processing Plant,28/01/2025,
EGY10-013FPP.03.0306,"Jiang’s Fish Processor Co., Ltd","First Industrial Zone, Block 13005, Plot 5, Obour, Al Qalyubiyah, Egypt.",Al-Obour,19511,Qalyubia Governorate,Egypt,third-country,FFP,PP,,,PP - Processing Plant,10/02/2025,
EGY01-066FPP.18.03,King Fish For Investment,.Port Said,Port Said,,Port Said Governorate,Egypt,third-country,FFP,PP,,,PP - Processing Plant,28/01/2025,
EGY06-045FPP.32.0306,Macray Industries,"Macray industries –industrial zone # 2, plot #184-185- Alnubareya –El Beheira –Egypt",New Nubaria City,,Beheira Governorate,Egypt,third-country,FFP,PP,,,PP - Processing Plant,28/01/2025,
EGY05-066FPP.58.03,SABRINA PESCA,"118, INDUSTRIES COMPLEX, 118 FACTORY, SOUTH OF AL RASWA Port Said, Egypt",Port Said,,Port Said Governorate,Egypt,third-country,FFP,PP,,,PP - Processing Plant,28/01/2025,
EGY02-066FPP.02.0305,port said star,"The Industrial Zone South Of Port Said, Bahary, El-Hod El-Samaky Block Numbers ( 1:5 ) And ( 12:16 ) Port Said - Egypt, Port Said",Port Said,,Port Said Governorate,Egypt,third-country,FFP,PP,,,PP - Processing Plant,23/01/2025,
EGY07-03FPP.25.0305,summermoon,Egypt - Alexandria - New Borg Al Arab City -3 Industrial Zone - Block 3 - Plot (42 to 46).,New Borg AL Arab,,Alexandria Governorate,Egypt,third-country,FFP,PP,,,PP - Processing Plant,03/02/2025,
