approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
T118,ADAVERE MEAT OÜ,"Puiatu tee 8, Adavere alevik, Põltsamaa vald",Adavere alevik,48001,Jõgeva maakond,Estonia,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
32,AKTSIASELTS OSKAR LT,"Viljandi maakond, Viljandi vald, Saarepeedi küla, Saarepeedi",Saarepeedi küla,70201,Viljandi maakond,Estonia,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
08/03,ARKE LIHATÖÖSTUS AS,"Tööstuse 10, Põlgaste küla, Kanepi vald, Põlvamaa",Põlgaste küla,63123,Põlva maakond,Estonia,EU-EFTA,RM,SH CP,Y,bovine ovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
14/21,ARVO ROHTLA FIE,"Rehemäe, Karula küla, Viljandi vald, Viljandi maakond",Karula küla,71070,Viljandi maakond,Estonia,EU-EFTA,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
16,ATRIA EESTI AKTSIASELTS,Metsa tn 19,Valga linn,68206,Valga maakond,Estonia,EU-EFTA,RM,SH CP,Y,bovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
52,Ankoed OÜ,"Saarjärve küla, Mustvee vald",Saarjärve küla,49316,Jõgeva maakond,Estonia,EU-EFTA,RM,SH,Y,caprine ovine porcine bovine,SH - Slaughterhouse,,
T125,EESTI LAMBAKASVATAJATE ÜHISTU,"Viljarammu, Nursi küla, Rõuge vald, Võrumaa,66712",Nursi küla,66712,Võru maakond,Estonia,EU-EFTA,RM,SH,Y,,SH - Slaughterhouse,,
T251,EKSO MEAT OÜ,"Põlva maakond, Põlva vald, Tööstuse tn,",Vastse-Kuuste alevik,63601,Põlva maakond,Estonia,EU-EFTA,RM,SH CP,Y,bovine caprine ovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
T299,EST BEEF OÜ,"Rae vald, Jüri alevik, Veetorni tn 9",Jüri alevik,75301,Harju maakond,Estonia,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
T117,FRANK KUTTER OÜ,"Petlema, Kehtna-Nurme küla, Kehtna vald",Kehtna-Nurme küla,79051,Rapla maakond,Estonia,EU-EFTA,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
06/10,Fazenda OÜ,"Lääne-Nigula vald, Martna küla, Fazenda",Martna küla,90601,Lääne maakond,Estonia,EU-EFTA,RM,SH,Y,,SH - Slaughterhouse,,
05/10,Fijom Pluss OÜ,"Tapamaja, Müüsleri küla, Järva vald",Müüsleri küla,73105,Järva maakond,Estonia,EU-EFTA,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
66,Hiiumaa Lihatööstus OÜ Vaemla Tootearenduskeskus,"Lehola, Vaemla küla, Hiiumaa vald",Vaemla küla,92137,Hiiu maakond,Estonia,EU-EFTA,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
15/03,JAAGUMÄE OÜ,"Jaagumäe, Navi küla, Võru vald, Võrumaa, 65550",Navi küla,65550,Võru maakond,Estonia,EU-EFTA,RM,SH,Y,porcine,SH - Slaughterhouse,,
67,Karjamõisa OÜ,"Tori vald, Suigu küla, Karjamõisa, Pärnumaa.",Suigu küla,87302,Pärnu maakond,Estonia,EU-EFTA,RM,CP SH,Y,bovine caprine ovine,CP - Cutting Plant | SH - Slaughterhouse,,
T244,LANDE GRILLIKODA OÜ,"Lande 1, Neeruti küla, Otepää vald, Valgamaa, 67505",Neeruti küla,67505,Valga maakond,Estonia,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
12/31,LIHAPROFF OÜ,"Tammistu küla, Tartu vald, Tartumaa, 60531",Tammistu küla,60531,Tartu maakond,Estonia,EU-EFTA,RM,CP,N,ovine porcine bovine,CP - Cutting Plant,,
07/23,Lihakarn OÜ,"Lääne-Viru maakond, Rakvere vald, Tobia küla, Keskuse 44416",Tobia küla,44416,Lääne-Viru maakond,Estonia,EU-EFTA,RM,CP SH,Y,bovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
06/02,Linnamäe Lihatööstus AS,"Lääne-Nigula vald, Uugla küla, Linpeti",Uugla küla,91013,Lääne maakond,Estonia,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
13,MAAG EESTI AS,"Rakvere vald, Roodevälja küla, Rakvere lihakombinaat",Roodevälja küla,44207,Lääne-Viru maakond,Estonia,EU-EFTA,RM,CP SH,Y,bovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
T185,Muhu Liha Tulundusühistu,"Muhu vald, Nõmmküla, Oliveri",Nõmmküla,94752,Saare maakond,Estonia,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
