approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
FK 1044,Argos Berbes,Orion Fishing Company Ltd,Stanley,,Falkland Islands (Islas Malvinas) (general); 9990296	17/01/2025,Falkland Islands,third-country,FFP,FV,,,FV - Factory Vessel,,
FK 1040,Argos Cies (Jupiter Fishing Company Ltd),H Jones Road,Stanley,,Falkland Islands (Islas Malvinas) (general),Falkland Islands,third-country,FFP,FV,,,FV - Factory Vessel,,
1015,Argos Pereira,Argos Pereira Limited,Stanley,,Falkland Islands (Islas Malvinas) (general),Falkland Islands,third-country,FFP,FV,,,FV - Factory Vessel,,
1022,Argos Vigo,Orion Fishing Company Ltd,Stanley,,Falkland Islands (Islas Malvinas) (general),Falkland Islands,third-country,FFP,FV,,,FV - Factory Vessel,,
1006,Beagle FI,Austral Harvest Ltd 45 John Street,Stanley,,Falkland Islands (Islas Malvinas) (general); 7813119	09/03/2023,Falkland Islands,third-country,FFP,FV,,,FV - Factory Vessel,,
FK1038,CFL Hunter,"Raymar House, Lookout Industrial Estate",Stanley,,Falkland Islands (Islas Malvinas) (general); 9791250,Falkland Islands,third-country,FFP,FV,,,FV - Factory Vessel,,
1021,Castelo,"Valle Ltd, 16 Boxer Bridge Road",Stanley,,Falkland Islands (Islas Malvinas) (general); 8605947	27/02/2025,Falkland Islands,third-country,FFP,FV,,,FV - Factory Vessel,,
FK 1043,Falcon,Austral Harvest Ltd 45 John Street,Stanley,,Falkland Islands (Islas Malvinas) (general); 9878931	09/03/2023,Falkland Islands,third-country,FFP,FV,,,FV - Factory Vessel,,
FK02,Falkland Islands Fish Company Ltd,"12, Boxer Bridge Rd",Stanley,,Falkland Islands (Islas Malvinas) (general),Falkland Islands,third-country,FFP,PP,,,PP - Processing Plant,,
1010,Golden Chicha,Atlantic House,Stanley,,Falkland Islands (Islas Malvinas) (general); 8801979	03/02/2023,Falkland Islands,third-country,FFP,FV,,,FV - Factory Vessel,,
FK 1041,Hermanos Touza,"Atlantic House, Fitzroy Road",Stanley,,Falkland Islands (Islas Malvinas) (general),Falkland Islands,third-country,FFP,FV,,,FV - Factory Vessel,,
1008,Igueldo (Igueldo Fisheries (F.I) Co Ltd),8 Boxer Bridge Road,Stanley,,Falkland Islands (Islas Malvinas) (general); 8600428	08/03/2026,Falkland Islands,third-country,FFP,FV,,,FV - Factory Vessel,,
1012,Kestrel,Austral Harvest Ltd 45 John Street,Stanley,,Falkland Islands (Islas Malvinas) (general); 8411839	09/03/2023,Falkland Islands,third-country,FFP,FV,,,FV - Factory Vessel,,
FK1039,Monteferro,Valle Ltd 16 Boxer Bridge Road,Stanley,,Falkland Islands (Islas Malvinas) (general); 9802700	09/03/2023,Falkland Islands,third-country,FFP,FV,,,FV - Factory Vessel,,
FK1042,Montelourido,Valle Ltd 16 Boxer Bridge Road,Stanley,,Falkland Islands (Islas Malvinas) (general); 9877949	09/03/2023,Falkland Islands,third-country,FFP,FV,,,FV - Factory Vessel,,
1030,New Polar (Polar Seafish Ltd),45 John Street,Stanley,,Falkland Islands (Islas Malvinas) (general),Falkland Islands,third-country,FFP,FV,,,FV - Factory Vessel,,
1001,Petrel,Austral Harvest Ltd 45 John Street,Stanley,,Falkland Islands (Islas Malvinas) (general); 7819125	09/03/2023,Falkland Islands,third-country,FFP,FV,,,FV - Factory Vessel,,
FK 1045,Prion,45 John Street,Stanley,,Falkland Islands (Islas Malvinas) (general); 9983748	09/01/2025,Falkland Islands,third-country,FFP,FV,,,FV - Factory Vessel,,
1025,Robin M Lee (Polar Seafish Ltd),45 John Street,Stanley,,Falkland Islands (Islas Malvinas) (general),Falkland Islands,third-country,FFP,FV,,,FV - Factory Vessel,,
1014,Sil (Polar Seafish Ltd),45 John Street,Stanley,,Falkland Islands (Islas Malvinas) (general),Falkland Islands,third-country,FFP,FV,,,FV - Factory Vessel,,
1020,Venturer,Austral Harvest Ltd 45 John Street,Stanley,,Falkland Islands (Islas Malvinas) (general); 8619754	09/03/2023,Falkland Islands,third-country,FFP,FV,,,FV - Factory Vessel,,
FK 01,Falkland Island Meat Company,Sand Bay,Stanley,,Falkland Islands (Islas Malvinas) (general),Falkland Islands,third-country,RM,CP SH CS,Y,caprine ovine bovine,CP - Cutting Plant | SH - Slaughterhouse | CS - Cold Stores,,
