approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
FO 125,"Bakkafrost Processing, FO 125",Bakkavegur 9,Glyvrar,625,"Eysturoy region,Territorial waters of Faroe Islands",Faroes,third-country,FFP,PP,,,PP - Processing Plant,,
FO 189,"Bakkafrost Processing, FO 189",Bryggjan 20,Vágur,900,"Suðuroy region,Territorial waters of Faroe Islands",Faroes,third-country,FFP,PP,,,PP - Processing Plant,,
FO 292,Barðið,Vestara Bryggja 16,Tórshavn,100,"Streymoy region,Territorial waters of Faroe Islands",Faroes,third-country,FFP,FFPP,,,FFPP - Fresh Fishery Products Plant,,
FO 113,Bátafiskur,Garðsvegur 9,Eiði,470,"Eysturoy region,Territorial waters of Faroe Islands",Faroes,third-country,FFP,FFPP,,,FFPP - Fresh Fishery Products Plant,,
FO 186,Delta Seafood,"Postboks 84, Havnalagið 25",Tvøroyri,800,"Suðuroy region,Territorial waters of Faroe Islands",Faroes,third-country,FFP,FFPP PP,,,FFPP - Fresh Fishery Products Plant | PP - Processing Plant,,
FO 298,FD 10 Akraberg OW2087,Bakkavegur 22,Fuglafjørður,530,"Eysturoy region,Territorial waters of Faroe Islands; 9909845",Faroes,third-country,FFP,FV,,,FV - Factory Vessel,,
FO 291,FD 32 Stapin OW2065,Box 109,Toftir,650,"Eysturoy region,Territorial waters of Faroe Islands; 8820315",Faroes,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FO 339,FD 454 Kambur OW2040,"Fiskivinnuhavnin 4, Box 109",Saltangará,600,"Eysturoy region,Territorial waters of Faroe Islands; 9171307",Faroes,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FO 294,FD 710 Jógvan I OW2049,Box 109,Toftir,650,"Eysturoy region,Territorial waters of Faroe Islands; 9166118",Faroes,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FO 109,FO Fish/Nordfra,Bryggjan 1,Leirvík,520,"Eysturoy region,Territorial waters of Faroe Islands",Faroes,third-country,FFP,PP FFPP,,,PP - Processing Plant | FFPP - Fresh Fishery Products Plant,,
FO 121,Faroe Marine Products,VÍKARVEGUR 101,Leirvík,520,"Eysturoy region,Territorial waters of Faroe Islands",Faroes,third-country,FFP,PP,,,PP - Processing Plant,,
FO 127,"Faroe Origin, Toftir",Fiskivinnuhavnin 1,Saltangará,600,"Eysturoy region,Territorial waters of Faroe Islands",Faroes,third-country,FFP,PP,,,PP - Processing Plant,,
FO 123,Fiskavirkið,"Við ánna 1, postboks 29",Norðragøta,512,"Eysturoy region,Territorial waters of Faroe Islands",Faroes,third-country,FFP,PP,,,PP - Processing Plant,,
FO 220,KG 180 GADUS OW2150,Kósarbrúgvin 3,Klaksvik,700,"Norðoyar region,Territorial waters of Faroe Islands; 9907067",Faroes,third-country,FFP,FV,,,FV - Factory Vessel,,
FO 201,KG 349 Polarstjørnan OW2319,Kósarbrúgvin 3,Klaksvik,700,"Norðoyar region,Territorial waters of Faroe Islands; 7007069",Faroes,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FO 216,KG 476 Pison OW2132,Eiðsvíksvegur 26,Viðareiði,750,"Norðoyar region,Territorial waters of Faroe Islands; 8610693",Faroes,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FO 232,KG 7 Jákup B XPPR,Vágsheygagøta 15A,Klaksvik,700,"Norðoyar region,Territorial waters of Faroe Islands; 8816077",Faroes,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FO 295,KG 9 Klakkur OW2046,Undir Klakki 35,Klaksvik,700,"Norðoyar region,Territorial waters of Faroe Islands; 9535383",Faroes,third-country,FFP,FV,,,FV - Factory Vessel,,
FO 119,Landingarmiðstøðin á Toftum,Toftagjógv 6,Toftir,650,"Eysturoy region,Territorial waters of Faroe Islands",Faroes,third-country,FFP,FFPP PP,,,FFPP - Fresh Fishery Products Plant | PP - Processing Plant,,
FO 166,Luna,Bryggjan 11,Sørvágur,380,"Vágar region,Territorial waters of Faroe Islands",Faroes,third-country,FFP,PP,,,PP - Processing Plant,,
FO 223,M/S Norðborg,Norðhavnin 8 Postboks 329,Ánirnar,726,"Norðoyar region,Territorial waters of Faroe Islands",Faroes,third-country,FFP,FV,,,FV - Factory Vessel,,
