approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
FJEU01,Golden Ocean 1,"33 Freeston Rd, Walu Bay",Suva,,Central,Fiji,third-country,FFP,PP,,,PP - Processing Plant,,
FJEU02,Golden Ocean 2,Lot 8 Rokobili Ind. Subdivision,Suva,,Central,Fiji,third-country,FFP,PP,,,PP - Processing Plant,,
FJFV36,HANGTON 111,Lot 9-10 Rokobili Industrial Subdivision,Suva,,Central; 9850381,Fiji,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FJFV35,HANGTON 112,Lot 9-10 Rokobili Industrial Subdivision,Suva,,Central,Fiji,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FJFV33,HANGTON 115,Lot 9-10 Rokobili Industrial Subdivision,Suva,,Central; 9850408,Fiji,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FJFV34,HANGTON 116,Lot 9-10 Rokobili Industrial Subdivision,Suva,,Central,Fiji,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
HFFP - 12/2026,HANGTON PACIFIC COMPANY PTE LIMITED,"Lot 9-10 Rokobili Subdivision, Walu Bay P.O. Box 2318, Government Building, Suva Fiji Island",Suva,,Central,Fiji,third-country,FFP,CS,,,CS - Cold Stores,17/07/2026,
FJEU07,PAFCO Pte Limited,Beach Street,Levuka,,Eastern,Fiji,third-country,FFP,PP,,,PP - Processing Plant,,
FJFV04,Solander II (Solander Pacific Limited),"P.O.Box 178, Rona Street, Walu Bay.",Suva,,Central,Fiji,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FJFV05,Solander IX (Solander Pacific Limited),"P.O.Box 178, Rona Street, Walu Bay.",Suva,,Central,Fiji,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FJFV07,Solander Kariqa (Solander Pacific Limited),"P.O.Box 178, Rona Street, Walu Bay.",Suva,,Central,Fiji,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FJEU03,Solander Pacific Pte Ltd,"P.O.Box 178, Rona Street, Walu Bay.",Suva,,Central,Fiji,third-country,FFP,CS,,,CS - Cold Stores,,
FJFV30,Solander XI (Solander Pacific Limited),,Suva,,Central,Fiji,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FJFV22,Solander XII (Solander Pacific Limited),"P.O.Box 178, Rona Street, Walu Bay.",Suva,,Central,Fiji,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FJEU06,Viti Foods Pte Limited,"Lot 1, Baka Place, Laucala Beach Estate, Nasinu",Suva,,Central,Fiji,third-country,FFP,PP,,,PP - Processing Plant,,
FJFV17,Winfull 1 (Golden Ocean),"33 Freeston Rd, Walu Bay",Suva,,Central,Fiji,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FJFV37,Winfull 181 (Golden Ocean),"33 Freeston Road, Walu Bay",Suva,,Central; 1038078	03/11/2023,Fiji,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FJFV38,Winfull 182 (Golden Ocean),"33 Freeston Road, Walu Bay",Suva,,Central; 1038080	03/11/2023,Fiji,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FJFV39,Winfull 186 (Golden Ocean),"33 Freeston Road, Walu Bay",Suva,,Central; 1038107	03/11/2023,Fiji,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FJFV40,Winfull 188 (Golden Ocean),"33 Freeston Road, Walu Bay",Suva,,Central; 1038119	03/11/2023,Fiji,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FJFV19,Winfull 2 (Golden Ocean),"33 Freeston Road, Walu Bay",Suva,,Central,Fiji,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
FJFV01,Winstar 1 (Golden Ocean),,Suva,,Central,Fiji,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
