approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
6646,Aavasaksan Poro,Raanujärventie 3920,Ylitornio,95600,"Lapland,Lapland,Northern Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
4872,Ab Korv-Görans Kebab Oy,Företagarvägen 24,Pietarsaari,68600,"Ostrobothnia,Western and Central Finland,Western Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
4660,Ab Tajma Oy,Företagarvägen,Kållby,68800,"Ostrobothnia,Western and Central Finland,Western Finland,Mainland Finland",Finland,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
2844,Aihkiporo,Salmivaarantie 17b 98660 Salmivaara,Salla,98900,"Lapland,Lapland,Northern Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
261-3,Arcti Food Oy,Ounasjoentie 5367,Raattama,,"Lapland,Lapland,Northern Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
78,Atria Suomi Oy / Atria Finland Ltd,Rahikkatie 95,Kauhajoki,61800,"South Ostrobothnia,Western and Central Finland,Western Finland,Mainland Finland",Finland,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
26,Atria Suomi Oy / Atria Finland Ltd,Suluntie 1,Jyväskylä,40340,"Central Finland,Western and Central Finland,Western Finland,Mainland Finland",Finland,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
22,Atria Suomi Oy / Atria Finland Ltd,Atriantie 1,Nurmo,60550,"South Ostrobothnia,Western and Central Finland,Western Finland,Mainland Finland",Finland,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
019-1,Auran Palvituote Oy,Huuskantie 7,Aura,21380,"Finland Proper,South-Western Finland,Southern Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
5470,Backbone Meat Co. Oy Ltd,Rentontie 7,Saarijärvi,43100,"Central Finland,Western and Central Finland,Western Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
065-1,Bolstaholms Gård Henrik Sundberg,Bolstaholmsvägen 22,Geta,22340,"Åland Islands,Regional State Agency Åland,Åland Islands,Åland Islands",Finland,RM,CP,N,,CP - Cutting Plant,,
2990,Bonus Carnis Oy,Myllypurontie 2,Kesälahti,58350,"North Karelia,Regional State Administrative Agency for Eastern Finland,Eastern Finland,Mainland Finland",Finland,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
3630,Dynameat Oy,Kiviniementie 21 21900 Yläne,Yläne,,"Finland Proper,South-Western Finland,Southern Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
1424,Expert Food,Juvan teollisuuskatu 30,Espoo,02920,"Uusimaa,Southern Finland,Southern Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
3030,Feelia Oy,Asentajantie 10,Kokkola,67600,"Keski-Pohjanmaa,Western and Central Finland,Western Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
F04952,G.C Kala tuotantolaitos,Juvan teollisuuskatu 32,Espoo,02920,"Uusimaa,Southern Finland,Southern Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
179-1,H-Lihapalvelut Ky,Palokankaantie 2,Jyväskylä,40320,"Central Finland,Western and Central Finland,Western Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
74,HKFoods Finland Oy,Kuvernöörinkatu 27,Outokumpu,83500,"North Karelia,Regional State Administrative Agency for Eastern Finland,Eastern Finland,Mainland Finland",Finland,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
18,HKFoods Finland Oy,Teollisuuskatu 17,Forssa,30420,"Tavastia Proper,Southern Finland,Southern Finland,Mainland Finland",Finland,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
152-2,Hahtolan Liha Oy,Seljäntie 61,Orismala,61550,"South Ostrobothnia,Western and Central Finland,Western Finland,Mainland Finland",Finland,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
1840,Heikin Liha Oy,Työpajankatu 2,Helsinki,00580,"Uusimaa,Southern Finland,Southern Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
3920,Herrgårds köttrökeri Ab,Söderfjärdsvägen 14,Malax,66220,"Ostrobothnia,Western and Central Finland,Western Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
145-2,Ilmajoen Makkaramestarit Oy,Luovantie 223,Pojanluoma,60760,"South Ostrobothnia,Western and Central Finland,Western Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
148-5,Inarin Luonnonporo,Korppivaarantie 1,Ivalo,99800,"Lapland,Lapland,Northern Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
6381,Insku Ky,Nuorgamintie 4676,Nuorgam,99990,"Lapland,Lapland,Northern Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
5580,Isokummun lammastila,Kukonkyläntie 633,Sievi,85410,"Northern Ostrobothnia,Regional State Administrative Agency for Northern Finland,Northern Finland,Mainland Finland",Finland,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
148-4,Ivalojoen Poro Oy,Tolosentie 947,Ivalo,99800,"Lapland,Lapland,Northern Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
181-1,Jämin Rahtipalvi Oy,Jämintie 4 A 3,Jämijärvi,38800,"Satakunta,South-Western Finland,Southern Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
4490,KOTIVARA OY,VOUDINTIE 7,Oulu,90400,"Northern Ostrobothnia,Regional State Administrative Agency for Northern Finland,Northern Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
6271,Kaivon Liha Kaunismaa Oy,Kaarningonkatu 8-12,Turku,20740,"Finland Proper,South-Western Finland,Southern Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
2511,Karisalmen Kotiliha,Karisalmentie 59,Jämsä,42100,"Central Finland,Western and Central Finland,Western Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
232-2,Kauhajoen Palvaamo Oy,Rapakontie 12,Kauhajoki,61800,"South Ostrobothnia,Western and Central Finland,Western Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
323,Kemijärven poroteurastamo,Sysimiehentie 14,Kemijärvi,98120,"Lapland,Lapland,Northern Finland,Mainland Finland",Finland,RM,SH,Y,,SH - Slaughterhouse,,
4740,Keski-Pohjanmaan koulutusyhtymä/Perhon yksikkö,Haanentie 26,Perho,69950,"Keski-Pohjanmaa,Western and Central Finland,Western Finland,Mainland Finland",Finland,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
243-1,Kimito Gårdsslakteri/Greger Gustafsson,Hörnvägen 22,Kimito,25700,"Finland Proper,South-Western Finland,Southern Finland,Mainland Finland",Finland,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
224-1,Kiven Tilateurastamo,Uusitilantie 65,Karkkila,03600,"Uusimaa,Southern Finland,Southern Finland,Mainland Finland",Finland,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
406-1,Kivikylän Kotipalvaamo Oy,Savulaaksontie 121,Lappi,27230,"Satakunta,South-Western Finland,Southern Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
1947,Kivikylän Kotipalvaamo Oy,Palvarinkatu 10,Huittinen,32700,"Satakunta,South-Western Finland,Southern Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
5860,Kivikylän Kotipalvaamo Oy,Säkyläntie 120,Säkylä,27910,"Satakunta,South-Western Finland,Southern Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
