approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
GE 03.10.20.0.797,"""GEOFISH COMPANY"" LTD","Guramishvili str. #3,",Chokhatauri,,Guria,Georgia,third-country,FFP,PP,,,PP - Processing Plant,,
GE 03.10.20.0.773,"""ICEBERG 2"" LTD",Victor Kratasiuki str. #7,Poti,4400,Samegrelo-Upper Svaneti,Georgia,third-country,FFP,PP,,,PP - Processing Plant,,
GE 03.10.20.0.2436,Hamsa Ge LLC,Poti; Zviad Gamsakhurdia street,Poti,4400,Samegrelo-Upper Svaneti,Georgia,third-country,FFP,CS,,,CS - Cold Stores,16/12/2024,
GE 03.10.20.0.2851,LLC Dromoni,Memed Abashidze Street 43(Unique Code:0003),Poti,4400,Samegrelo-Upper Svaneti,Georgia,third-country,FFP,PP,,,PP - Processing Plant,04/08/2026,
GE 03030285,"Ltd ""Fresh Fish""",Svaneti St. 17,Poti,4400,Samegrelo-Upper Svaneti,Georgia,third-country,FFP,PP,,,PP - Processing Plant,,
GE 03030251,"Ltd. ""MBM""",8 March St. 125,Poti,4400,Samegrelo-Upper Svaneti,Georgia,third-country,FFP,PP,,,PP - Processing Plant,,
GE 03.10.20.0.636,"Ltd. ""Sea Products""",Little Poti. 7th Kilometer,Poti,4400,Samegrelo-Upper Svaneti,Georgia,third-country,FFP,PP,,,PP - Processing Plant,,
GE 03.10.20.0.1392,Ltd. Don Invest,Abashidze Str. 1,Poti,4400,Samegrelo-Upper Svaneti,Georgia,third-country,FFP,PP,,,PP - Processing Plant,,
GE 03.10.20.0.1303,Ltd. Fabryge,Abashidze St. 1,Poti,4400,Samegrelo-Upper Svaneti,Georgia,third-country,FFP,PP,,,PP - Processing Plant,,
GE 03.10.20.0.1236,Ltd. Fish World,Lermontov St. 10,Poti,4400,Samegrelo-Upper Svaneti,Georgia,third-country,FFP,PP,,,PP - Processing Plant,,
GE 03.10.20.0.1039,Ltd. Valeri,Dimitri Tavdadebuli St. 91,Poti,4400,Samegrelo-Upper Svaneti,Georgia,third-country,FFP,PP,,,PP - Processing Plant,,
GE 01.10.20.0.1910,Seapro LLC,"14, Iumasheva Str. Tbilisi, Georgia, 0198",Tbilisi,01105,Tbilisi,Georgia,third-country,FFP,PP,,,PP - Processing Plant,31/07/2023,
GE 06.10.20.0.2320,VK Umali LTD,village Urbnisi,Kareli,4517,Inner Kartli,Georgia,third-country,FFP,PP,,,PP - Processing Plant,24/10/2025,
GE 03.10.20.0.2836,capital-invest batumi LLC,Viktor Kratasiuk str 2,Poti,4400,Samegrelo-Upper Svaneti,Georgia,third-country,FFP,CS,,,CS - Cold Stores,23/07/2026,
