approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
DE BW 54006,"""Die Metzgerei"" GmbH & Co. KG",Friedrichstraße 41,Altenheim,77743,"Ortenaukreis,Regierungsbezirk Freiburg,Baden-Württemberg",Germany,RM,SH,Y,bovine porcine caprine ovine,SH - Slaughterhouse,,
DE-NI-10017 EG,A. Rolfes GmbH,Norderstraße 52,Detern,26847,"Landkreis Leer,Lower Saxony",Germany,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
DE BY 70640 EG,A.F.G. Allgäu Fleisch GmbH,Bleicherstraße 18,Kempten (Allgäu),87437,"Kempten (Allgäu),Swabia,Bavaria",Germany,RM,SH CP,Y,bovine,SH - Slaughterhouse | CP - Cutting Plant,,
DE BY 77128 EG A,ABP GmbH,Rudolf-Diesel-Straße 10,Buchloe,86807,"Landkreis Ostallgäu,Swabia,Bavaria",Germany,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
DE NW 70481,AK - ET Fleischgroßhandel Israfil Duman,Röhfeldstraße 21,Bonn,53227,"Bonn,Cologne Government Region,North Rhine-Westphalia",Germany,RM,CP,N,bovine ovine,CP - Cutting Plant,,
DE BW 13009 EG,"Abele, Michael",Hofgut Bernau,Herbrechtingen,89542,"Landkreis Heidenheim,Regierungsbezirk Stuttgart,Baden-Württemberg",Germany,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
DE EZ 251,Adler Schwarzwald GmbH&Co. KG,Am Lindenbuck 3,Bonndorf,79848,"Landkreis Waldshut,Regierungsbezirk Freiburg,Baden-Württemberg",Germany,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
DE EZ 435,Ahlener Fleischhandel GmbH,Kruppstraße 18,Ahlen,59227,"Kreis Warendorf,Regierungsbezirk Münster,North Rhine-Westphalia",Germany,RM,CP,N,porcine,CP - Cutting Plant,,
DE NW 81435,Ahlener Schinken-Center GmbH & Co. KG,Ahlener Schinken-Center GmbH & Co. KG Kruppstraße 18 59227 Ahlen Deutschland,Ahlen,59227,"Kreis Warendorf,Regierungsbezirk Münster,North Rhine-Westphalia",Germany,RM,CP,N,,CP - Cutting Plant,,
DE NI 10757,AkEt Fleischhandelsgesellschaft mbH,Röpkestraße 12,Hanover,30173,Landeshauptstadt Hannover,Germany,RM,CP,N,bovine ovine,CP - Cutting Plant,,
HB 00159,Albert Cordts Fleischgroßhandel GmbH & Co. KG,Schlachthofstraße 18,Bremerhaven,27576,"Bremerhaven,Free and Hanseatic City of Bremen",Germany,RM,CP,N,bovine,CP - Cutting Plant,,
ES 44,Albert Cordts Fleischgroßhandel GmbH & Co. KG,Schlachthofstraße18,Bremerhaven,27576,"Bremerhaven,Free and Hanseatic City of Bremen",Germany,RM,SH,Y,bovine,SH - Slaughterhouse,,
DE SL 90013,Alexander Keller,Hauptstraße 6,Freisen,66629,"Landkreis St. Wendel,Saarland",Germany,RM,CP SH,Y,caprine ovine porcine bovine,CP - Cutting Plant | SH - Slaughterhouse,,
DE BY 70495,Allgäu Fresh Foods GmbH & Co. KG,Ursulasrieder Straße2,Kempten (Allgäu),87437,"Kempten (Allgäu),Swabia,Bavaria",Germany,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
TH 01829,Altenburger Fleisch GmbH & Co. KG,Am Poschwitzer Park 7,Altenburg,04600,"Landkreis Altenburger Land,Thuringia",Germany,RM,CP SH,Y,bovine,CP - Cutting Plant | SH - Slaughterhouse,,
DE NW 70585 EG,Andreas Gehlen Fleisch und Wurstschmiede,Haperscheid 41,Schleiden,53937,"Kreis Euskirchen,Cologne Government Region,North Rhine-Westphalia",Germany,RM,SH,Y,,SH - Slaughterhouse,,
DE BY 10580 EG,Andreas Gigglinger,Schmidhausen 1a,Tuntenhausen,83104,"Landkreis Rosenheim,Upper Bavaria,Bavaria",Germany,RM,SH CP,Y,bovine caprine ovine porcine equine,SH - Slaughterhouse | CP - Cutting Plant,,
DE BY 10756 EG,Attenberger Fleisch GmbH,Zenettistraße 10,Munich,80337,"Munich,Upper Bavaria,Bavaria",Germany,RM,SH,Y,,SH - Slaughterhouse,,
DE EZ 683,Aulbach GmbH & Co. KG,Industriestraße 7,Hösbach,63768,"Landkreis Aschaffenburg,Lower Franconia,Bavaria",Germany,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
DE NW 90281,BIG Fleisch- und Großhandel GmbH,Schultenstraße 83,Oer-Erkenschwick,45739,"Kreis Recklinghausen,Regierungsbezirk Münster,North Rhine-Westphalia",Germany,RM,CP,N,bovine,CP - Cutting Plant,,
DE NI 11503,BMR Schlachthof Garrel GmbH,Dieselstr. 16 a,Garrel,49681,"Landkreis Cloppenburg,Lower Saxony",Germany,RM,SH,Y,,SH - Slaughterhouse,,
DE NW 90362,Baba-et GmbH,Friedrichstraße 33b,Castrop-Rauxel,44581,"Kreis Recklinghausen,Regierungsbezirk Münster,North Rhine-Westphalia",Germany,RM,CP,N,bovine,CP - Cutting Plant,,
DE BY 20432 EG,"Bablitzka, Peter",Kohlstattstr. 13 - 15,Breitenberg,94139,"Landkreis Passau,Lower Bavaria,Bavaria",Germany,RM,CP SH,Y,bovine caprine ovine porcine equine,CP - Cutting Plant | SH - Slaughterhouse,,
DE TH EZ 2024 EG,Baraneck / Fleischzerlegung,"Porphyrstr. 1, 04600 Altenburg",Altenburg,04600,"Landkreis Altenburger Land,Thuringia",Germany,RM,CP,N,,CP - Cutting Plant,,
DE BY 61000,Bauer Fleisch GmbH,Dammer Weg 60-62,Goldbach,63773,"Landkreis Aschaffenburg,Lower Franconia,Bavaria",Germany,RM,CP,N,bovine porcine,CP - Cutting Plant,,
DE-HE 10125 EG,Baumann GmbH & Co. KG,Am Pariser Weg 25,Viernheim,68519,"Kreis Bergstraße,Regierungsbezirk Darmstadt,Hesse",Germany,RM,CP SH,Y,bovine caprine ovine,CP - Cutting Plant | SH - Slaughterhouse,,
DE EZ 595,Baumeister EG-Zerlegebetrieb GmbH,Alter Weg 40,Ahaus,48683,"Kreis Borken,Regierungsbezirk Münster,North Rhine-Westphalia",Germany,RM,CP,N,,CP - Cutting Plant,,
DE BY 11057,Bayernfleisch GmbH,Industriestraße 8,Traunstein,83278,"Landkreis Traunstein,Upper Bavaria,Bavaria",Germany,RM,CP,N,bovine porcine,CP - Cutting Plant,,
DE BY 40007 EG,Bayreuther Fleisch GmbH,Drossenfelder Straße 11,Bayreuth,95445,"Bayreuth,Upper Franconia,Bavaria",Germany,RM,CP SH,Y,bovine porcine caprine ovine equine,CP - Cutting Plant | SH - Slaughterhouse,,
DE BW 01102 EG,Beck GmbH & Co. KG,OT Neu-Kupfer Flurweg 21,Kupferzell,74635,"Hohenlohekreis,Regierungsbezirk Stuttgart,Baden-Württemberg",Germany,RM,CP SH,Y,porcine,CP - Cutting Plant | SH - Slaughterhouse,,
DE NI 11020,Bedford GmbH + Co. KG,Traiteur-Platz 1,Osnabrück,49090,"Osnabrück,Lower Saxony",Germany,RM,CP,N,,CP - Cutting Plant,,
