approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
GS/SF/E007,ABUESI FISH PROCESSING ASSOCIATION,SANKOBAMU,Shama,,Western Region; 33 Imports from this establishment are only authorized for fresh and frozen fishery products but not for smoked fishery products,Ghana,third-country,FFP,PP,,,PP - Processing Plant,04/09/2024,
GS/SF/E027,AFRICA STAR,FISHING HARBOUR,Tema,,Greater Accra Region,Ghana,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
GS/SF/E025,ATLANTIC PRINCESS,FISHING HARBOUR AREA,Tema,,Greater Accra Region,Ghana,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
GS/SF/E039,ATLANTIC QUEEN,FISHING HARBOUR AREA,Tema,,Greater Accra Region,Ghana,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
GS/SF/R014,Agnes No. 1,,Tema,,Greater Accra Region,Ghana,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
GS/SF/E123,BENJBELLE COMPANY LTD,ADUM,Kumasi,,Ashanti Region,Ghana,third-country,FFP,PP,,,PP - Processing Plant,16/06/2022,
GS/SF/E108,C G Elmina Ltd.,,Elmina,,Central Region,Ghana,third-country,FFP,PP,,,PP - Processing Plant,,
GS/SF/E070,COSMO SEAFOODS COMPANY LTD,"COSMO SEAFOODS CO.LTD, GAFCO INDUSTRIAL PARK,MAIN HARBOUR AREA,PMB 85 TEMA GHANA",Tema,,Greater Accra Region,Ghana,third-country,FFP,PP,,,PP - Processing Plant,06/09/2023,
GS/SF/E066,Continental Exports (Gh) Ltd.,,Tema,,Greater Accra Region,Ghana,third-country,FFP,PP,,,PP - Processing Plant,,
GS/SF/E042,DIVINE SEAFOODS,FISHING HARBOUR AREA,Tema,,Greater Accra Region,Ghana,third-country,FFP,PP,,,PP - Processing Plant,,
GS/SF/E124,EDOHAS VENTURES,P.O BOX MS 548,Accra,,Greater Accra Region,Ghana,third-country,FFP,PP,,,PP - Processing Plant,16/06/2022,
GS/SF/E109,Funkot Seafoods Ltd.,,Takoradi,,Western Region,Ghana,third-country,FFP,PP,,,PP - Processing Plant,,
GS/SF/E112,Green Global Logistics Company Limited,,Tema,,Greater Accra Region,Ghana,third-country,FFP,CS,,,CS - Cold Stores,,
GS/SF/E002,JINHAI 605,PO.BOX CO637 TEMA,Tema,,Greater Accra Region; 8683925	27/03/2026,Ghana,third-country,FFP,FV,,,FV - Factory Vessel,,
GS/SF/E003,JINHAI 608,PO.BOX CO637 TEMA,Tema,,Greater Accra Region; 8683937	27/03/2026,Ghana,third-country,FFP,FV,,,FV - Factory Vessel,,
GS/SF/E100,KAWUKUDI ECONOMY LIMITED,OYARIFA,Accra,,Greater Accra Region,Ghana,third-country,FFP,PP,,,PP - Processing Plant,,
GS/SF/E074,LONG TAI 1,FISHING HARBOUR AREA,Tema,,Greater Accra Region,Ghana,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
GS/SF/R010,LONG TAI 2,FISHING HARBOUR AREA,Tema,,Greater Accra Region,Ghana,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
GS/SF/E021,LONG XIAN 601,FISHING HARBOUR AREA,Tema,,Greater Accra Region,Ghana,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
GS/SF/E038,LONG XIAN 602,FISHING HARBOUR AREA,Tema,,Greater Accra Region,Ghana,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
GS/SF/E082,LONG XIAN 603,FISHING HARBOUR AREA,Tema,,Greater Accra Region,Ghana,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
GS/SF/E024,LONG XIAN 606,FISHING HARBOUR AREA,Tema,,Greater Accra Region,Ghana,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
GS/SF/E012,LONG XIAN 607,FISHING HARHOUR AREA,Tema,,Greater Accra Region,Ghana,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
GS/SF/E048,LONG XIAN 608,FISHING HARBOUR AREA,Tema,,Greater Accra Region,Ghana,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
GS/SF/E018,LONG XIAN 609,FISHING HARBOUR AREA,Tema,,Greater Accra Region,Ghana,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
GSB/SF/E855,"Liwon Ent. Ltd., P.M.B.",,Tema,,Greater Accra Region,Ghana,third-country,FFP,PP,,,PP - Processing Plant,,
GS/SF/E111,M/V IRIS QUEEN,FISHING HARBOUR AREA,Tema,,Greater Accra Region; 8210493,Ghana,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
GS/SF/E026,M/V IRIS-J,FISHING HARBOUR AREA,Tema,,Greater Accra Region,Ghana,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
GS/SF/E023,MANKOADZE FISHERIES LIMITED,FISHING HARBOUR AREA,Tema,,Greater Accra Region,Ghana,third-country,FFP,CS,,,CS - Cold Stores,,
GS/SF/E006,MV AFKO 808,P.O BOX 868,Tema,,Greater Accra Region; 9020807	02/11/2025,Ghana,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
GS/SF/E089,MV AFKO FOODS 805,P.O. BOX 868,Tema,,Greater Accra Region,Ghana,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
GS/SF/E125,Opearl Seafood Freezing Factory,P.O BOX OS 529 OSU-ACCRA,Accra,,Greater Accra Region,Ghana,third-country,FFP,PP,,,PP - Processing Plant,05/10/2022,
GS/SF/E001,PANOFI COMMANDER,FISHING HARBOUR AREA,Tema,,Greater Accra Region,Ghana,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
GS/SF/E121,PANOFI GRACE,P.O. BOX TT 581,Tema,,Greater Accra Region; 9517276	19/06/2022,Ghana,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
GS/SF/E120,PANOFI QUEEN,C/O JAIS SPA P O BOX TT 581,Tema,,Greater Accra Region; 9097329	09/06/2022,Ghana,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
GS/SF/E061,PFC WHITE OIL EXTRACTION PLANT,FISHING HARBOUR,Tema,,Greater Accra Region,Ghana,third-country,FFP,PP,,,PP - Processing Plant,,
GS/SF/E126,PIONEER FOOD CANNERY COLD STORE,PIONEER FOOD CANNERY LIMITED P.O BOX 40 FISHING HABOUR GATE TEMA,Tema,,Greater Accra Region,Ghana,third-country,FFP,CS,,,CS - Cold Stores,31/05/2024,
GS/SF/E031,Panofi Discoverer,Adjacent Ghana Revenue Authoriry,Tema,,Greater Accra Region,Ghana,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
GS/SF/E029,Panofi Forerunner,Adjacent Ghana Revenue Authority,Tema,,Greater Accra Region,Ghana,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
GS/SF/E078,Panofi Master,,Tema,,Greater Accra Region,Ghana,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
GS/SF/E030,Panofi Pathfinder,Adjacent Ghana Revenue Authority,Tema,,Greater Accra Region,Ghana,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
GS/SF/EF038,Pioneer Food Cannery Limited,,Tema,,Greater Accra Region,Ghana,third-country,FFP,PP,,,PP - Processing Plant,,
GS/SF/E020,SAMBAISON VENTURES,P.O BOX CS 8949,Tema,,Greater Accra Region,Ghana,third-country,FFP,PP,,,PP - Processing Plant,26/03/2025,
GS/SF/E004,SETHAMO PRIME ENTERPRISE,"P.O.BOX WY 946 KWABENYA,ACCRA",Accra,,Greater Accra Region,Ghana,third-country,FFP,PP,,,PP - Processing Plant,18/05/2026,
GS/SF/R022,Seaplus 87,"TTV Building, Fishing Harbour",Tema,,Greater Accra Region,Ghana,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
