approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
S118,"""SFAGEIA SKOTOUSSAS E.P.E.""",SKOTOUSSA SERRON,Skotousa Serres,62100,"Serres Regional Unit,Central Macedonia Region,Macedonia - Thrace",Greece,RM,SH,Y,,SH - Slaughterhouse,,
A512,108 EMPORIA KREATON SA,"SIKOLIA ,N.KYDONIAS",Chania,73100,"Chania Regional Unit,Region of Crete,Crete",Greece,RM,CP,N,,CP - Cutting Plant,,
A 891,4 YEEROS I.K.E.,ACHARNES,Acharnes,13671,"Regional Unit of East Attica,Region of Attica,Attica",Greece,RM,CP,N,,CP - Cutting Plant,,
A373,A & CH. IFANTIS A.V.E.E,KIFISIA ATTIKI,Kifissia,14562,"Regional Unit North Athens,Region of Attica,Attica",Greece,RM,CP,N,,CP - Cutting Plant,,
A141,A & I TIAKA,ALEXANDROUPOLI EVROS,Alexandroupoli,68100,"Evros Regional Unit,East Macedonia and Thrace Region,Macedonia - Thrace",Greece,RM,CP,N,,CP - Cutting Plant,,
A317,A. FOTOPOULOS MONOPROSOPI EPE,GARGALIANOI,Gargaliani,24400,"Messenia Regional Unit,Peloponnese, West Greece and Ionian Sea",Greece,RM,CP,N,,CP - Cutting Plant,,
A492,A. KARYLAKIS MON. LTD,NEA PERAMOS,Nea Peramos,19006,"Regional Unit of West Attica,Region of Attica,Attica",Greece,RM,CP,N,,CP - Cutting Plant,,
A767,A. MANOLITSAKIS & SIA OE,RETHIMNO,Rethymno,93010,"Rethymno Regional Unit,Region of Crete,Crete",Greece,RM,CP,N,,CP - Cutting Plant,,
S125,ACHMETIS SPIRIDON TOU KONSTANTINOU,PSILI RACHI LOUROU,Louros,48061,"Preveza Regional Unit,Epirus Region,Epirus - Western Macedonia",Greece,RM,SH,Y,,SH - Slaughterhouse,,
A58,AFI K. DIROKALTSI,TRIKALA,Trikala,42100,"Regional Unit of Trikala,Region of Thessaly,Thessaly - Central Greece",Greece,RM,CP,N,,CP - Cutting Plant,,
A88,AFI ANTONAKI AEVE,ATSIPOPOULO RETHYMNO,Atsipopoulo,,"Rethymno Regional Unit,Region of Crete,Crete",Greece,RM,CP,N,,CP - Cutting Plant,,
