approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
GL00000577,Neqi A/S,Aalisartut Aqqutaat B-1053,Narsaq,3921,Vestgronland,Greenland,third-country,ABP-SH,,,,CAT3 - Category 3 | CAT2 - Category 2,,
5698,Neqi A/S,,Narsaq,3921,Vestgronland,Greenland,third-country,ABP-SH,,,,CAT2 - Category 2 | CAT3 - Category 3,,
6949,Arctic Cod ApS,Paassaasivik 12,Nuuk,3900,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
6149,Arctic Fish Greenland A/S,B-1193,Upernavik,3962,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
5496,"Arctic Fish Greenland A/S, Nuussuaq","B-1807, 3962 Upernavik",Southwest Greenland,3900,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
6134,Arctic Prime Fisheries ApS,Johan Dahlsvej 799,Qaqortoq,3920,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
4979,Arctic Prime Fisheries ApS,"B-939, Kakilisassiorfik 3922 Nanortalik",Southwest Greenland,3900,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
7030,Arctic Prime Fisheries ApS Tasermiut GR 1-1,"Johan Dahlsvej B-799, Postboks 299",Qaqortoq,3920,Vestgronland; 9263291,Greenland,third-country,FFP,FV,,,FV - Factory Vessel,,
6140,"Arctic Prime Fisheries ApS, Kuumiut",Bygning B 181,Tasaiilaq,3913,Ostgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
7281,"Arctic Roe ApS, Nuuk",Issortarfimmut 2,Nuuk,3905,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
6132,Arsuk Food ApS,B-37,Arsuk,3932,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
7397,"Arsuk Food ApS, Arsugaq",B-37,Arsuk,3932,Vestgronland,Greenland,third-country,FFP,FV,,,FV - Factory Vessel,,
6045,Avannaa Seafood ApS,"Bygning B 735, Postboks 220",Uummannaq,3961,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
221,"Greenland Scallops ApS, GR 6-426 Sonia Kiil II",Postboks 7190,Nuuk,3905,Vestgronland,Greenland,third-country,FFP,FV,,,FV - Factory Vessel,,
5474,Halibut Greenland ApS,Akinnguit,Ilulissat,3952,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
6915,"Halibut Greenland ApS, Kitsissuarsuit",B01 - Kitsissuarsuit,Aasiaat,3950,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
6512,"Halibut Greenland ApS, Qeqertaq",960-1202-02970.1,Ilulissat,3952,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
4406,"Ice Trawl A/S, Nataarnaq","Fabriksvej 4, P.O.Box 1073",Nuuk,3900,Vestgronland; 9886586,Greenland,third-country,FFP,FV,,,FV - Factory Vessel,,
7130,Ilulissat Seafood ApS,Qoororsuup Aqqutaa 1,Ilulissat,3952,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
5706,Inughuit Seafood A/S,"B 280, 3971 Qaanaaq",Southwest Greenland,3900,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
5980,Maniitsoq Fish ApS,"Ilutassua 4, Bygning 1038",Maniitsoq,3912,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
7301,Maniitsoq Seafood A/S,"Tikaasaq, bygning 66",Maniitsoq,3912,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
5778,POLAR AMAROQ POLAR PELAGIC,Post box 1616,Nuuk,3900,Vestgronland; 9266255,Greenland,third-country,FFP,FV,,,FV - Factory Vessel,,
7114,Partrederi Ortooraq/Taatsiaq Møller,Taligtarfingmut 563,Paamiut,3940,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
5841,"Pelagic Greenland A/S, GR 6-41 Tasiilaq",Postboks 709,Nuuk,3900,Vestgronland; 9258090,Greenland,third-country,FFP,FV,,,FV - Factory Vessel,,
60/74,"Polar Raajat A/S, Aasiaat",Postboks 350,Aasiaat,3950,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
5842,"Polar Raajat A/S, Krabber og fisk","Aalisartut Aqqutaal 9, Postboks 1599, 3900 Nuuk",Southwest Greenland,3900,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
9113,"Polar Raajat A/S, Rejer","Aalisartut Aqqutaat 1A, P.O.Box 1599, GL-3900 Nuuk",Nuuk,3900,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
6477,"Polar Seafood Greenland A/S Polar Nattoralik, GR 6-49",Postboks 1616,Nuuk,3900,Vestgronland; 9826031,Greenland,third-country,FFP,FV,,,FV - Factory Vessel,,
401,"Polar Seafood Greenland A/S, GR 10-65 Polar Qaasiut",Postboks 1616,Nuuk,3900,Vestgronland; 9247091,Greenland,third-country,FFP,FV,,,FV - Factory Vessel,,
390,"Polar Seafood Greenland A/S, GR 6-54 Polar Princess",Postboks 1616,Nuuk,3900,Vestgronland; 9204609,Greenland,third-country,FFP,FV,,,FV - Factory Vessel,,
6513,Polar Seafood Upernavik ApS,Mittarfiup Aqq. B 1851.,Upernavik,3962,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
219,"Qajaq Trawl A/S, GR 6-84 Markus",P. O. Box 118,Nuuk,3900,Vestgronland; 9826706,Greenland,third-country,FFP,FV,,,FV - Factory Vessel,,
4502,"Regina C, Niisa Trawl ApS, GR 6-25",Postboks 426,Nuuk,3900,Vestgronland,Greenland,third-country,FFP,FV,,,FV - Factory Vessel,,
6701,Rodebay Fish ApS,"Bygning 134, Oqaatsut",Ilulissat,3952,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
4768,Royal Greenland A/S,"B-792, Umiarsualiviup Aqq.",Qeqertarsuaq,3953,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
153,"Royal Greenland A/S - M/TR Avataq, GR 6-19",Postbox 270,Nuuk,3900,Vestgronland; 9829708,Greenland,third-country,FFP,FV,,,FV - Factory Vessel,,
6032,"Royal Greenland A/S - Trawler Masilik, GR 8-350",Postbox 270,Nuuk,3900,Vestgronland; 9244726,Greenland,third-country,FFP,FV,,,FV - Factory Vessel,,
6462,Royal Greenland A/S Qaarsut,B 1562,Uummannaq,3961,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
7021,"Royal Greenland A/S, Tasiilaq",Talittarpimmut B-724,Tasaiilaq,3913,Ostgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
5876,"Royal Greenland A/S, Aappilattoq","Bygning B, 3922 Nanortalik",Southwest Greenland,3900,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
6147,"Royal Greenland A/S, Aappilattoq",Bygning 1194,Upernavik,3962,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
5703,"Royal Greenland A/S, Akunnaaq",Bygning B75,Aasiaat,3950,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
6130,"Royal Greenland A/S, Atammik",Bygning 67 A,Maniitsoq,3912,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
5820,"Royal Greenland A/S, Attu","B-70, 3955 Kangaatsiaq",Southwest Greenland,3900,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
425,"Royal Greenland A/S, GR 6 - 18 Sisimiut",Postboks 270,Nuuk,3900,Vestgronland; 9829693,Greenland,third-country,FFP,FV,,,FV - Factory Vessel,,
5700,"Royal Greenland A/S, GR 6-10, Tuugaalik",P. O. Box 709,Nuuk,3900,Vestgronland; 9922897,Greenland,third-country,FFP,FV,,,FV - Factory Vessel,,
5836,"Royal Greenland A/S, Ikamut","B-44, 3951 Qasigiannguit",Southwest Greenland,3900,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
6125,"Royal Greenland A/S, Ikerasaarsuk",Bygning 49,Kangaatsiaq,3955,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
481,"Royal Greenland A/S, Innaarsuit",Bygning 1336 3962 Upernavik,Southwest Greenland,3900,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
6117,"Royal Greenland A/S, Itilleq",B 66,Sisimiut,3911,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
7187,"Royal Greenland A/S, Kaassassuk",Qasapi 4,Nuuk,3900,Vestgronland; 9988853,Greenland,third-country,FFP,FV,,,FV - Factory Vessel,,
6123,"Royal Greenland A/S, Kangaatsiaq",Box 541,Kangaatsiaq,3955,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
6756,"Royal Greenland A/S, Kiliutaq",Qasapi 4,Nuuk,3900,Vestgronland,Greenland,third-country,FFP,FV,,,FV - Factory Vessel,,
4659,"Royal Greenland A/S, Maniitsoq",A. W. Nielsen-ip Aqq 5,Maniitsoq,3912,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
6124,"Royal Greenland A/S, Niaqornaarsuk",Bygning 777,Kangaatsiaq,3955,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
6118,"Royal Greenland A/S, Nutaarmiut","B-1486, Nutaarmiut",Upernavik,3962,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
60/26,"Royal Greenland A/S, Paamiut",P.O Box 502,Paamiut,3940,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
4432,"Royal Greenland A/S, Qeqertaq",Bygning B 1381,Ilulissat,3952,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
6131,"Royal Greenland A/S, Qeqertarsuatsiaat",Bygning 240,Nuuk,3900,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
6127,"Royal Greenland A/S, Sarfannguaq",B 1377,Sisimiut,3911,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
60/57,"Royal Greenland A/S, Sisimiut",Postboks 120,Sisimiut,3911,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
6148,"Royal Greenland A/S, Tasiusaq",Bygning 1370,Upernavik,3962,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
4875,"Royal Greenland A/S, Umiarsualiviup Aqq",Bygning 775 3953 Qeqertarsuaq,Southwest Greenland,3900,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
6146,"Royal Greenland A/S, Upernavik","P.O.Box 502, B-908",Upernavik,3962,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
5274,"Royal Greenland A/S, Upernavik Kujalleq",Bygning 979,Upernavik,3962,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
4469,"Royal Greenland Seafood A/S, GR 6-6 Akamalik","Fabriksvej 4, P. O. Box 1073",Nuuk,3900,Vestgronland; 9228928,Greenland,third-country,FFP,FV,,,FV - Factory Vessel,,
60/126,"Royal Greenland Seafood A/S, Ikerasak","Bygning 1140 B, 3961 Uummannaq",Southwest Greenland,3900,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
60/91,"Royal Greenland Seafood A/S, Ilulissat",Postbox 509,Ilulissat,3952,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
6128,"Royal Greenland Seafood A/S, Kangaamiut",Bygning 81,Maniitsoq,3912,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
6142,"Royal Greenland Seafood A/S, Nuuk","Qasapi 2, P.O. Box 1073",Nuuk,3900,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
60/83,"Royal Greenland Seafood A/S, Qasigiannguit",Postboks 118,Qasigiannguit,3951,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
5400/124,"Royal Greenland Seafood A/S, Saattut","B 1184, 3961 Uummannaq",Southwest Greenland,3900,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
4927,"Royal Greenland Seafood A/S, Saqqaq",B 1125,Ilulissat,3952,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
60/127,"Royal Greenland Seafood A/S, Ukkusissat","P.O. Box 1310 B, 3961 Uummannaq",Southwest Greenland,3900,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
60/123,"Royal Greenland Seafood A/S, Uummannaq","Postboks 204, 3961 Uummannaq",Southwest Greenland,3900,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
60/18,"Royal Greenland Seafood, Narsaq",Postboks 28,Narsaq,3921,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
4844,"Sigguk A/S, GR 15-203 Polar Nanoq",Postboks 1616,Nuuk,3900,Vestgronland; 9231042,Greenland,third-country,FFP,FV,,,FV - Factory Vessel,,
6687,Sigguk Uummannaq ApS,Pilaffimmut. B 1885,Uummannaq,3961,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
5979,"Sikuaq Trawl A/S, GR 6-23 Svend C",Postboks 392 2th,Nuuk,3900,Vestgronland; 9752589,Greenland,third-country,FFP,FV,,,FV - Factory Vessel,,
6726,Sisimiut Fish A/S,J. M. Jensenip Aqq. B-2094,Sisimiut,3911,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
7219,"Sisimiut Fish A/S, Den Gule Bygning",Muunup Aqquserna 1325,Sisimiut,3911,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
7216,Unik Seafood Greenland A/S,Qeqertanut 2,Nuuk,3900,Vestgronland,Greenland,third-country,FFP,PP,,,PP - Processing Plant,,
4445,Isortoq Reindeer Station,,Qaqortoq,3920,Vestgronland,Greenland,third-country,RM,CS CP SH,Y,ovine,CS - Cold Stores | CP - Cutting Plant | SH - Slaughterhouse,,
5698,Neqi A/S,,Narsaq,3921,Vestgronland,Greenland,third-country,RM,SH CP CS,Y,ovine,SH - Slaughterhouse | CP - Cutting Plant | CS - Cold Stores,,
4445,Isortoq Reindeer Station,,Qaqortoq,3920,Vestgronland; wbU Biungulates,Greenland,third-country,GM,SH CS CP,Y,,SH - Slaughterhouse | CS - Cold Stores | CP - Cutting Plant,,
4445,Isortoq Reindeer Station,,Qaqortoq,3920,Vestgronland; lwG Large wild game; cG Ovibos moschatus; Rangifer tarandus,Greenland,third-country,WM,GHE CS,N,,GHE - Game-Handling Establishment | CS - Cold Stores,,
