approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
002,Caribbean Sefoods Ltd.,,Saint George'S,,Saint George,Grenada,third-country,FFP,CS,,,CS - Cold Stores,,
006,Comment (Devon Mitchell),,Petit Martinique,,Grenada (general),Grenada,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
0010,Content I (Chad Charles),,Petit Martinique,,Grenada (general),Grenada,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
0011,Content II (Francis Decoteau),,Petit Martinique,,Grenada (general),Grenada,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
001,Grenada Commercial Fisheries Ltd.,,Saint George'S,,Saint George,Grenada,third-country,FFP,CS,,,CS - Cold Stores,,
009,Mascot (Don Blair),,Petit Martinique,,Grenada (general),Grenada,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
005,Minerva (Cardinal Olliverre),,Carriacou,,Grenada (general),Grenada,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
0017,Nordom Seafoods Limited,,Gouyave,,Grenada (general),Grenada,third-country,FFP,PP,,,PP - Processing Plant,,
0016,Southern Fishermen Association Inc.,,St. George's,,Saint George,Grenada,third-country,FFP,PP,,,PP - Processing Plant,,
0015,Spice Isle Fish House Limited,,St. George's,,Saint George,Grenada,third-country,FFP,PP,,,PP - Processing Plant,,
