approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
12,CONTINENTAL S.A. De C.V.,"San Pedro Sula, Cortes Apartado Postal No 65",San Pedro Sula,,Cortés,Honduras,third-country,ABP-SH,,,,CAT3 - Category 3,,
4,CYD S.A. De C.V.,"Catacamas, Olancho, PC 16201, Central America",Catacamas,,Olancho,Honduras,third-country,ABP-SH,,,,CAT3 - Category 3,,
73-C,"Aquafinca, St. Peter Fish, S.A.",Aldea Borboton,Rio Lindo,,Cortés,Honduras,third-country,FFP,PP,,,PP - Processing Plant,,
62-C,Deli Honduras S.A.,Carretera A Orocuina C.A. P.O. Box 181,Choluteca,,Choluteca,Honduras,third-country,FFP,PP,,,PP - Processing Plant,,
94-C,Empacadora De Camarones Productos Frescos Del Mar San Carlos,"Aldea Santa Elena, Desvio a Cedeno",Choluteca,,Choluteca,Honduras,third-country,FFP,PP CS,,,PP - Processing Plant | CS - Cold Stores,,
57-C,"Empacadora De Productos Acuáticos San Lorenzo, S.A. De C.V.","Plaza Marina, Puerto Viejo.",San Lorenzo,,Valle,Honduras,third-country,FFP,PP,,,PP - Processing Plant,,
U-1818032,JMC Fisheries Embarcacion Captain John,"Barrio Monte Placentero, Roatan, Islas de la Bania","Colonia Policarpo Galindo, Roatan",,Bay Islands; 8940684	04/11/2024,Honduras,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
U-1828723,JMC Fisheries Embarcacion Kaleigh Elisse,"Barrio Monte Placentero, Roatan, Islas de la Bahia.","Colonia Policarpo Galindo, Roatan",,Bay Islands; 45 Live lobster only; 8939350	04/11/2024,Honduras,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
U-1826754,JMC Fisheries Embarcacion Lady Sue,"Barrio Monte Placentero, Roatan, Islas de la Bahia","Colonia Policarpo Galindo, Roatan",,Bay Islands; 8961224	04/11/2024,Honduras,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
U-1828767,JMC Fisheries Embarcacion Lola Maria,"Barrio Monte Placentero, Roatan, Islas de la Bahia","Colonia Policarpo Galindo, Roatan",,Bay Islands; 45 Live lobster only,Honduras,third-country,FFP,ZV,,,ZV - Freezer Vessel,04/11/2024,
U-1827001,JMC Fisheries Embarcacion Miss Courtney,"Barrio Monte Placentero, Roatan, Islas de la Bahia","Colonia Policarpo Galindo, Roatan",,Bay Islands; 45 Live lobster only,Honduras,third-country,FFP,ZV,,,ZV - Freezer Vessel,04/11/2024,
U-1822739,JMC Fisheries Embarcacion Savannah Grace,"Barrio Monte Placentero, Roatan, Islas de la Bahia","Colonia Policarpo Galindo, Roatan",,Bay Islands; 45 Live lobster only; 8977338	04/11/2024,Honduras,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
U-1828763,JMC Fisheries Embarcacion Sophia Teresa,Barrio Monte Placentero,"Colonia Policarpo Galindo, Roatan",,Bay Islands; 45 Live lobster only,Honduras,third-country,FFP,ZV,,,ZV - Freezer Vessel,04/11/2024,
61-C,Novahonduras Zona Libre S.A.,Aldea Laure Abajo.,San Lorenzo,,Valle,Honduras,third-country,FFP,CS PP,,,CS - Cold Stores | PP - Processing Plant,,
81-C,Service And Trading Business,Parque Industrial Honduras Pacífico. Salida a Guasaule.,Choluteca,,Choluteca,Honduras,third-country,FFP,PP,,,PP - Processing Plant,,
