approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
H155,Aðföng / Ferskar Kjötvörur,Síðumúla 34,Reykjavik,108,Capital Region,Iceland,RM,CP,N,,CP - Cutting Plant,,
A008,B. Jensen ehf,Lón,Akureyri,,Northeastern Region,Iceland,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
A793,Brjálaða Gimbrin,Birkihlíð,Sauðárkrókur,551,Northwestern Region,Iceland,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
A297,Esja Gæðafæði,Bitruháls 2,Reykjavik,110,Capital Region,Iceland,RM,CP,N,,CP - Cutting Plant,,
A032,Fjallalamb hf,Röndin,Kópasker,670,Northeastern Region,Iceland,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
A903,Félagsbúið Lindarbrekka ehf,Lindarbrekku,Djúpivogur,765,Eastern Region,Iceland,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
H218,Grímsstaðarkét Kjötvinnsla ehf,Grímsstaðir,Reykholt,,Southern Region,Iceland,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
A050,Kaupfélag Skagfirðinga svf.,Eyrarvegur 20,Sauðárkrókur,550,Northwestern Region,Iceland,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
A029,Kjarnafæði Norðlenska hf - Akureyri,Grímseyjargata,Akureyri,600,Northeastern Region,Iceland,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
A824,Kjarnafæði Norðlenska hf - Frystiklefi Húsavík,Suðurgarður 2,Húsavík,640,Northeastern Region,Iceland,RM,CP,N,,CP - Cutting Plant,,
A031,Kjarnafæði Norðlenska hf - Húsavík,Þingeyjarsýslubraut 2,Húsavík,640,Northeastern Region,Iceland,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
A063,Kjarnafæði Norðlenska hf - Svalbarðseyri,Svalbarðseyri,Akureyri,600,Northeastern Region,Iceland,RM,CP,N,,CP - Cutting Plant,,
A023,Kjarnafæði Norðlenska hf.,Húnabraut 39,Blönduós,540,Northwestern Region,Iceland,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
A044,Kjöthúsið ehf,Smiðjuvegur 24d,Kopavogur,200,Capital Region,Iceland,RM,CP,N,,CP - Cutting Plant,,
H178,Kjötkompaní ehf,Bæjarhrauni 24,Hafnarfjordur,220,Capital Region,Iceland,RM,CP,N,,CP - Cutting Plant,,
A046,Kjötsmiðjan ehf,Fosshálsi 27 - 29,Reykjavik,110,Capital Region,Iceland,RM,CP,N,,CP - Cutting Plant,,
A004,Saltvík-Stjörnugrís hf,"Saltvík, Kjalarnes",Reykjavik,116,Capital Region,Iceland,RM,SH CP,Y,porcine,SH - Slaughterhouse | CP - Cutting Plant,,
A052,Sláturfélag Suðurlands svf,Ormsvellir 8,Hvolsvöllur,860,Southern Region,Iceland,RM,CP,N,,CP - Cutting Plant,,
A081,Sláturfélag Suðurlands svf,Fossnes,Selfoss,800,Southern Region,Iceland,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
A067,Sláturhús Hellu hf,Suðurlandsvegur 8,Hella,850,Southern Region,Iceland,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
A022,Sláturhús KVH ehf,Norðurbraut 24,Hvammstangi,530,Northwestern Region,Iceland,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
A907,Sláturhús Seglbúðum ehf,Seglbúðir,Kirkjubæjarklaustur,880,Southern Region,Iceland,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
A997,Sláturhús Vesturlands ehf,Brákarbraut 19,Borgarnes,310,Western Region,Iceland,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
A906,Soðlappi ehf.,Krosshömrum 11,Reykjavik,112,Capital Region,Iceland,RM,CP,N,,CP - Cutting Plant,,
A049,Síld og fiskur ehf,Dalshraun 9 og 9B,Hafnarfjordur,220,Capital Region,Iceland,RM,CP,N,,CP - Cutting Plant,,
A060,Matfugl ehf,Völuteigur 2,Mosfellsbær,270,Capital Region,Iceland,PM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
A059,Reykjagarður hf,Dynskálum 42-44,Hella,850,Southern Region,Iceland,PM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
A058,Ísfugl ehf,Reykjavegi 36,Mosfellsbær,270,Capital Region,Iceland,PM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
H207,Héðinn Jónasson,Héðinshöfði 2,Núpar,641,Northeastern Region,Iceland,WM,CP,N,,CP - Cutting Plant,,
H180,Jóhannes H Ríkharðsson,Brúnastaðir,Hofsós,565,Northwestern Region,Iceland,WM,GHE,N,,GHE - Game-Handling Establishment,,
H042,Vörusmiðjan,Einbúastíg 2,Skagaströnd,545,Northwestern Region,Iceland,WM,GHE,N,,GHE - Game-Handling Establishment,,
