approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
1389,AL-KHAJA FREEZING PRIVATE LIMITED,"VILL-MOHISGODI, P.O- MUDIAHAT, P.S- SHASAN, DIST- NORTH 24 PARGANAS, KOLKATA-700128, WEST BENGAL",Parganas (N),24,West Bengal,India,third-country,FFP,PP,,,PP - Processing Plant,08/09/2025,
1977,ALPHA MARINE LIMITED,"Sy. No. 587, 589 & 591, Gandavaram to Peyyalapalem Road, Bodduvaripalem (V), Kammavaripalem Post, Kodavalur (M), Nellore – 524316, Andhra Pradesh, India",Kodavalur,,"Sri Potti Sriramulu Nellore District,Andhra Pradesh",India,third-country,FFP,PP,,,PP - Processing Plant,08/09/2025,
1997,AMEYA FROZEN FOODS PRIVATE LIMITED,"D No. 7-118, RS No.5/1C, 5/1A, 5/1B, Vissampalem, Tadimalla, Nidadavole Mandal, East Godavari, Andhra Pradesh, India – 534305",ANDHRA PRADESH,,Andhra Pradesh,India,third-country,FFP,PP,,,PP - Processing Plant,10/06/2026,
1906,AVR Marines Private Ltd,"R.S.NO:60/3B,THIRUPATHIPURAM, ATTILI MANDAL,WEST GODAVARI DISTRICT, ANDHRA PRADESH - 534134",Attili,534100,"West Godavari District,Andhra Pradesh",India,third-country,FFP,PP,,,PP - Processing Plant,28/04/2023,
2625,Amar Food Products,"Vanana Unit, Survey No. 67, Near Vanana, Tall Plaza Highway, Tal-Ranavav, Digvijaygadh, Dist.-Porbandar, Gujarat-360560, India",Porbandar,360575,Gujarat,India,third-country,FFP,PP,,,PP - Processing Plant,05/09/2025,
2620,Aqua Foods Exim,"Plot No. B-4, Additional Lote MIDC, Asgani Village, Khed Taluka, Ratnagiri Dist, Maharashtra 415708",Khed,415709,"Ratnagiri,Maharashtra",India,third-country,FFP,PP,,,PP - Processing Plant,20/06/2025,
1378,Ashadeep Aquaculture Pvt Ltd,"Plot No.-768, 751, 764/842, 443, 766, 767, 448, 441, Tinipada Jugal Kishorepur, Mankhani, PS: Khantapada, Dist.: Balasore, Odisha, Pin-756043",Balasore,756040,"Baleshwar,Odisha",India,third-country,FFP,PP,,,PP - Processing Plant,05/09/2025,
1382,BRC Marine Products,"Plot No. - 288/1123 and 1124, Narasinghprasad, P.O. Dosinga, VIA, Dhamara, Bhadrak, Odisha - 756171",Bhadrak,756040,"Baleshwar,Odisha",India,third-country,FFP,PP,,,PP - Processing Plant,05/09/2025,
1359,Basu International (UNIT V),"JAGAIBASAN, P.O.- DIGHA, DIST-PURBA MEDINIPUR, PIN-721 428, WEST BENGAL",Digha,721428,"Purba Medinipur,West Bengal",India,third-country,FFP,PP,,,PP - Processing Plant,27/04/2023,
1976,CHOICE TRADING CORPORATION PRIVATE LIMITED,"Survey No: 389-3, 389-2H, 389-2C, 389-2D, 387-1A, Yazali Village, Dhammanavaripalem Village and Post, Karlapalem, Bapatla, Guntur District Andhra Pradesh - 522111",Guntur,522035,"Guntur District,Andhra Pradesh",India,third-country,FFP,PP,,,PP - Processing Plant,08/09/2025,
CHE/FFP/02833,DANICA AQUA EXPORTS PRIVATE LIMITED,"Survey No. 4/10 to 4/19, Yerukonda Village, Poosapatirega Mandal - 535213, Vizianagaram District, Andhra Pradesh, India",ANDHRA PRADESH,,Andhra Pradesh,India,third-country,FFP,PP,,,PP - Processing Plant,28/04/2023,
1973,Deva Sea Food Unit- 1,"3/12E Bye Pass Road, Madathur, Tuticorin-628101, Tamil Nadu",Tuticorin,628003,"Thoothukudi district,Tamil Nadu",India,third-country,FFP,PP,,,PP - Processing Plant,08/09/2025,
916,Devi Sea Foods Limited,,Tanuku,534100,"West Godavari District,Andhra Pradesh",India,third-country,FFP,PP,,,PP - Processing Plant,,
1952,Devi Sea Foods Limited (Unit-II),"Sy.No.80/5,81/1A, Mulaguntapadu(V), Singarayakonda - 523101, Prakasam District, Andhra Pradesh, India",Singarayakonda,523101,"Prakasam District,Andhra Pradesh",India,third-country,FFP,PP,,,PP - Processing Plant,20/02/2025,
747,FAIR EXPORTS (INDIA) PRIVATE LIMITED,"DOOR NO. AP 22/636, INDUSTRIAL ESTATE, P.O. AROOR, ALAPPUZHA, 688 534, KERALA",Aroor,,Kerala,India,third-country,FFP,PP,,,PP - Processing Plant,28/11/2023,
1390,FLAMINQO SHRIMPEX PRIVATE LIMITED,"IDCO Plot No 12, Sea Food Park, Deras, Haripur, Mendasal, Bhubaneswar, Khordha, Odisha, 752054",Khurda,,Odisha,India,third-country,FFP,PP,,,PP - Processing Plant,10/06/2026,
1383,GADRE MARINE EXPORT PVT LTD,"Surimi Unit, Salt Road, Tundara, PO Inchudi, Remuna Block, Balasore, Odisha 756021",Balasore,756040,"Baleshwar,Odisha",India,third-country,FFP,PP,,,PP - Processing Plant,03/08/2026,
CHE/FFP/02741,GODAVARI MEGA AQUA FOOD PARK PRIVATE LIMITED,"R.S.NO.799, TUNDURRU VILLAGE, BHIMAVARAM MANDAL, WEST GODAVARI DISTRICT, 534207",Bhimavaram,522600,"Prakasam District,Andhra Pradesh",India,third-country,FFP,PP,,,PP - Processing Plant,,
1612,GOLD MARINE EXPORTS PVT LTD,"SNDP JUNCTION, THURAVOOR P.O. KUTHIYATHODE, ALAPPUZHA DIST- 688532, KERALA",Kuthiyathood,688540,"Alappuzha,Kerala",India,third-country,FFP,PP,,,PP - Processing Plant,05/09/2025,
2405,GREAT WIN EXPORTS PRIVATE LIMITED,"Sy.No. 859-1, 860, Podalakuru Road, Madamanuru Village – 524405 Manubolu Mandal, SPSR Nellore District, Andhra Pradesh",ANDHRA PRADESH,,Andhra Pradesh,India,third-country,FFP,PP,,,PP - Processing Plant,10/06/2026,
MUM/FFP/02564,Great Wall Exports,"Plot no.1406, G.I.D.C. ESTATE",Veraval,362200,Gujarat,India,third-country,FFP,PP,,,PP - Processing Plant,,
2633,Harbour Arabian Exports,"Survey No. 281, Hissa No. 3B, At-Nate, Taluka-Rajapur, Dist- Ratnagiri, Nate, Ratnagiri, Maharashtra, 415806.",Rajapur,416416,"Sangli district,Maharashtra",India,third-country,FFP,PP,,,PP - Processing Plant,08/09/2025,
1967,Island Seafood Exports,"Door No 6/226/A3, Ramanathapuram Road, Tharuvaikulam, Tuticorin District, Tamil Nadu - 628105",Tuticorin,628003,"Thoothukudi district,Tamil Nadu",India,third-country,FFP,PP,,,PP - Processing Plant,05/09/2025,
1611,KARTHIK MARINE INDUSTRIES,"S NO 187/7, PITHRODY, UDYAVARA, UDUPI, KARNATAKA, 574118",Udupi,574115,"Udupi district,Karnataka",India,third-country,FFP,PP,,,PP - Processing Plant,05/09/2025,
CH:CS-33,KING ICE PLANT (COLD STORAGE),"S.F.NO. 82/5,85/3,85/4 A, DOOR NO 4/247/2, MELA ARASARADI, OTTAPIDARAM TALUK, 628 002",Tuticorin,628003,"Thoothukudi district,Tamil Nadu",India,third-country,FFP,CS,,,CS - Cold Stores,,
975,Kader Exports Private Limited Unit 04,"2/91, Pattinamarut hur Village, Tharuvaikulam Post, Tuticorin-628105, Tamil Nadu",Tuticorin,628003,"Thoothukudi district,Tamil Nadu",India,third-country,FFP,PP,,,PP - Processing Plant,14/01/2026,
897,Kader Exports Private Limited Unit 02,"D. No. 4-139, Pedaamiram, Bhimavaram-534204, West Godavari Dist, Andhra Pradesh",Bhimavaram,522600,"Prakasam District,Andhra Pradesh",India,third-country,FFP,PP,,,PP - Processing Plant,,
976,Kader Exports Private Limited Unit 03,"'A' Block, I.D.A., Autonager, Visakhapatnam, Andhra Pradesh-530012,India",Vishakapatnam,,"Vishakhapatnam District,Andhra Pradesh",India,third-country,FFP,PP,,,PP - Processing Plant,,
839,Kader Exports Private Limited Unit 05,"TNFDC Freezing complex, Rarnnad district, Mandapam - 623518",Mandapam,623518,"Ramanathapuram district,Tamil Nadu",India,third-country,FFP,PP,,,PP - Processing Plant,,
528,M/S Esmario Export Enterprises Private Limited,"Kavanad P.O., Kollam- 691003, Kerala",Kollam,691001,"Kollam,Kerala",India,third-country,FFP,PP,,,PP - Processing Plant,26/04/2023,
