approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
546.13.A/B,CV. Giovanni Sukses Makmur,Jl. Berbek Industri V/1,Sidoarjo,61262,East Java,Indonesia,third-country,FFP,PP,,,PP - Processing Plant,,
504.24.B,CV. Indotropic Fishery,"Jl. Raya KM. 9 Desa Biak, Kec. Luwuk, Kab. Banggai, Jl. Raya KM. 9 Desa Biak, Kec. Luwuk, Kab. Banggai",Banggai,,Sulawesi Tengah,Indonesia,third-country,FFP,PP,,,PP - Processing Plant,,
581.22.A/B,CV. Inti Makmur,"Jl. Kima 6 Blok F1/A2 Kawasan Industri Makassar, South Sulawesi",Makassar,,South Sulawesi,Indonesia,third-country,FFP,PP,,,PP - Processing Plant,,
538.13.B/C,CV. Pasific Harvest,"Jl. Patimura, Dusun Stoplas, Desa/Kelurahan Kedungrejo, Kec. Muncar, Kab. Banyuwangi, East Java - Indonesia",Banyuwangi,82218,East Java,Indonesia,third-country,FFP,PP,,,PP - Processing Plant,20/04/2026,
475.22.A/B,CV. Prima Indo Tuna,"Jl. Prof. Dr. Ir. Sutami No. 32, Makassar",Makassar,,South Sulawesi,Indonesia,third-country,FFP,PP,,,PP - Processing Plant,,
561.10.B,PT Gabungan Era Mandiri (I),"Jl. Tuna II Blok J No. 4 Muara Baru, North Jakarta - Indonesia",Jakarta Utara,14440,"Jakarta Utara,Jakarta Special Capital Region",Indonesia,third-country,FFP,PP,,,PP - Processing Plant,04/02/2025,
003.07.B,PT. Agung Jayasari Sakti,"Jl. Raya prabumulih - Indralaya KM 29, Indralaya Ogan Ilir, Sumatera Selatan",Palembang,,South Sumatera,Indonesia,third-country,FFP,PP,,,PP - Processing Plant,,
423.13.B,PT. Alam Jaya,"JL. RUNGKUT INDUSTRI II / 25 SURABAYA, INDONESIA",Surabaya,,East Java,Indonesia,third-country,FFP,PP,,,PP - Processing Plant,,
492.13.B,PT. Alter Trade Indonesia,"JL. INDUSTRI NO 72 RT.08 RW. 03 DESA SUKOREJO, KEC. BUDURAN. KAB. SIDOARJO, EAST JAVA",Sidoarjo,61262,East Java,Indonesia,third-country,FFP,PP,,,PP - Processing Plant,,
138.13.B/C,PT. Aneka Tuna Indonesia,"Jl. Raya Surabaya-Malang Km 38, Desa Karangrejo, Kec. Gempol, Kabupaten Pasuruan, East Java - Indonesia",Pasuruan,,East Java,Indonesia,third-country,FFP,PP,,,PP - Processing Plant,06/08/2024,
609.13.C,PT. Aneka Tuna Indonesia Pandaan Factory,"Jl. Raya Gunung Gangsir RT 007 RW 009 Desa Nogosari, Kec. Pandaan Kab. Pasuruan, East Java - Indonesia",Pasuruan,,East Java,Indonesia,third-country,FFP,PP,,,PP - Processing Plant,10/07/2026,
573.02.B,PT. Anugerah Samudera Hindia,"Jl. Gatot Subroto (Pondok Batu Sarundik) No. 106, Tapanuli Tengah, Sibolga 22533",Sibolga,,North Sumatra,Indonesia,third-country,FFP,PP,,,PP - Processing Plant,,
217.11.B,PT. Aquafarm Nusantara,JI. Tambak Aji V No. 9,Semarang,53412,Central Java,Indonesia,third-country,FFP,PP,,,PP - Processing Plant,,
379.02.B,PT. Aquafarm Nusantara,JL. SEI BINGEI 36,Medan,,North Sumatra,Indonesia,third-country,FFP,PP,,,PP - Processing Plant,,
571.10.A/B,PT. Arta Mina Tama,"Jl. Cumi Raya Blok E No. 1A Pelabuhan Perikanan Samudera Jakarta, North Jakarta",Dki Jakarta,,Jakarta Special Capital Region,Indonesia,third-country,FFP,PP,,,PP - Processing Plant,,
139.13.B/C,PT. Avila Prima Intra Makmur,"Jl. Paludem no 42 Muncar, Banyuwangi, East Java-Indonesia",Banyuwangi,82218,East Java,Indonesia,third-country,FFP,PP,,,PP - Processing Plant,,
616.10.B,PT. Awindo,"JL. AREA GALANGAN KAPAL, KAWASAN PPS NIZAM ZACHMAN, KEL. PENJARINGAN, KEC. PENJARINGAN, NORTH JAKARTA",Jakarta Utara,,"Jakarta Utara,Jakarta Special Capital Region",Indonesia,third-country,FFP,PP,,,PP - Processing Plant,,
526.10.A/B,PT. Awindo International,"Jl. Cumi Raya No.7 Pelabuhan Muara Baru, Kelurahan Penjaringan, Kecamatan Penjaringan, North Jakarta - Indonesia",Jakarta,,Jakarta Special Capital Region,Indonesia,third-country,FFP,PP,,,PP - Processing Plant,06/06/2023,
608.10.B,PT. Awindo Makmur Sejahtera,"Kawasan Perikanan Samudra Nizam Zachman , Jl. Cumi Raya No. 8 Muara Baru, Kel. Penjaringan North Jakarta",Jakarta,12530,"Jakarta Pusat,Jakarta Special Capital Region",Indonesia,third-country,FFP,PP,,,PP - Processing Plant,,
