approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
973,Abdorreza Pormandani,"Bostaneh, Postal code: 7974139931",Bandar Lengeh,,"Bandar-e-Lengeh County,Hormozgan Province",Iran,third-country,FFP,PP,,,PP - Processing Plant,,
965,Abzi Gohar Naab Motaf,"Industrial park 2, Persian Gulf St.",Boushehr,,"Bushehr County,Bushehr Province; 33 Imports from this establishment are only authorized for fresh and frozen fishery products but not for smoked fishery products",Iran,third-country,FFP,PP,,,PP - Processing Plant,,
1080,Abzi Gostaresh Sharifi,"No. 0,yord Khordoo, Parsiyan, IR. IRAN, Postal code: 7976144356",Parsian,,"Parsian County,Hormozgan Province",Iran,third-country,FFP,PP,,,PP - Processing Plant,04/05/2026,
1013,Abzian Marjan Bidou Coral Co.,Bandar Deylam Industrial Estate,Bandar Deylam,,"Deylam County,Bushehr Province",Iran,third-country,FFP,PP,,,PP - Processing Plant,,
976,Abzian Sahel Sirik,Shahrak Sanati Shamjo,Sirik,,"Sirik County,Hormozgan Province",Iran,third-country,FFP,PP,,,PP - Processing Plant,,
1047,Abzian Tejarat Motaf Co.,Tiab Industrial Zone,"Tiab, Minab",,"Minab County,Hormozgan Province",Iran,third-country,FFP,PP,,,PP - Processing Plant,20/04/2022,
943,Abzigostran Saaee Co.,"Golman village, Sari, Mazandaran Province",Sari,4814794968,"Sari County,Mazandaran Province",Iran,third-country,FFP,PP,,,PP - Processing Plant,,
913,Abziyan Marjan Nour Boushehr,,Boushehr,,"Bushehr County,Bushehr Province",Iran,third-country,FFP,PP,,,PP - Processing Plant,,
714,Abzyan-e-mahtab,,Boushehr,,"Bushehr County,Bushehr Province",Iran,third-country,FFP,PP,,,PP - Processing Plant,,
959,Akiba Marine Products,"Gorzang Village, Minab, Hormozgan",Minab,,"Minab County,Hormozgan Province",Iran,third-country,FFP,PP,,,PP - Processing Plant,,
983,Ali Barazandeh,"Tiab Industrial Estate, Minab city, Hormozgan",Minab,,"Minab County,Hormozgan Province",Iran,third-country,FFP,PP,,,PP - Processing Plant,,
