approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
VSDJ/FV-ADV-0356,Advantage,"130 Blackwood Gardens, Old Harbour Bay",Old Harbour Bay,,Middlesex County,Jamaica,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
VSDJ/MVGER-0312,Anna G,,Tower Isle,,Saint Mary,Jamaica,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
VSDJ/RSFL-MV-ABII-0329,Antony Boy II,,Kingston,1,Surrey County,Jamaica,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
VSDJ/FV-PI-0375,B&D TRAWLING LIMITED,1 PORT ROYAL STREET,Kingston,4,Surrey County,Jamaica,third-country,FFP,ZV,,,ZV - Freezer Vessel,18/03/2026,
VSDJ/B&D-004,B&D Trawling Limited,"1 Port Royal Street, Kingston",Kingston,1,Surrey County,Jamaica,third-country,FFP,PP,,,PP - Processing Plant,19/06/2023,
VSDJ/FV-BS-0354,Baby Sol,1 Port Royal Street Kingston Jamaica W.I.,Kingston,1,Surrey County,Jamaica,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
VSDJ/BRYCE-0309,Bryce (Clarendon Seafood Limited),,Old Harbour Bay,,Middlesex County,Jamaica,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
VSDJ/CSSIL-0355,CSSI Seafood Processing,23 Brentford Road Kingston 5 Jamaica W.I.,Kingston,4,Surrey County,Jamaica,third-country,FFP,PP,,,PP - Processing Plant,,
VSDJ/FV-CAKIEL-0347,Captain Akiel,1 Port Royal Street Kingston Jamaica W.I.,Kingston,1,Surrey County,Jamaica,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
VSDJ/FV-CBRODY-0341,Captain Brody,,Kingston,1,Surrey County,Jamaica,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
VSDJ/FV-CC-0365,Captain Chad 2,"Farm District, White House Westmoreland",Whitehouse,,Cornwall County,Jamaica,third-country,FFP,ZV,,,ZV - Freezer Vessel,28/06/2023,
VSDJ/MV-CR-0330,Captain Raj,,Lionel Town,,Middlesex County,Jamaica,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
VSDJ/FV-CSEAN-01313,Captain Sean (B & D Trawling Limited),1 Port Royal Street,Kingston,1,Surrey County,Jamaica,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
VSDJ/CS&P-0014,Cole's Seafood & More,,Westmoreland,,Cornwall County,Jamaica,third-country,FFP,PP,,,PP - Processing Plant,,
VSDJ/FVAG-0325,Geronimo (B & D Trawling Limited),,Kingston,1,Surrey County,Jamaica,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
VSDJ/FV-HOPE-ON-0373,HOPETON STEPHENS,130 BLACKWOOD GARDENS ST CATHERINE,Old Harbour Bay,,Middlesex County,Jamaica,third-country,FFP,ZV,,,ZV - Freezer Vessel,09/02/2024,
VSDJ/FV-IMAN II-0351,Island Man II,"Cave District, Westmoreland",Cave,,Cornwall County,Jamaica,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
VSDJ/KC&T-0011,Knight's Commodity & Trading,"639 Watson Boulevard, Cedar Grove, Portmore, St. Catherine.",Portmore,1,Middlesex County,Jamaica,third-country,FFP,PP,,,PP - Processing Plant,29/07/2022,
VSDJ/LK-040,Lady Kim (Seafood Incorporated Limited),,Lionel Town,,Middlesex County,Jamaica,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
VSDJ/FV-LR-0338,Lady Reef,,Whitehouse,,Cornwall County,Jamaica,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
VSDJ/LS-0180,Lone Star (Forrest Seafood Establishment),Treasure Beach P.O.,Treasure Beach,14,Cornwall County,Jamaica,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
VSDJ/FV-ZAFIRO-0386,MV Zafiro (B & D Trawling Limited),1 Port Royal Street Kingston,Kingston,1,Surrey County,Jamaica,third-country,FFP,ZV,,,ZV - Freezer Vessel,23/03/2026,
VSDJ/MF-0350,Mavis Ferne,Seaview District Southfield P.O. Saint Elizabeth jamaica W.I.,Southfield,14,Cornwall County,Jamaica,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
VSDJ/FV-MISSJ-0357,Miss Jamaica,"25 Coconut Way, Freeport",Montego Bay,33068,Cornwall County,Jamaica,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
VSDJ/FV-MRZ-0342,Miss Rez,,Yallahs,1,Surrey County,Jamaica,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
