approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
2025085,"AJINO KAKUNOYA CO.,LTD.","92, Mishimashita, shirogane-machi",Hachinohe,0310841,"Aomori,Tohoku",Japan,third-country,FFP,PP,,,PP - Processing Plant,02/04/2025,
2018019,"ANA CATERING SERVICE CO., LTD. KAWASAKI FACTORY","3-26-1 ANA Kawasaki Catering Building, Tonomachi, Kawasaki-Ku",Kawasaki,1000002,"Kanagawa Prefecture,Kanto",Japan,third-country,FFP,PP,,,PP - Processing Plant,,
2019033,"ANA CATERING SERVICE CO.,LTD. NARITA FACTORY",68 Horinouchi,Narita,1000002,"Chiba Prefecture,Kanto",Japan,third-country,FFP,PP,,,PP - Processing Plant,,
KG1-323,ASAHI MARU NO.8,"126, Origuchi-cho",Makurazaki,,"Kagoshima Prefecture,Kyushu Region; 9189067	30/10/2024",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
KG1-358,ASAHI MARU No.11,126 Origuchi-cho,Makurazaki,,"Kagoshima Prefecture,Kyushu Region; 9816438	14/01/2024",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
2023073,"Ahjikan Co.,Ltd. Tosu factory",6-4 Fujinokimachi,Tosu,8400032,"Saga Prefecture,Kyushu Region",Japan,third-country,FFP,PP,,,PP - Processing Plant,18/12/2023,
4656001,Azuma-Cho Gyogyo Kyodo Kumiai Marine Products Processing Factory,"1229 Syoura, Azuma-Cho",Izumi,,"Kagoshima Prefecture,Kyushu Region",Japan,third-country,FFP,PP,,,PP - Processing Plant,,
3370001,"Bizen Chemical Co.,Ltd.",363 Tokutomi,Akaiwa-Shi,,"Okayama Prefecture,Chugoku Region",Japan,third-country,FFP,PP,,,PP - Processing Plant,,
KO1-1008,CHOKYU MARU NO.88 (YUGEN KAISHA CHOKYU),,Kochi,7800032,"Kochi Prefecture,Shikoku Region",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
KO1-830,CHOKYU MARU No.7,KOCHI-SHI,Kochi,7800032,"Kochi Prefecture,Shikoku Region; 9053476	02/11/2022",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ME1-969,CHOKYU MARU No.87 (CHOKYU SUISAN Co. LTD),,Owase,5193696,"Mie Prefecture,Kinki Region",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
KO1-865,CHOKYU Maru No.8,"2-603, 3 BAN, 2 CHO-ME, MINAMI HARIMAYA-CHO,",KOCHI-SHI,7800833,"Kochi Prefecture,Shikoku Region; 9141170	07/10/2025",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
2704001,Central Cold Storage Ltd. N° 5 Factory,,Konohana,,"Osaka Prefecture,Kinki Region",Japan,third-country,FFP,PP,,,PP - Processing Plant,,
ME1-959,"Chokyu Maru No.1 (Chokyumaru Co., Ltd)",,Owase,5193696,"Mie Prefecture,Kinki Region",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
KO1-856,Chokyu Maru No.68,,Kochi,7800032,"Kochi Prefecture,Shikoku Region",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ME1-871,Chokyumaru 11 (K.K. Chokyumaru),,Owase,5193696,"Mie Prefecture,Kinki Region",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ME1-865,"Chokyumaru 12 (Chokyumaru Co., Ltd.))",,Owase,5193696,"Mie Prefecture,Kinki Region",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ME1-812,"Chokyumaru 21 (Chokyumaru Co.,Ltd)",,Owase,5193696,"Mie Prefecture,Kinki Region",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ME1-841,"Chokyumaru 35 (Chokyumaru Co., Ltd)",,Owase,5193696,"Mie Prefecture,Kinki Region",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
2025094,"Co., Ltd WADAKYU Honsha factory",1-18-1 Kitasuna,Koutou-ku,1360073,"Tokyo,Kanto",Japan,third-country,FFP,PP,,,PP - Processing Plant,27/10/2025,
0193004,"Co., Ltd. Marutaka Takadasyouten",,Esashi,,"Esashi,Soya Subprefecture,Hokkaidō Prefecture,Hokkaidō Region",Japan,third-country,FFP,PP,,,PP - Processing Plant,,
2017016,"DAIEI FOODS CO., LTD. CHIBA KATORI FACTORY",2170-1 Omigawa,Katori,2890392,"Chiba Prefecture,Kanto",Japan,third-country,FFP,PP,,,PP - Processing Plant,17/01/2025,
2018020,"DAIKYOKENKO Co., Ltd. Higashikagawa Tsubasa Caviar Center",1850-2 Hiketa,HIGASHIKAGAWA-shi,,"Kagawa Prefecture,Shikoku Region",Japan,third-country,FFP,PP,,,PP - Processing Plant,,
2015002,DAINICHI Corporation Kainan Seafood Center,,Kainan,6428501,"Wakayama Prefecture,Kinki Region",Japan,third-country,FFP,PP,,,PP - Processing Plant,,
MG1-1955,"Daikichi Maru No.5 (Maruyo Gyogyobu Co., Ltd)",-,Shiogama,9814375,"Miyagi Prefecture,Tohoku",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
TK1-1336,"Daitomaru 8 (Taiyo A&F Co.,Ltd)",,Chuo,1030001,"Tokyo,Kanto",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
0188009,"Dohwa Syokuhin Co., Ltd. Factory No. 2","Kita-6, Higashi-2-4-1",Abashiri,0930044,"Okhotsk Subprefecture,Hokkaidō Prefecture,Hokkaidō Region",Japan,third-country,FFP,PP,,,PP - Processing Plant,,
0188006,"Dohwa Syokuhin Co.,Ltd.",,Abashiri,0930044,"Okhotsk Subprefecture,Hokkaidō Prefecture,Hokkaidō Region",Japan,third-country,FFP,PP,,,PP - Processing Plant,,
SO1-1192,Eiseimaru (Kabushiki Kaisha Eiseimaru),,Numazu-Shi,,"Shizuoka Prefecture,Chubu Region",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
2021055,"Endeavor Co.,Ltd Fukuoka cold storage","105-2, Aoyagi-machi, Koga-city",Fukuoka,8120013,"Fukuoka Prefecture,Kyushu Region",Japan,third-country,FFP,CS,,,CS - Cold Stores,05/04/2022,
0193003,Esashi Fisheries Cooperative Association Foodprocessing Factory,,Esashi,,"Esashi,Soya Subprefecture,Hokkaidō Prefecture,Hokkaidō Region",Japan,third-country,FFP,PP,,,PP - Processing Plant,,
2023066,"Esdei Hachikan Co.,Ltd",Kita-Hakusandai 2-4-28,Hachinohe,0310841,"Aomori,Tohoku",Japan,third-country,FFP,PP,,,PP - Processing Plant,05/07/2023,
KG1-978,FUKUEI MARU NO.78,141 MOTOHAMA-CHO,Ichikikushikino,,"Kagoshima Prefecture,Kyushu Region; 1061790	11/06/2026",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
KG1-58,FUKUEI MARU No.58,126 MOTOHAMA-CHO,Ichikikushikino,,"Kagoshima Prefecture,Kyushu Region; 9721803	11/01/2024",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
SO1-1800,FUKUICHI MARU No. 81,"5-9-25, NAKAMINATO",Yaizu-shi,,"Shizuoka Prefecture,Chubu Region; 9960071	23/10/2023",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
SO1-1375,FUKUICHI MARU No.88,,Yaizu,4412601,"Shizuoka Prefecture,Chubu Region",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
SO1-1777,FUKUKYU MARU No.7,Yaizu-shi,Yaizu,4412601,"Shizuoka Prefecture,Chubu Region; 9951202	04/12/2022",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
SO1-1888,FUKUKYU MARU No.88,,Yaizu-shi,,"Shizuoka Prefecture,Chubu Region",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
SO1-1821,FUKURYU MARU NO.21,"1-12-5, Honmachi",Yaizu-shi,,"Shizuoka Prefecture,Chubu Region; 9987548	24/07/2025",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
2020044,"FUKUSHIMA KATSUO CO.,LTD. KYOTO Nantan Plant","40 Kitazawa, Yagi-cho Tamanoi",Nantan,6691518,"Kyoto Prefecture,Kinki Region",Japan,third-country,FFP,PP,,,PP - Processing Plant,25/08/2022,
MG1-1938,"FUKUTOKU-MARU No.38 (FUKUTOKU GYOGYO Co.,Ltd)",,Kesennuma,9880016,"Miyagi Prefecture,Tohoku",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
MG1-2066,"FUKUTOKU-MARU No.88 (FUKUTOKU GYOGYO Co.,Ltd)",,Kesennuma,9880016,"Miyagi Prefecture,Tohoku",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
MG1-2118,FUKUYO MARU No.5,MIYAGI-Ken,Kesennuma,9880016,"Miyagi Prefecture,Tohoku; 9918389	26/07/2022",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
2016009,"Fukuichi Fishery Co., Ltd. Fukuichi Nishijima Cold Storage",254-8 Nishijima,Yaizu-shi,,"Shizuoka Prefecture,Chubu Region",Japan,third-country,FFP,PP,,,PP - Processing Plant,,
2018021,"Fukuichi Fishery Co., Ltd. Fukuichi-Ohigawa Cold Storage","1655-1,Fujimori",Yaizu,4412601,"Shizuoka Prefecture,Chubu Region",Japan,third-country,FFP,CS,,,CS - Cold Stores,,
2025099,"Fukuichi Fishery Co., Ltd. Fukuichi-Oigawa Cold Storage(manufacturing)","1665-1, Fujimori",Yaizu-shi,,"Shizuoka Prefecture,Chubu Region",Japan,third-country,FFP,PP,,,PP - Processing Plant,06/02/2026,
SO1-1145,"Fukuichimaru 123 (Fukuichi Gyogyo Co., Ltd)",,Yaizu-shi,,"Shizuoka Prefecture,Chubu Region",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
SO1-1180,"Fukuichimaru 128 (Fukuichi Gyogyo Co., Ltd/Taijin Gyogyo Co., Ltd)",,Yaizu-shi,,"Shizuoka Prefecture,Chubu Region",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
SO1-1252,"Fukuichimaru 83 (Taijin Gyogyo Co.,Ltd)",,Yaizu-shi,,"Shizuoka Prefecture,Chubu Region",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
MG1-1970,"Fukuyoshi Maru No.68 (Taiyo A&F Co., Ltd)",,Shiogama,9814375,"Miyagi Prefecture,Tohoku",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
NS1-1159,GENPUKUMARU NO.81,,Nagasaki,8694803,"Nagasaki Prefecture,Kyushu Region; 9902366",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
TK1-1426,GENTA MARU,"8TH FLOOR NMF SHIBAKOEN BLDG., NO.5-5, SHIBA 3-CHOME, MINATO-KU",Tokyo,1020071,"Tokyo,Kanto; 9620384	10/06/2025",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
KO1-1078,GOEI MARU NO.78 (KABUSHIKI KAISHA GOEIMARU),,Muroto,,"Kochi Prefecture,Shikoku Region",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
KO1-1089,GOEI MARU NO.88,8-13-1 Ginza,Chuo-ku,1030007,"Tokyo,Kanto; 1106576	15/12/2025",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
NS1-1119,Genpukumaru No.18,,Nagasaki,8500851,"Nagasaki Prefecture,Kyushu Region",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
KO1-851,Goei Maru No.8,-,Muroto,,"Kochi Prefecture,Shikoku Region",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
TK1-1402,Gouta Maru (Toei Reefer Line Ltd),,Minato,,"Osaka Prefecture,Kinki Region",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
2026107,"H.M Supply Co., Ltd. Cold Storage Department",3-3050 Haraicho,Hamada,6971321,"Shimane Prefecture,Chugoku Region",Japan,third-country,FFP,CS,,,CS - Cold Stores,13/08/2026,
2026103,"HEIAN KAISAN CO.,LTD",3338-26 USHIBUKA-MACHI,Amakusa-Shi,,"Kumamoto Prefecture,Kyushu Region",Japan,third-country,FFP,PP,,,PP - Processing Plant,02/06/2026,
2019028,"HIDECHO SUISAN Co., Ltd SEA FOODS CENTER",2-318-240 Tsukijicho,Uwajima,,"Ehime Prefecture,Shikoku Region",Japan,third-country,FFP,PP,,,PP - Processing Plant,25/11/2024,
2020034,HIRAMATSU SEAFOODS CO. LTD. MITO Factory,"3-1-27 Sawakihama, Mito-cho",Toyokawa,4410101,"Aichi Prefecture,Chubu Region",Japan,third-country,FFP,PP,,,PP - Processing Plant,,
0192005,HOKUSHO FISHERY INC.,"51, Naniwa, Saroma-cho",Tokoro,,Hokkaidō Region,Japan,third-country,FFP,PP,,,PP - Processing Plant,,
TY1-210,HOSHIN MARU No.35,370 Ashizaki,SHIMONIIKAWA,,"Toyama Prefecture,Chubu Region; 9659050	25/01/2024",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
MG1-2077,Hakkomaru 35 (Hakko Gyogyo Co. Ltd),,Ishinomaki,0294503,"Miyagi Prefecture,Tohoku",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
MG1-2008,"Halkko Maru No.2 (Hakko Gyogyo Co.,Ltd)",,Ishinomaki,0294503,"Miyagi Prefecture,Tohoku",Japan,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
2018023,"Hashiguchi Aquaculture Co., Ltd. Fishery Processing Factory",2-10-21 Kyodomari,Nagasaki,8500851,"Nagasaki Prefecture,Kyushu Region",Japan,third-country,FFP,PP,,,PP - Processing Plant,,
2020038,"Head Office Plant Of MAEDA KAISAN CO.,LTD",4-13-33 Hikoshima Nishiyama,Shimonoseki,7500000,"Yamaguchi Prefecture,Chugoku Region",Japan,third-country,FFP,PP,,,PP - Processing Plant,,
