approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
4826,States of Jersey Abattoir,La Collette St Helier Jersey JE2 3NX,St Helier,JE2,Parish of Saint Helier,Jersey,third-country,ABP-SH,,,,CAT3 - Category 3,,
JY 001 FE,Aqua-Mar Fisheries,"Unit 8 Fish Processing Warehouse Victoria Pier St. Helier, JE2 3WS",St Helier,JE2,Parish of Saint Helier,Jersey,third-country,FFP,PP,,,PP - Processing Plant,,
JY 013 FE,Captain Lobster,Fleur des Champs La Rue de St. Clement St Peter JE3 7AJ Jersey,Grouville,JE3,Parish of Grouville,Jersey,third-country,FFP,PP,,,PP - Processing Plant,,
JY 027,Crabs Direct,40 Sydney Crill Park La Grande Route de la Cote St Clement JE2 6SY,St Clement,JE2,Parish of St Clement,Jersey,third-country,FFP,PP,,,PP - Processing Plant,,
JY 002 FE,F Battrick & Sons Ltd,Unit V12A Victoria Pier Saint Helier JE2 3NB,St Helier,JE2,Parish of Saint Helier,Jersey,third-country,FFP,PP,,,PP - Processing Plant,,
JY 005 FE,Faulkner Fisheries Ltd,"Les Viviers De L'Etacq St. Ouen, Jersey, JE3 2EF",Grouville,JE3,Parish of Grouville,Jersey,third-country,FFP,PP,,,PP - Processing Plant,,
JY 012 FV,Heritage Fisheries Limited,"Chanson De La Mer,, La Rue de la Falaise",Trinity,JE3,Parish of Trinity,Jersey,third-country,FFP,PP,,,PP - Processing Plant,04/11/2024,
JY 020,Ian Syvret Fisheries,Alma Villa La Rue de l'Eglise St John JE3 4BA Jersey,Grouville,JE3,Parish of Grouville,Jersey,third-country,FFP,PP,,,PP - Processing Plant,,
JY 029,JERSEY SEAFOOD FISHING AND PROCESSING LTD,"The Pastures, La Rue De La Prairie, St Mary, Jersey, JE3 3EH",St-Ouen,JE3,Parrish of St-Ouen,Jersey,third-country,FFP,PP,,,PP - Processing Plant,10/06/2024,
JY 025,K.S Fisheries,31 Kensington Court Kensington Place St Helier JE2 3PA,St Helier,JE2,Parish of Saint Helier,Jersey,third-country,FFP,PP,,,PP - Processing Plant,,
JY 019 FV,Provider Fisheries,"6 Grasett Park Estate St Saviour, Jersey JE2 7PQ",Parish of Saint Saviour,,Parish of Saint Saviour,Jersey,third-country,FFP,FV PP,,,FV - Factory Vessel | PP - Processing Plant,,
JY 018 FE,Provider Fisheries,"6 Grasett Park Estate St Saviour, Jersey JE2 7PQ",Parish of Saint Saviour,,Parish of Saint Saviour,Jersey,third-country,FFP,PP,,,PP - Processing Plant,,
JY 015 FV,Rock Fisheries Ltd,Les Tournesol La Rue de la Mare Ballam St John JE3 4EJ,Trinity,JE3,Parish of Trinity,Jersey,third-country,FFP,PP,,,PP - Processing Plant,,
JY028,Southern Rocks Fisheries Limited,Albert Pier St Helier JE2 3NE St Clement Jersey JE2 6SB,St Helier,JE2,Parish of Saint Helier,Jersey,third-country,FFP,PP,,,PP - Processing Plant,,
JY 009 FE,The Fresh Fish Company Ltd,"Unit 5 Fish Processing Warehouse Victoria Pier St Helier, Jersey JE2 3NB",St Helier,JE2,Parish of Saint Helier,Jersey,third-country,FFP,PP,,,PP - Processing Plant,,
JY 008 FE,Wheelhouse Ltd,"The Glades La Rue de la Prairie St Helier, Jersey JE3 3EH",Grouville,JE3,Parish of Grouville,Jersey,third-country,FFP,CS PP,,,CS - Cold Stores | PP - Processing Plant,,
4826,States of Jersey Abattoir,La Collette St Helier Jersey JE2 3NX,St Helier,JE2,Parish of Saint Helier,Jersey,third-country,RM,SH,Y,,SH - Slaughterhouse,,
