approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
KZ B.06/G2-0017/E,"""Company ""Zhenis 2006"" LLP",Zhambyl district,Ulken Malyshka,,"Кызылжарский район,North Kazakhstan Region",Kazakhstan,third-country,FFP,PP,,,PP - Processing Plant,,
KZ E.04-01/G2-0154/E,'Abylai-Khan' Ltd,,Atyrau,060005,"Атырау Г.А.,Atyrau Region",Kazakhstan,third-country,FFP,PP,,,PP - Processing Plant,,
KZ H.06/G2-1309,'Company Myn-Aral' Ltd,,Mynaral,,"Zhambyl District,North Kazakhstan Region",Kazakhstan,third-country,FFP,PP,,,PP - Processing Plant,,
KZ B.08/G2-0107/E,ALFISH LLP,"Building 2, blok.630, Enbekshi village, Karasai district, Almaty region",Almaty,050007,Almaty,Kazakhstan,third-country,FFP,PP,,,PP - Processing Plant,03/09/2025,
KZN.01/G2-1375/E,Agrofish 2020; LLP,S.Suleimenov str.1G,Aral'Sk,,Kyzylorda Region,Kazakhstan,third-country,FFP,PP,,,PP - Processing Plant,18/11/2024,
KZF16/G2-0501/E,"Branch Of LLP ""Rybprom"" In Ust-Kamenogorsk",Str. Gluhenko 1,Samarskoe,,"Кокпектинский район,East Kazakhstan Region",Kazakhstan,third-country,FFP,PP,,,PP - Processing Plant,,
KZ F.16/G2-5279/E,DIGAM LLP,Glukhenko street 1/1,Samarskoe,,"Кокпектинский район,East Kazakhstan Region",Kazakhstan,third-country,FFP,PP,,,PP - Processing Plant,27/11/2025,
KZ B.17/G2-0004/E,Fillet And Crayfish Factory Of LLP Rybprom,18 Seyfullin St,Kapchagay,040800,"Капчагай Г.А.,Almaty Region",Kazakhstan,third-country,FFP,PP,,,PP - Processing Plant,,
01 B,Filleting factory of JSC Balkhashbalyk,,Karaganda,100009,"Караганда Г.А.,Karaganda Region",Kazakhstan,third-country,FFP,PP,,,PP - Processing Plant,,
KZ X.12/G2-0020/E,Khamit APC,50 Turisbekov St,Shardara town,,Ongtustik Qazaqstan,Kazakhstan,third-country,FFP,PP,,,PP - Processing Plant,,
KZ E.01/G2-0151/E,"LLP ""Name Amangeldy""",23 Zhalmuhana St,Damba,,Atyrau Region,Kazakhstan,third-country,FFP,PP,,,PP - Processing Plant,,
KZ A.07/G2-0001/E,"LLP ""Teploinvest""",Bekmakhanova 99,Almaty,050030,Almaty,Kazakhstan,third-country,FFP,PP,,,PP - Processing Plant,04/06/2025,
KZ No.02/G2-0173/E,LLP 'SPK Kyzylorda Balyk',,Aiteke Bi,,Kyzylorda Region,Kazakhstan,third-country,FFP,PP,,,PP - Processing Plant,,
03 AA,LLP Bolashak Bastau,,Usharal,,"Alakol District,Almaty Region",Kazakhstan,third-country,FFP,PP,,,PP - Processing Plant,,
KZ N.01/G2-1622/E,LLP KARASHALAN BALYK,"ARAL DISTRICT, BAKTYBAI BATYR 166",Kyzylorda,120000,"Кызылорда Г.А.,Kyzylorda Region",Kazakhstan,third-country,FFP,PP,,,PP - Processing Plant,19/02/2026,
06 AA,LLP Karatal Balyk,,Ushtobe,,"Каратальский район,Almaty Region",Kazakhstan,third-country,FFP,PP,,,PP - Processing Plant,,
KZ N.01/G2-0249/E,LLP Service-procurement Center Aral,1 Krasnoarmeyskaya St,Aral,,Kyzylorda Region,Kazakhstan,third-country,FFP,PP,,,PP - Processing Plant,,
KZ F.17/G2-0511/E,LLP Tore Togam,,Kurchum,,Shyghys Qazaqstan,Kazakhstan,third-country,FFP,PP,,,PP - Processing Plant,,
05AA,LLP Ulken Balyk,,Ulken Malyshka,,"Кызылжарский район,North Kazakhstan Region",Kazakhstan,third-country,FFP,PP,,,PP - Processing Plant,,
KZ F.13/G2-5456/E,LLP Zaisan-Balyq,"Republic of Kazakhstan, East Kazakhstan region, Zaisan district, Karabulak rural district, village of Karabulak, Mazbayev Seitkamza str., house 1",Zaisan,,Shyghys Qazaqstan,Kazakhstan,third-country,FFP,PP,,,PP - Processing Plant,21/01/2025,
KZ B.06/G2-0058,LLP «Abilkhayir»,"RK, Almaty region, Zhambyl district, Ulken village, d 20",Uzunagach,040600,"Жамбылский район,Almaty Region",Kazakhstan,third-country,FFP,PP,,,PP - Processing Plant,31/05/2024,
KZX.12/G2-0134/E,LLP «Shardara-Balyk-1»,R. Temirbekov street №89,Shardara,161400,"Шардаринский район,South Kazakhstan Region",Kazakhstan,third-country,FFP,PP,,,PP - Processing Plant,23/06/2023,
KZ N.02/G2-0506/E,"SP ""Iglikov T""",Str. R. Baglanova 211,Aiteke Bi,,Kyzylorda Region,Kazakhstan,third-country,FFP,PP,,,PP - Processing Plant,,
KZ X. 12/G2-1042/E,"SP ""Zhalgasbayev Talgat Serikbayevich""",Baiterek Street No. 7,Shardara town,,Ongtustik Qazaqstan,Kazakhstan,third-country,FFP,PP,,,PP - Processing Plant,,
