approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
41/LB/KEN,Brinkley Ltd,SHIMANZI Street,Mombasa,80100,Mombasa,Kenya,third-country,FFP,PP,,,PP - Processing Plant,,
38/LA/KEN,Ceer Processing Ltd.,Box 52666-00100,Nairobi,,Nairobi,Kenya,third-country,FFP,PP,,,PP - Processing Plant,,
21/LB/KEN,Crustacean Processors Ltd,P.O. Box 42507,Mombasa,80100,Mombasa,Kenya,third-country,FFP,PP,,,PP - Processing Plant,,
70/LC/KEN,DAS Group Kenya Limited,P.O. Box 225536 - 00100,Nairobi,00100,Nairobi,Kenya,third-country,FFP,PP,,,PP - Processing Plant,14/02/2024,
35/LB/KEN,DIAMOND SEAFOOD (K) LTD.,,Mombasa,80100,Mombasa,Kenya,third-country,FFP,PP,,,PP - Processing Plant,,
78/LB/KEN,East African Sea Food Ltd - Miritini,P.O Box 40268,Mombasa,80100,Mombasa,Kenya,third-country,FFP,PP,,,PP - Processing Plant,04/08/2023,
03/LC/KEN,East African Sea Food Ltd.,P.O. Box 2354-40100,Kisumu,40100,Kisumu,Kenya,third-country,FFP,PP,,,PP - Processing Plant,,
12/WB/KEN,F.V Alpha Manyara,Mbaraki Wharf,Mombasa,80100,Mombasa,Kenya,third-country,FFP,FV,,,FV - Factory Vessel,,
13/WB/KEN,F.V Alpha Serengeti,P.O. Box 40268,Mombasa,80100,Mombasa; 8807521	04/08/2023,Kenya,third-country,FFP,FV,,,FV - Factory Vessel,,
69/WB/KEN,F.V Ocean Eagle,P.O. Box 40297,Nairobi,00100,Nairobi; 8714059	04/08/2023,Kenya,third-country,FFP,FV,,,FV - Factory Vessel,,
77/WB/KEN,F.V Ocean Sniper,P.O. Box 40297,Nairobi,00100,Nairobi; 8714138	04/08/2023,Kenya,third-country,FFP,FV,,,FV - Factory Vessel,,
82/WB/KEN,F.V. Sea Mfalme,P.O. Box 63485 - 00619,Nairobi,00619,Nairobi; 8805298	23/04/2024,Kenya,third-country,FFP,FV,,,FV - Factory Vessel,,
91/WB/KEN,FV Tijara,P.O. Box 64335,Nairobi,,Nairobi; 8915005	24/10/2025,Kenya,third-country,FFP,FV,,,FV - Factory Vessel,,
44/LB/KEN,Huawen Food (Kenya) EPZ Ltd,,Mombasa,80100,Mombasa,Kenya,third-country,FFP,PP,,,PP - Processing Plant,,
32/LG/KEN,Kendag Ltd.,"P.O. Box17, Sindo Road, Koguna",Mbita,,Homa Bay,Kenya,third-country,FFP,PP,,,PP - Processing Plant,,
29/WB/KEN,M. V. VEGA,,Mombasa,80100,Mombasa,Kenya,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
40/WB/KEN,M.V. Alpha Challenger,"C/o East African Sea Foods Ltd, P.O. box 40268-80100 MOMBASA",Mombasa,80100,Mombasa,Kenya,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
36/WB/KEN,M.V. Jackpot (C/O East African Seafood Ltd.),,Mombasa,80100,Mombasa,Kenya,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
22/WB/KEN,MV Roberto,c/o Ittica Ltd P.O. Box 89382 Mombasa,Mombasa,80100,Mombasa,Kenya,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
19/LB/KEN,Sea Harvest (K) Ltd,P.O. Box 2175-80100,Mombasa,80100,Mombasa,Kenya,third-country,FFP,PP,,,PP - Processing Plant,,
47/LA/KEN,Simplelife Processing And Services Limited,,Nairobi,,Nairobi,Kenya,third-country,FFP,PP,,,PP - Processing Plant,,
10/LB/KEN,Transafrica Fisheries Ltd,P.O. Box 80492-80100,Mombasa,80100,Mombasa,Kenya,third-country,FFP,PP,,,PP - Processing Plant,,
