approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
KI-ESV09,Kibena 2,C/0 KFL Betio Wharf,South Tarawa,,South Tarawa; 9959682	21/08/2023,Kiribati,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
KI-ESV13,Kibena 3,Betio Wharf,South Tarawa,,South Tarawa; 9223710	21/08/2023,Kiribati,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
KI-ESV30,Kibena 6,"Betio Wharf, Tarawa, Kiribati",South Tarawa,,South Tarawa; 1024168	22/06/2026,Kiribati,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
KI-ESV29,Kibena 7 Freezer Vessel,"Betio Wharf, Tarawa, Kiribati",South Tarawa,,South Tarawa; 1024170	22/06/2026,Kiribati,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
KIR-KFL-EU-01,Kiribati Fish Limited,"Betio Wharf, Tarawa",Betio,,Betio,Kiribati,third-country,FFP,PP,,,PP - Processing Plant,,
KI-ESV08,Kiribati Tuna Fishing Company Limited,"C/o KFL Betio, Wharf",South Tarawa,,South Tarawa; 9934424	21/08/2023,Kiribati,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
KI-ESV22,Maribo 61,"Betio, South Tarawa, Kiribati",South Tarawa,,South Tarawa; 1071123	06/08/2025,Kiribati,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
KI-EV23,Maribo 62,"Betio, South Tarawa, Kiribati",South Tarawa,,South Tarawa; 1071135	04/08/2025,Kiribati,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
KI-ESV27,Maribo 63,"Betio Wharf, Tarawa, Kiribati",South Tarawa,,South Tarawa; 1126198	22/06/2026,Kiribati,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
Ki-ESV28,Maribo 65 Freezer Vessel,"Betio Wharf, Tarawa, Kiribati",South Tarawa,,South Tarawa; 1126203	22/06/2026,Kiribati,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
KIR-ZV-MKN-EU-02,Moakona (Kirikore Fisheries Company Limited),Kiribati,Bairiki,,South Tarawa,Kiribati,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
KIR-ZV-MMI-EU-04,Moamari (Kirikore Fisheries Company Limited),Kiribati,Bairiki,,South Tarawa,Kiribati,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
KI-ISV10,Temanim 01 (Kiritimati Island Fish Limited),"Ambo, Tarawa",South Tarawa,,South Tarawa; 9963176	05/02/2024,Kiribati,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
KI-ISV11,Temanim 02 (Kiritimati Island Fish Limited),Ambo Tarawa,South Tarawa,,South Tarawa; 9963188	05/02/2024,Kiribati,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
KI-ESV31,Yunrun 3 Freezer Vessel,"Betio Wharf, Tarawa, Kiribati",South Tarawa,,South Tarawa; 9161613	14/08/2026,Kiribati,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
KI-ESV25,Yunrun Freezer Vessel （Carrier）,Betio Port,South Tarawa,,South Tarawa; 9003756	15/04/2026,Kiribati,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
