approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
A007482,AIBI SIA,"Kleivēni, Inešu pagasts, Cēsu novads, LV-4123",Inešu pag.,LV-4123,"Cēsu novads,Vidzeme",Latvia,RM,SH,Y,,SH - Slaughterhouse,,
023248,Ancers SIA,"Bunči, Salaspils pag., Salaspils nov.",Riga,LV-2118,"Riga,Vidzeme",Latvia,RM,SH,Y,porcine,SH - Slaughterhouse,,
A050394,BIAMEAT SIA,"""Viesuļi"", Zasas pagasts, Jēkabpils novads",Zasas pag.,LV-5221,"Jēkabpils novads,Zemgale",Latvia,RM,SH,Y,,SH - Slaughterhouse,,
060499,Baltic Chicken Produkts,"Bukaišu iela 2, Rīga",Riga,LV-1004,"Riga,Vidzeme",Latvia,RM,CP,N,,CP - Cutting Plant,,
A051810,Barritus SIA,"""Kreiļi 1"", Savišķi, Tabores pagasts, Augšdaugavas novads",Skrudalienas pagasts,LV-5465,"Augšdaugavas novads,Latgale",Latvia,RM,SH,Y,,SH - Slaughterhouse,,
A056689,Briežu dārzs Rudiņi; SIA,"“Rudiņi”, Irlavas pagasts, Tukuma nov., LV-3137",Irlava,LV-3137,"Tukuma novads,Courland",Latvia,RM,SH,Y,,SH - Slaughterhouse,,
A 009143,Cēsu gaļas kombināts SIA,"Miera iela 19, Cēsis, Cēsu novads, LV-4101",Cēsis,LV-4101,"Cēsu novads,Vidzeme",Latvia,RM,SH,Y,,SH - Slaughterhouse,,
A002029,GPU Nākotne SIA,"""Grīvas"", Nākotne, Glūdas pagasts, Jelgavas novads",Glūda,LV-3040,"Jelgavas novads,Zemgale",Latvia,RM,SH,Y,,SH - Slaughterhouse,,
A002131,"Help, SIA A002131","Pilskalne, Pilskalnes pagasts, Augšdaugavas novads",Pilskalnes pag.,LV-5447,"Augšdaugavas novads,Latgale",Latvia,RM,SH,Y,,SH - Slaughterhouse,,
A 048692,"IDZ, SIA",Sidrabi,Zaubes pag.,LV-4113,"Cēsu novads,Vidzeme",Latvia,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
050900,Irvaine,"""Tērces"", Tērvetes pag., Dobeles nov.",Tērvete,LV-3730,"Dobeles novads,Zemgale",Latvia,RM,SH,Y,bovine caprine ovine porcine,SH - Slaughterhouse,,
037327,Irvaine SIA,"Dobeles novads, Auru pagasts, ""Pogas-1"", Kroņauce",Auri,LV-3710,"Dobeles novads,Zemgale",Latvia,RM,SH,Y,porcine,SH - Slaughterhouse,,
A004504,JURO KAUTUVE,"""Stagari - Juri"", Sesavas pagasts, Jelgavas novads",Sesavas pag.,LV-3034,"Jelgavas novads,Zemgale",Latvia,RM,SH,Y,,SH - Slaughterhouse,,
005218,Kalnpierbes ZS,"Valkas novads, Ērģemes pagasts, ""Pentsils""",Ērģemes pag.,LV-4711,"Valkas novads,Vidzeme",Latvia,RM,SH,Y,bovine porcine caprine ovine equine,SH - Slaughterhouse,,
A000997,Kurzemes Gaļsaimnieks; SIA,"""Pūpoli"", Paplaka, Virgas pagasts, Dienvidkurzemes novads",Virgas pag.,LV-3433,"Dienvidkurzemes novads,Courland",Latvia,RM,SH,Y,,SH - Slaughterhouse,,
000182,LĀSES AM; SIA,"KOLUMBI, RUMBAS PAG., KULDĪGAS NOV.",Rumbas pag.,LV-3301,"Kuldīgas novads,Courland",Latvia,RM,CP SH,Y,bovine porcine equine caprine ovine,CP - Cutting Plant | SH - Slaughterhouse,,
000706,Moviandrs SIA,"Dobeles novads, Bērzes pagasts, ""Kaltes""",Bērze,LV-3732,"Dobeles novads,Zemgale",Latvia,RM,SH,Y,bovine porcine caprine ovine,SH - Slaughterhouse,,
036130,Olgass; SIA,"Mirnijs, Laucesas pagasts, Augšdaugavas novads",Laucesas pag.,LV-5461,"Augšdaugavas novads,Latgale",Latvia,RM,SH,Y,porcine,SH - Slaughterhouse,,
000483,Ošmala Z/S,"""Borovka"", Rudzātu pagasts, Līvānu novads",Rudzātu pag.,LV-5328,"Līvānu novads,Latgale",Latvia,RM,SH,Y,bovine caprine ovine porcine,SH - Slaughterhouse,,
A007642,RĒZEKNES GAĻAS KOMBINĀTS; SIA,"Rīgas iela 22, Rēzekne, LV-4601",Rēzekne,LV-4601,"Rēzekne,Latgale",Latvia,RM,SH,Y,porcine,SH - Slaughterhouse,,
090088,SBS LATVIA; SIA,"""Lankalni Plus"", Dzelda, Nīkrāces pagasts, Kuldīgas novads",Nīkrāces pag.,LV-3320,"Kuldīgas novads,Courland",Latvia,RM,SH,Y,bovine,SH - Slaughterhouse,,
041482,"SPODRA B, SIA",Liepas,Otaņķu pag.,LV-3475,"Dienvidkurzemes novads,Courland",Latvia,RM,SH,Y,,SH - Slaughterhouse,,
A008698,"Sabiedrība ar ierobežotu atbildību ""Ceplīši A.S.""","""Cepļi"",",Lēdurgas pag.,LV-4012,"Siguldas novads,Vidzeme",Latvia,RM,SH,Y,,SH - Slaughterhouse,,
A 009201,"Sabiedrība ar ierobežotu atbildību ""SENLEJAS""","Melderu iela 1, Ķeipene, Ķeipenes pag., Ogres nov.",Ķeipenes pag.,LV-5062,"Ogres novads,Zemgale",Latvia,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
001329,Skalavas,"Ogres novads, Madlienas pegasts, ""Skalavas""",Madlienas pagasts,LV-5045,"Ogres novads,Zemgale",Latvia,RM,SH,Y,bovine ovine,SH - Slaughterhouse,,
A006876,ULBROKA SIA,"DAUGUĻUPES IELA 4, ULBROKA, STOPIŅU PAG., ROPAŽU NOV.",Ulbroka,LV-2130,"Stopiņu novads,Vidzeme",Latvia,RM,SH,Y,porcine,SH - Slaughterhouse,,
056691,Valinda SIA,"Jelgavas novads, Platones pagasts, ""Čukātiņi""",Platones pag.,LV-3021,"Jelgavas novads,Zemgale",Latvia,RM,SH,Y,bovine porcine caprine ovine,SH - Slaughterhouse,,
001424,ŠĶIETNIEKI IS SIA,"Dobeles novads, Zebrenes pagasts, ""Šķietnieki""",Zebrenes pag.,LV-3731,"Dobeles novads,Zemgale",Latvia,RM,SH,Y,bovine porcine,SH - Slaughterhouse,,
