approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
MAD 219 SV,ACIPENSER,Ambatolaona,Manjakandriana,,"Analamanga,Province d’Antananarivo",Madagascar,third-country,FFP,PP,,,PP - Processing Plant,,
MAD 232 SV,AQUA BLUE SARL,Lot II SAT 086 TER Ambohimanandray-Anosiala,Ambohidratrimo,105,"Analamanga,Province d’Antananarivo; Cr Live crustaceans",Madagascar,third-country,FFP,PP,,,PP - Processing Plant,28/05/2026,
MAD 217 SV,AQUAFOOD,"PK 8, Antafiamalama",Antsiranana,201,"Diana,Antsiranana Province",Madagascar,third-country,FFP,PP,,,PP - Processing Plant,,
MAD 03-01 SV,Afroditi (Pechexport),Immeuble Pechexport Ampasika,Mahajanga,401,"Boeny,Province de Mahajanga",Madagascar,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
MAD 03-03 SV,Agios Spyridon (Pechexport),Immeuble Pechexport Ampasika,Mahajanga,401,"Boeny,Province de Mahajanga",Madagascar,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
MAD 126 SV,Aqualma,Lieu dit Mahajamba,Mahajanga,401,"Boeny,Province de Mahajanga",Madagascar,third-country,FFP,PP,,,PP - Processing Plant,,
MAD 223 SV,BLUE OCEAN LTD TOLIARA,"Lot 133DA1, Tanambao, Motombe, Andabizy",Toliara,601,"Atsimo-Andrefana,Province de Toliara",Madagascar,third-country,FFP,PP,,,PP - Processing Plant,13/06/2022,
MAD EF 16 SV,BLUEOCEAN LTD TOLIARA,"Lot 133DA1, Tanambao, Motombe, Andabizy",Toliara,569,"Atsimo-Andrefana,Province de Toliara",Madagascar,third-country,FFP,CS,,,CS - Cold Stores,13/06/2022,
MAD 07-21 SV,Baie D'Ambaro (Crustapêche),Quai Barriquand BP.450,Mahajanga,401,"Boeny,Province de Mahajanga",Madagascar,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
MAD 07-22 SV,Baie De Boina (Crustapêche),Quai Barriquand BP.450,Mahajanga,401,"Boeny,Province de Mahajanga",Madagascar,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
MAD 07-04 SV,Cap St-André (Refrigépêche Ouest),Quai Barriquand BP.450,Mahajanga,401,"Boeny,Province de Mahajanga",Madagascar,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
MAD 07-01 SV,Cap St-Augustin (Refrigépêche Ouest),Quai Barriquand BP.450,Mahajanga,401,"Boeny,Province de Mahajanga",Madagascar,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
