approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
117,ATAS GLOBEL FISHERIES SDN. BHD.,"Lot 1306, BLK 3, MTLD, 21 Bangunan Industrial Sedc KM 25, Jalan Bako 93050 Kuching Sarawak",Kuching,93050,"Kuching Division,Sarawak; 54 Products of imported EU-compliant raw material (wild catches) from EU-approved establishments of the following species: Nemipterus japonicus, Priacanthus spp., Saurida spp., Trachurus spp., Johnius spp., Sardinella spp., Epinephelus spp.; 56 Raw materials of aquaculture originating from Malaysian approved aquaculture farms; 49 Only fishery products produced of imported EU compliant raw material (wild catches &amp; aquaculture) from EU-approved establishments of the following species: prawn (Red, Pink, Sharp, Black tiger, Freshwater, Cat Tiger, Penaeus vannamei), fish (Hake, Alaska Pollock, Cod), squid (Batramii, Illex, Pacificus and Arrow); 62 Third countries using only raw material either from Member States or from other third countries approved for imports of such raw material to the Union, in accordance with Article 2.",Malaysia,third-country,FFP,PP,,,PP - Processing Plant,29/08/2025,
FV02MY,Asia Tank Tuna Sdn. Bhd.,"Jalan Bangsar, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,,Kuala Lumpur; 8535075	13/06/2023,Malaysia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
121,Asiamaju Sdn. Bhd.,"No. 1, Jalan TPP 1, Taman Perindustrian Pertama, 45400 Sekinchan, Sabak Bernam, Selangor",Sekinchan,45400,"Selangor; 49 Only fishery products produced of imported EU compliant raw material (wild catches &amp; aquaculture) from EU-approved establishments of the following species: prawn (Red, Pink, Sharp, Black tiger, Freshwater, Cat Tiger, Penaeus vannamei), fish (Hake, Alaska Pollock, Cod), squid (Batramii, Illex, Pacificus and Arrow)",Malaysia,third-country,FFP,PP,,,PP - Processing Plant,06/05/2026,
102,Blue Archipelago Berhad,"Kedah Aquaculture Complex, 06150 Ayer Hitam, Kedah, Malaysia",Ayer Hitam,06150,Kedah; 56 Raw materials of aquaculture originating from Malaysian approved aquaculture farms,Malaysia,third-country,FFP,PP,,,PP - Processing Plant,06/05/2026,
115,Delisauce World Foods Sdn. Bhd.,"PLO 105 Jalan Cyber 5 Kawasan Perindustrian Senai 3 81400 Senai, Kulai Jaya",Kulai,,"Johor; 62 Third countries using only raw material either from Member States or from other third countries approved for imports of such raw material to the Union, in accordance with Article 2.",Malaysia,third-country,FFP,PP,,,PP - Processing Plant,29/08/2025,
114,EB FROZEN FOOD SDN. BHD.,"No. 10, Jalan Hi-Tech 14 Kulim Hi-Tech Park (Fasa IV) 09090 Kulim Kedah",Kulim,09000,"Kedah; 54 Products of imported EU-compliant raw material (wild catches) from EU-approved establishments of the following species: Nemipterus japonicus, Priacanthus spp., Saurida spp., Trachurus spp., Johnius spp., Sardinella spp., Epinephelus spp.; 49 Only fishery products produced of imported EU compliant raw material (wild catches &amp; aquaculture) from EU-approved establishments of the following species: prawn (Red, Pink, Sharp, Black tiger, Freshwater, Cat Tiger, Penaeus vannamei), fish (Hake, Alaska Pollock, Cod), squid (Batramii, Illex, Pacificus and Arrow)",Malaysia,third-country,FFP,PP,,,PP - Processing Plant,14/07/2023,
113,EMPEROR MARINE MARKETING SDN. BHD.,Lot 15591 (Plot P3) Jalan Pelabuhan 11 Kawasan Perusahaan Kampung Acheh,Seri Manjung,32000,"Perak; 56 Raw materials of aquaculture originating from Malaysian approved aquaculture farms; 49 Only fishery products produced of imported EU compliant raw material (wild catches &amp; aquaculture) from EU-approved establishments of the following species: prawn (Red, Pink, Sharp, Black tiger, Freshwater, Cat Tiger, Penaeus vannamei), fish (Hake, Alaska Pollock, Cod), squid (Batramii, Illex, Pacificus and Arrow)",Malaysia,third-country,FFP,PP,,,PP - Processing Plant,14/07/2023,
120,FUSIPIM SDN. BHD.,"Lot 9224, Batu 4 1/2, Panchang Bedena 45300 Sungai Besar Sabak Bernam Selangor",Sungai Besar,45300,"Selangor; 62 Third countries using only raw material either from Member States or from other third countries approved for imports of such raw material to the Union, in accordance with Article 2.",Malaysia,third-country,FFP,PP,,,PP - Processing Plant,29/08/2025,
103,Fantastic Seafood Industries Sdn. Bhd.,"Lot 1744, Batu 13, Jalan Pantai, 34350 Kuala Kurau, Perak",Kuala Kurau,34350,Perak; 56 Raw materials of aquaculture originating from Malaysian approved aquaculture farms,Malaysia,third-country,FFP,PP,,,PP - Processing Plant,,
111,Freecap Resource Sdn. Bhd.,"Lot T-5 Lumut Port Industrial Park, Kampung Acheh Mukim Lumut, Manjung",Sitiawan,32000,"Perak; 54 Products of imported EU-compliant raw material (wild catches) from EU-approved establishments of the following species: Nemipterus japonicus, Priacanthus spp., Saurida spp., Trachurus spp., Johnius spp., Sardinella spp., Epinephelus spp.; 56 Raw materials of aquaculture originating from Malaysian approved aquaculture farms; 49 Only fishery products produced of imported EU compliant raw material (wild catches &amp; aquaculture) from EU-approved establishments of the following species: prawn (Red, Pink, Sharp, Black tiger, Freshwater, Cat Tiger, Penaeus vannamei), fish (Hake, Alaska Pollock, Cod), squid (Batramii, Illex, Pacificus and Arrow); 62 Third countries using only raw material either from Member States or from other third countries approved for imports of such raw material to the Union, in accordance with Article 2.",Malaysia,third-country,FFP,PP,,,PP - Processing Plant,26/09/2022,
93,GST Marine Products Sdn. Bhd.,"No 9, Lorong Iks Simpang D, MK 15, Kawasan Indutri Simpang Ampat, 14100, Penang",Seberang Perai Selatan,,Penang,Malaysia,third-country,FFP,PP,,,PP - Processing Plant,23/06/2026,
50,Golden Fresh Sdn. Bhd.,"4572 Jalan Chain Ferry, 12100",Butterworth,,"Province Wellesley,Penang",Malaysia,third-country,FFP,PP,,,PP - Processing Plant,,
118,HONG CHENG SEAFOOD SUPPLIES SDN. BHD.,LOT 7297 JALAN PERUSAHAAN 2 KAWASAN PERINDUSTRIAN PARIT BUNTAR 34200 PARIT BUNTAR PERAK,Parit Buntar,14300,"Perak; 49 Only fishery products produced of imported EU compliant raw material (wild catches &amp; aquaculture) from EU-approved establishments of the following species: prawn (Red, Pink, Sharp, Black tiger, Freshwater, Cat Tiger, Penaeus vannamei), fish (Hake, Alaska Pollock, Cod), squid (Batramii, Illex, Pacificus and Arrow); 56 Raw materials of aquaculture originating from Malaysian approved aquaculture farms",Malaysia,third-country,FFP,PP,,,PP - Processing Plant,20/08/2025,
108,Ha Li Fa Manufacturing Sdn. Bhd.,"No. 1 & 3, Jalan Mega 1/5, Taman Perindustrian Nusa Cemerlang, 79200 Iskandar Puteri, Johor",Iskandar Puteri,79200,"Johor; 54 Products of imported EU-compliant raw material (wild catches) from EU-approved establishments of the following species: Nemipterus japonicus, Priacanthus spp., Saurida spp., Trachurus spp., Johnius spp., Sardinella spp., Epinephelus spp.; 62 Third countries using only raw material either from Member States or from other third countries approved for imports of such raw material to the Union, in accordance with Article 2.",Malaysia,third-country,FFP,PP,,,PP - Processing Plant,24/06/2026,
11,JH Infinity Sdn. Bhd.,"1760, Permatang TInggi, 14100 Simpang Ampat, Seberang Perai Tengah, Pulau Pinang",Simpang Ampat,14100,"Province Wellesley,Penang; 49 Only fishery products produced of imported EU compliant raw material (wild catches &amp; aquaculture) from EU-approved establishments of the following species: prawn (Red, Pink, Sharp, Black tiger, Freshwater, Cat Tiger, Penaeus vannamei), fish (Hake, Alaska Pollock, Cod), squid (Batramii, Illex, Pacificus and Arrow)",Malaysia,third-country,FFP,PP,,,PP - Processing Plant,06/05/2026,
