approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
MDV023,Addu Fisheries Complex,"C65F+322, Hulumeedhoo, Addu City",Hithadhoo,19020,Addu,Maldives,third-country,FFP,PP,,,PP - Processing Plant,17/08/2023,
MDV 015,BIGFISH Maldives Private Limited,"Lot 1, Kaafu Himmafushi",K. Himmafushi,,Kaafu,Maldives,third-country,FFP,PP,,,PP - Processing Plant,,
MDV 007,Blue line,,Kaaf. Huraa,,Kaafu,Maldives,third-country,FFP,PP,,,PP - Processing Plant,,
MDV 006,CMF Fish Processing Factory,K. Himmafushi,K. Himmafushi,,Kaafu,Maldives,third-country,FFP,PP,,,PP - Processing Plant,,
MDV 020,Ensis Canning Factory,Hulhumale,Malé,23000,Malé,Maldives,third-country,FFP,PP,,,PP - Processing Plant,,
MDV 009,Ensis Fisheries Factory,"HULHUMALE, INDUSTRIAL ZONE NO. 16, MIDHILI MAGU",Malé,23000,Malé,Maldives,third-country,FFP,PP,,,PP - Processing Plant,,
MDV 001,Felivaru Fisheries Complex,LH.Felivaru LH.Atoll Rep.of Maldives,Felivaru,,Lhaviyani,Maldives,third-country,FFP,PP,,,PP - Processing Plant,,
MDV 002,Kan'du Oiy Giri Fish Village,Kan'du Oiy Giri,Kaafu Atoll,,Kaafu,Maldives,third-country,FFP,PP,,,PP - Processing Plant,,
MDV 003,Kooddoo Fisheries Complex,Ga.Kooddoo,Kooddoo,,Kaafu,Maldives,third-country,FFP,PP,,,PP - Processing Plant,,
MDV022,MV Jazeera Reefer,"Maldives Industrial Fisheries Co. Ltd — Head Office / Registered Office Address: Block No. 389, Hilaalee Magu, Malé 20389, Republic of Maldives",Malé,23000,Malé; 7635878	06/01/2026,Maldives,third-country,FFP,RV,,,RV - Reefer Vessel,,
MDV 011,Maandhoo Fisheries Complex,"C/O HORIZON FISHERIES PVT LTD.Mist building, Fiyaathoshi magu, Male",Laamu Maandhoo,,Laamu,Maldives,third-country,FFP,PP,,,PP - Processing Plant,,
MDV 013,Maldives Quality Seafood Private Limited,"Plot No. 6, K. Himmafushi",K. Himmafushi,,Kaafu,Maldives,third-country,FFP,PP,,,PP - Processing Plant,,
MDV 021,OHF International,Himmafushi,Kaafu Atoll,,Kaafu,Maldives,third-country,FFP,PP,,,PP - Processing Plant,,
MDV 012,Ocean Fresh Fish Processing Factory,"Kaafu Atoll, Hulhlumale",Kaafu Atoll,,Kaafu,Maldives,third-country,FFP,FV,,,FV - Factory Vessel,,
MDV 018,Ocean Glory,,Malé,23000,Malé,Maldives,third-country,FFP,FV,,,FV - Factory Vessel,,
MDV024,SEASPIRE MALDIVES FISH PROCESSING FACTORY,"HM. HULHUMALE', LOT 10604, ONU GAS MAGU,KAAFU ATOLL, MALE', MALDIVES",Malé,23000,Malé,Maldives,third-country,FFP,PP,,,PP - Processing Plant,18/03/2024,
