approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
02 140,3M SEAFOOD,"CANSADO, Nouadhibou, Mauritanie",Nouadhibou,,Dakhlet Nouadhibou,Mauritania,third-country,FFP,PP,,,PP - Processing Plant,13/02/2024,
02 145,3M SEAFOOD (CONSERVERIE),"CANSADO, Nouadhibou, Mauritanie",Nouadhibou,,Dakhlet Nouadhibou,Mauritania,third-country,FFP,PP,,,PP - Processing Plant,16/05/2024,
02133,AFCO GROUP,"Zone industrielle, Nouadhibou, Mauritanie.",Nouadhibou,,Dakhlet Nouadhibou,Mauritania,third-country,FFP,PP,,,PP - Processing Plant,08/09/2022,
02.093,AFRICA PELAGIC,-,Nouadhibou,,Dakhlet Nouadhibou,Mauritania,third-country,FFP,CS,,,CS - Cold Stores,,
01.001,AFSA SA,Zone Industrielle Wharf BP 4944 Nouakchott,Nouakchott,,Nouakchott,Mauritania,third-country,FFP,PP,,,PP - Processing Plant,,
02.101,AG SARL,,Nouadhibou,,Dakhlet Nouadhibou,Mauritania,third-country,FFP,PP,,,PP - Processing Plant,,
01 071,AL MARWA FISH,"PLAGE DE PÉCHEURS, NOUAKCHOTT- MAURITANIE",Nouakchott,,Nouakchott,Mauritania,third-country,FFP,PP,,,PP - Processing Plant,04/05/2023,
02 131,ALFA SEAFOOD LIMITED SARL,"BOUNTIYA, Nouadhibou, Mauritania",Nouadhibou,,Dakhlet Nouadhibou,Mauritania,third-country,FFP,PP,,,PP - Processing Plant,13/05/2024,
01.024,ALMG (Ex Edouard Reaich),.ZONE WHARF,Nouakchott,,Nouakchott,Mauritania,third-country,FFP,PP,,,PP - Processing Plant,,
1139/NDB,ALPHA PECHE -1,,Nouadhibou,,Dakhlet Nouadhibou,Mauritania,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
1189/NDB,ALPHA PECHE 2,Nouadhibou - Mauritanie,Nouadhibou,,Dakhlet Nouadhibou; 9327865	19/08/2022,Mauritania,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
646/NDB,ANAGIM 2,,Nouadhibou,,Dakhlet Nouadhibou,Mauritania,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
2064/NDB,ANAGIM 3 (Ex SANAMEDIO),Port Autonome de Nouadhibou,Nouadhibou,,Dakhlet Nouadhibou; 9107992	05/07/2025,Mauritania,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
02.078,APOLO FRIGO Sarl,ZONE PORT ARTISANALE LOT S37 38 TEL: +222 36363503,Nouadhibou,,Dakhlet Nouadhibou,Mauritania,third-country,FFP,PP,,,PP - Processing Plant,,
659,ARPECO 6,,Nouadhibou,,Dakhlet Nouadhibou,Mauritania,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
658,ARPECO 7,,Nouadhibou,,Dakhlet Nouadhibou,Mauritania,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
