approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
CA-SF/RV/23/MU,Affinis,"Freeport Zone 21, Mer Rouge",Port-Louis,11317,Port Louis; 9120217	13/07/2026,Mauritius,third-country,FFP,RV,,,RV - Reefer Vessel,,
CASF/ZV/28/MU,Alba Fishing Ltd - Albacan,"6th Floor, Shehnaz Tower, Port Louis",Port Louis,11112,Port Louis; 8906468	05/10/2022,Mauritius,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
CA-SF/ZV/30/MU,Alba Fishing Ltd - Cape Coral,"6th Floor, Shehnaz Tower, Port Louis",Port Louis,11112,Port Louis; 9699050	27/10/2025,Mauritius,third-country,FFP,ZV ZVB,,,ZV - Freezer Vessel | ZVB - Freezer vessel freezing tuna in brine at -18°C,,
CA-SF/ZV/29/MU,Alba Fishing Ltd - Galerna Lau,"6th Floor, Shehnaz Tower, Port Louis",Port Louis,11112,Port Louis; 9861495	13/11/2025,Mauritius,third-country,FFP,ZV ZVB,,,ZV - Freezer Vessel | ZVB - Freezer vessel freezing tuna in brine at -18°C,,
CA-SF/FP4/MU,Bella Amigo Co. Ltd.,"Royal Rd, Mont Mascal",Pamplemousses,,Pamplemousses,Mauritius,third-country,FFP,PP,,,PP - Processing Plant,13/06/2022,
CA-SF/FP6/MU,English Bay Co. Ltd,"Lot No 5, DBM Industrial Zone, La Tour Koenig, Postal code: 11109",Port-Louis,11317,Port Louis,Mauritius,third-country,FFP,PP,,,PP - Processing Plant,13/06/2022,
DVS/FP9/MU,Ferme Marine De Mahebourg Limited,,Pointe aux feuilles,52705,Grand Port,Mauritius,third-country,FFP,PP,,,PP - Processing Plant,13/06/2022,
DVS/F/C/2,Froid Des Mascareignes,"Freeport Zone No.8, Quay D Road",Port-Louis,11317,Port Louis,Mauritius,third-country,FFP,CS,,,CS - Cold Stores,13/06/2022,
CA-SF/CS4/MU,Froid des Mascareignes Mer Rouge,Mer Rouge,Port Louis,11112,Port Louis,Mauritius,third-country,FFP,CS,,,CS - Cold Stores,21/09/2023,
DVS/FP8/MU,Indico Canning,Marine Road,Mer Rouge,,Port Louis,Mauritius,third-country,FFP,PP,,,PP - Processing Plant,13/06/2022,
CASF/FV/1/MU,Klondyke 139,"MFD Business Centre, Freeport Zone 5, Mer Rouge, Port Louis",Mer Rouge,,Port Louis; 8714322	16/07/2024,Mauritius,third-country,FFP,FV,,,FV - Factory Vessel,,
CA-SF/PP/02/MU,Marine Biotechnology Products Ltd,,Port-Louis,11317,Port Louis,Mauritius,third-country,FFP,PP,,,PP - Processing Plant,13/06/2022,
DVS/F/C/3,Mauritius Freeport Development,Freeport Zone No.5,Mer Rouge,,Port Louis,Mauritius,third-country,FFP,CS,,,CS - Cold Stores,13/06/2022,
DVS/FP4/MU,Princes Tuna (Mauritius) Ltd,Marine Road,Port-Louis,11317,Port Louis,Mauritius,third-country,FFP,PP,,,PP - Processing Plant,13/06/2022,
DVS/TF/1,Princes Tuna (Mts) Ltd.,New Trunk Road,Richeterre,,Pamplemousses,Mauritius,third-country,FFP,PP,,,PP - Processing Plant,13/06/2022,
DVS/F/8,Seskel Enterprises Limited,St-Michel Road,Port-Louis,11317,Port Louis,Mauritius,third-country,FFP,PP,,,PP - Processing Plant,13/06/2022,
