approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
EXB31-2024-33,"COMERCIALIZADORA PORCICOLA MEXICANA, S.A. DEC.V.","KM. 15.68, CARRETERA FEDERAL MÉRIDA-PUERTO JUÁREZ, TIXPEHUAL, YUCATÁN, C.P. 97388",Tixpéhual,,Yucatán,Mexico,third-country,ABP-SH,,,,CAT3 - Category 3,16/08/2024,19/08/2024
EXB32-2022-06,CÁRNICOS DE JEREZ S.A. DE C.V.,CARRETERA JEREZ SÁNCHEZ ROMÁN kM.27.5 C.P. 99380,Jerez,98000,Zacatecas,Mexico,third-country,ABP-SH,,,,CAT3 - Category 3,28/02/2023,01/03/2023
EXB32-2022-07,"Cárnicos De Jerez, S.A. De C.V.","Carretera Jerez, Sánchez Román Km 27.5, C.P. 99380, Jerez de García Salinas.",Jerez,98000,Zacatecas,Mexico,third-country,ABP-SH,,,,CAT3 - Category 3,28/02/2023,01/03/2023
Zac/1/026/2010,"Empacadora De Carnes De Fresnillo, S.A. De C.V.","AVE. PLATEROS NO.480 ZACATECAS, FRESNILLO. MEXICO",Fresnillo,99000,Zacatecas,Mexico,third-country,ABP-SH,,,,CAT3 - Category 3,,
EXB31-2022-08,GRUPO PORCÍCOLA MEXICANO S.A. DE C.V.,"Km. 3.5. Carretera Umán-Poxila C.P. 97390 Umán, Yucatán",Mérida,97000,Yucatán,Mexico,third-country,ABP-SH,,,,CAT3 - Category 3,19/07/2024,23/07/2024
ADL 060815 AKA,"Acuagranjas Dos Lagos, S.A. de C.V.","km 15, Camino Vecinal Col. Ejido Bajo Amacoite S/N, C.P. 29550, Ostuacán, Chiapas. 29550 Ostuacán",Ostuacán,29550,Chiapas,Mexico,third-country,FFP,PP,,,PP - Processing Plant,12/06/2025,
AME11092033A,"Agropesca de Mexico, S.A. de C.V.","Tres Lote 16 Manzana 01,S/N, Colonias del Sauzal, Ensenada, Baja California, C.P. 22760",Ensenada,22760,Baja California,Mexico,third-country,FFP,PP,,,PP - Processing Plant,20/10/2025,
ASE 151217A24,"Aragosta Seafood, S.A. de C.V.","Sección 44 Tablaje 10622, Tamanché, C.P. 97304, Merida, Yucatán",Mérida,97304,Yucatán,Mexico,third-country,FFP,PP,,,PP - Processing Plant,18/12/2023,
AEM101122KJ9,"Atenea En El Mar, S. De R.L. De C.V.","Calle San Diego No. 508, Col. EL Sauzal, El Sauzal de Rodríguez, C.P. 22760",Ensenada,22760,Baja California,Mexico,third-country,FFP,PP,,,PP - Processing Plant,21/10/2022,
AGS230525NJ0,Ava Group Seafood SA de CV,"Carretera Tecate-Ensenada km 103.551, Localidad El Sauzal de Rodríguez, C.P. 22760, Ensenada, Baja California.",Ensenada,22760,Baja California,Mexico,third-country,FFP,PP,,,PP - Processing Plant,11/08/2026,
