approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
CO 2906,AARK SOUS (MARCO PÊCHE),,Agadir,83152,"Taroudant Province,Souss-Massa",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
PSO.34.0148.17,ABDERA TRES (PESCA COSTA DORA),Port de pêche de Tanger,Tangier,90010,"Prefecture of Tangier - Assilah,Tanger - Tétouan - Al Hoceima",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
PCO.25.2101.16,ABLA (FINE FISHING),NOUVEAU PORT AGADIR,Agadir,83152,"Taroudant Province,Souss-Massa",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
CO 3201,ABOU AL WAFA (ZIMA FISHERIES COMPANY),,Agadir,83152,"Taroudant Province,Souss-Massa",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
PP.52.0468.25,ABXTRADING,LOT 28/31 ROUTE JORF LIHOUDI ZONE INDUSTRIELLE SAFI,Safi,46000,"Province de Safi إقليم أسفي,Marrakech-Safi",Morocco,third-country,FFP,PP,,,PP - Processing Plant,24/04/2025,
PCO.25.0296.21,AFOUDRAR (AGADPECHE SARL),,Agadir,83152,"Taroudant Province,Souss-Massa; 8001074	15/04/2026",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
PP.7.0370.23,AFRIOCEAN FISH,"Lot 28, Secteur 13S Zone industrielle Ouled Saleh Bouskoura",Nouaceur ⵏⵡⴰⵚⵕ النواصر,,"Nouaceur Province,Casablanca-Settat",Morocco,third-country,FFP,PP,,,PP - Processing Plant,07/02/2023,
PEF.25.0460.25,AFRO PESCA MAROC ENTREPOSAGE,LOT N° 47 ET 48 ZONE INDUSTRIELLE PORT DE COMMERCE AGADIR,Agadir,80005,"Agadir Ida-Outanane Prefecture,Souss-Massa",Morocco,third-country,FFP,CS,,,CS - Cold Stores,06/03/2025,
PP.34.0486.25,AFROCEANIC,LOCAL N° 6 PORT DE PECHE DE TANGER,Tangier,90000,"Prefecture of Tangier - Assilah,Tanger - Tétouan - Al Hoceima",Morocco,third-country,FFP,PP,,,PP - Processing Plant,15/10/2025,
6310,AGADIR OCEAN II,Q.I AIT MELLOUL,Agadir,83152,"Taroudant Province,Souss-Massa",Morocco,third-country,FFP,PP,,,PP - Processing Plant,,
CO 1002,AGDAL 2 (ASMAK RAHAL),ANCIEN PORT AGADIR,Agadir,83152,"Taroudant Province,Souss-Massa",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
PCO.25.3202.18,AGDAL 6 (PESCADO SUR OCEANO SA),"AVENUE DE LA MECQUE IM. 46, N°5 ETAGE 2",Agadir,83152,"Taroudant Province,Souss-Massa",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
PCO.25.1004.22,AGDAL-4 (ATLANTIC FISH EXPRIENCE SARL),ANCIEN PORT,Agadir,83152,"Taroudant Province,Souss-Massa",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,12/08/2022,
CO 3901,AGHBALOU (OMP FLOTTE),,Tan Tan,,Guelmim-Oued Noun,Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
PCO.68.0375.23,AGLOU (AGARAW PECHE SARL),PORT DE PECHE D'AGADIR,Agadir,80005,"Agadir Ida-Outanane Prefecture,Souss-Massa; 8206480	03/05/2023",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
PEF.59.0098.16,AGRIGOLD FRIGO OULED HRIZ,,Berrechid,26100,"Berrechid Province,Casablanca-Settat",Morocco,third-country,FFP,CS,,,CS - Cold Stores,,
PCO.25.0297.21,AIN RAHMA-5 (MARCHIN CORPORATION SA),,Agadir,83152,"Taroudant Province,Souss-Massa",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
PCO.25.0298.21,AIN RAHMA-6 (MARCHIN CORPORATION SA),,Agadir,83152,"Taroudant Province,Souss-Massa",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
CO 3903,AL FALAKI (OMP FLOTTE),,Tan Tan,,Guelmim-Oued Noun,Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
PCO.25.3204.18,AL FALAQ (PESCADO SUR OCEANO SA),"AVENUE DE LA MECQUE IM. 46, N°5 ETAGE 2",Agadir,83152,"Taroudant Province,Souss-Massa",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
CO 3205,AL FARAZDAK (ASMAK RAHAL),ANCIEN PORT AGADIR,Agadir,83152,"Taroudant Province,Souss-Massa",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
CO 3206,AL FARID (MERSEAMAR ),,Agadir,83152,"Taroudant Province,Souss-Massa",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
CO 3207,AL FARIS (ZIMA FISHERIES COMPANY),,Agadir,83152,"Taroudant Province,Souss-Massa",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
PCO.25.0401.22,AL GHAZALI (GUADAZUL F.B SARL),ANCIEN PORT AGADIR,Agadir,83152,"Taroudant Province,Souss-Massa",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,12/08/2022,
CO 3904,AL HAKIM (OMP FLOTTE),,Tan Tan,,Guelmim-Oued Noun,Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
CO 3220,AL KHATABI (PALMA PESCA),NOUVEAU PORT AGADIR,Agadir,83152,"Taroudant Province,Souss-Massa",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
PCO.25.3210.18,AL KHAYAM (PESCADO SUR OCEANO SA),"AVENUE DE LA MECQUE IM. 46, N°5 ETAGE 2",Agadir,83152,"Taroudant Province,Souss-Massa",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
PCO.5.0131.17,AL MANAR-2 (MARCO PECHE),AGADIR,Agadir,83152,"Taroudant Province,Souss-Massa",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
CO 8101,AL MISS (MARLEB),ANCIEN PORT,Agadir,83152,"Taroudant Province,Souss-Massa",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
CO 3221,AL MOUTANABI (PALMA PESCA),NOUVEAU PORT AGADIR,Agadir,83152,"Taroudant Province,Souss-Massa",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
CO 3906,AL MOUTAWAKIL (OMP FLOTTE),,Tan Tan,,Guelmim-Oued Noun,Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
CO 3907,AL MOUWAFAK (OMP FLOTTE),,Tan Tan,,Guelmim-Oued Noun,Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
CO 3212,AL YACOUBI (ASMAK RAHAL),ANCIEN PORT AGADIR,Agadir,83152,"Taroudant Province,Souss-Massa",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
PCO.25.0226.19,ALBERTO-2 (AGADPECHE SARL),,Agadir,83152,"Taroudant Province,Souss-Massa; 8715675	04/05/2026",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
PCO.25.0402.22,ALBOUKHARI (GUADAZUL F.B SARL),ANCIEN PORT AGADIR,Agadir,83152,"Taroudant Province,Souss-Massa",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,12/08/2022,
PSO.25.0211.19,ALICANTE (KHALID FISHERIES SA),Nouveau Port d'Agadir Parcelle N° 3,Agadir,83152,"Taroudant Province,Souss-Massa",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
PSO.25.0147.17,ALICIA (GLOBAL FISHERIES SARL),PORT DE PECHE DE TANGER,Tangier,90010,"Prefecture of Tangier - Assilah,Tanger - Tétouan - Al Hoceima",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
PP.48.0309.21,ALIDA FOOD JERADA,Lot 42 Zone d'activité économique Jerada,Jerada,64552,"Province de Jerada إقليم جرادة,Oriental",Morocco,third-country,FFP,PP,,,PP - Processing Plant,31/01/2022,
PP.48.0205.19,ALIDA SEAFOOD AND PROCESSING,ZONE D'ACTIVITE ECONOMIQUE LOT № 41,Jerada,64552,"Province de Jerada إقليم جرادة,Oriental",Morocco,third-country,FFP,PP,,,PP - Processing Plant,,
CO 4701,ALIF (PHIASUD),,Agadir,83152,"Taroudant Province,Souss-Massa",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
PP.73.0406.23,ALPHA ATLANTIQUE DE SAHARA MAROCAINE 2,ZONE INDUSTRIELLE TARFAYA LOT N° 2,Laayoune,,Laayoune Province,Morocco,third-country,FFP,PP,,,PP - Processing Plant,15/11/2023,
PP.53.0314.21,ALPHA PESCA,Lot 36 Locaux incubateurs ZI El Jadida,El Jadida,24010,"El Jadida Province,Casablanca-Settat",Morocco,third-country,FFP,PP,,,PP - Processing Plant,15/02/2022,
PP.46.6364.18,ALPHA POISSON,KM 7 route Berkane Saidia Laatama,Berkane,63305,"Province de Berkane إقليم بركان,Oriental",Morocco,third-country,FFP,PP,,,PP - Processing Plant,,
PP.50.0223.19,ALTO MARE,"PORT DE PECHE DE BENI ENSAR, NADOR",Nador,62000,"Province de Nador إقليم الناظور,Oriental",Morocco,third-country,FFP,PP,,,PP - Processing Plant,,
2682,AMADIR,Q.I AIT MELLOUL,Agadir,83152,"Taroudant Province,Souss-Massa",Morocco,third-country,FFP,PP,,,PP - Processing Plant,,
CO 6001,AMAL (SOFINAS ),PORT DE PECHE BP. 1794 AGADIR,Agadir,83152,"Taroudant Province,Souss-Massa",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
CO 3908,AMIZMIZ (OMP FLOTTE),,Tan Tan,,Guelmim-Oued Noun,Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
PCO.25.0333.22,AMOUDOU-1 (LA ROUTE DU SAHARA SARL AU),PORT DE PECHE AGADIR,Agadir,80026,"Agadir Ida-Outanane Prefecture,Souss-Massa",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,10/08/2022,
PCO.25.0369.22,AMOUDOU-2 (AGRAW PECHE SARL),PORT DE PECHE D'AGADIR,Agadir,80000,"Agadir Ida-Outanane Prefecture,Souss-Massa; 8206492	25/04/2023",Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
PP.60.0192.18,ANASS PESCA,LOT 153 PORT DE MEHDIA,Kenitra,14000,"Province de Kenitra إقليم القنيطرة,Rabat-Salé-Kenitra",Morocco,third-country,FFP,PP,,,PP - Processing Plant,,
CO 1101,ANDALIB (OMP FLOTTE),,Tan Tan,,Guelmim-Oued Noun,Morocco,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
PP.27.2171.21,ANDREXPORT,route principale de Biougra Ctouka Ait Baha,Agadir,83152,"Taroudant Province,Souss-Massa",Morocco,third-country,FFP,PP,,,PP - Processing Plant,,
