approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
561.1,(INT DEV NEW FISHERIES) PESCA NORTE,Angoche,Nampula,,Nampula,Mozambique,third-country,FFP,PP,,,PP - Processing Plant,,
827. 1A,A-one Enterprises Polvos De Nacala,"Bairro Ontupaia, Nacala Porto",Nacala,,Nampula,Mozambique,third-country,FFP,PP,,,PP - Processing Plant,,
062.9,Antares 1 (Efripel),,Quelimane,,Zambezia,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
063.9,Antares 2 (Efripel),,Quelimane,,Zambezia,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
064.9,Antares 3 (Efripel),,Quelimane,,Zambezia,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
065.9,Antares 4 (Efripel),,Quelimane,,Zambezia,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
066.9,Antares 5 (Efripel),,Quelimane,,Zambezia,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
334.1,Aquapesca Licunguma (Aquapesca. Limitada),"Licunguma E.N.224, Inhassunge",Quelimane,,Zambezia,Mozambique,third-country,FFP,PP,,,PP - Processing Plant,,
042.3,Armazém Frigorifico da Crustamoz,,Quelimane,,Zambezia,Mozambique,third-country,FFP,CS,,,CS - Cold Stores,,
A22.3,Armazém Frigorífico Do Porto De Pesca Da Beira (Porto De Pesca Da Beira),,Beira,,Sofala,Mozambique,third-country,FFP,CS,,,CS - Cold Stores,,
043.9,Arpen I (Pescamar),,Beira,,Sofala,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
044.9,"Arpen II (Efripel, Lda)",,Quelimane,,Zambezia,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
045.9,"Arpen III (Efripel, Lda)",,Quelimane,,Zambezia,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
046.9,"Arpen V (Efripel, Lda)",,Quelimane,,Zambezia,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
047.9,"Arpen VI (Efripel, Lda)",,Quelimane,,Zambezia,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
048.9,"Arpen VII (Efripel, Lda)",,Quelimane,,Zambezia,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
057.9,"Avia (Pescamar, Lda)",,Beira,,Sofala,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
630.1A,Bazaruto Pescas,,Beira,,Sofala,Mozambique,third-country,FFP,PP,,,PP - Processing Plant,,
B28.9,Beira III Companhia Industrial de Pescas (CIP),,Beira,,Sofala,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
805.9,Cassiopeia (Parceria 4 Peixe),Av. Armando Tivane No 890,Maputo,1100,Maputo,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
G41.9,"Chomapi Maru (Pescamar, Lda)","Edificio da Pescamar, Lda",Beira,,Sofala,Mozambique,third-country,FFP,FV,,,FV - Factory Vessel,,
00H60.9,"Clairbelle Jayde (Pescamoz, Lda)",Largo dos CFM cais no 1,Beira,,Sofala,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
I015.9,"Conlam James (Pescamoz, Lda)",Largo dos CFM cais no 1,Beira,,Sofala,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
049.9,"Crisfer (Efripel, Lda)",,Beira,,Sofala,Mozambique,third-country,FFP,FV,,,FV - Factory Vessel,,
900.9,"Cygnus 1 (Pescabom, Lda)",,Beira,,Sofala,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
901.9,"Cygnus 2 (Pescabom, Lda.)",Largo Manuel Antonio de Sousa No 6,Beira,,Sofala,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
902.9,Cygnus-3 (Pescabom),"Pescabom. Lda, Largo Manuel Antonio de Sousa no 6",Beira,,Sofala,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
757.1,"Diamante Mariscos (Diamante Mariascos, Lda)","Rua de Herois de Libertação, CP 234",Angoche,,Nampula,Mozambique,third-country,FFP,PP,,,PP - Processing Plant,,
243.9,EUME (Pescamar),,Beira,,Sofala,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
G40.9,"Efripel 1 (Efripel, Lda)",Av. Marginal,Quelimane,,Zambezia,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
247.3,Entreposto Frigorifico (SIP-Sociedade Industrial De Pesca. Lda),,Maputo,1100,Maputo,Mozambique,third-country,FFP,CS,,,CS - Cold Stores,,
026.3,"Entreposto Frigorifico De Pesca (Efripel, Lda)",Av. Marginal,Quelimane,,Zambezia,Mozambique,third-country,FFP,CS,,,CS - Cold Stores,,
A22. 1B,Entreposto Frigorífico Cais 1,Largo dos CFM Cais no 1-Beira,Beira,,Sofala,Mozambique,third-country,FFP,PP,,,PP - Processing Plant,,
A22. ЗВ,Entreposto Frigorífico Cais 1 (Porto Da Pesca Da Beira),"Largo dos CFM, Cais No 1-Beira CP: 115",Beira,,Sofala,Mozambique,third-country,FFP,CS,,,CS - Cold Stores,,
A22.1,Establecimento Do Porto De Pesca Da Beira (Porto De Pesca Da Beira),,Beira,,Sofala,Mozambique,third-country,FFP,PP,,,PP - Processing Plant,,
00H61.9,"Felicity Mackenzie (Pescamoz, Lda)",Largo dos CFM cais no 1,Beira,,Sofala,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
C54.9,Horizonte (Vitapesca),"Rua da Se, No 114, 3o Andar",Maputo,1100,Maputo,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
C90.9,"Indico (Sociedade Industrial de Pesca, Lda - SIP)","Av Martires de Inhaminga, recinto do Porto de Pesca de Maputo",Maputo,1100,Maputo,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
033.9,"Izmaylovo (Kalipesca Industrial, Lda)",Avenida 25 de Setembro n 1509,Maputo,1100,Maputo,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
B29.9,Julmar I (Manuel de Almeida),,Beira,,Sofala,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
D72.9,Krusmaroc Dos (Crustamoz Lda),,Quelimane,,Zambezia,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
D71.9,Krusmaroc Uno (Crustamoz Lda),,Quelimane,,Zambezia,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
B20.9,"Krustamoz I (Crustamoz, Lda)",,Quelimane,,Zambezia,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
B21.9,"Krustamoz II (Crustamoz, Lda)",,Quelimane,,Zambezia,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
B22.9,"Krustamoz III (Crustamoz, Lda)",,Quelimane,,Zambezia,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
B23.9,"Krustamoz IV (Crustamoz, Lda)",,Quelimane,,Zambezia,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
B51.9,"Krustamoz V (Crustamoz, Lda)",,Quelimane,,Zambezia,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
B58.9,"Krustamoz VI (Crustamoz, Lda)",,Quelimane,,Zambezia,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
B67.9,"Krustamoz VII (Crustamoz, Lda)",,Quelimane,,Zambezia,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
B81.9,"Krustamoz VIII (Crustamoz, Lda)",,Quelimane,,Zambezia,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
00H56.9,Lauren Darya,,Beira,,Sofala,Mozambique,third-country,FFP,FV,,,FV - Factory Vessel,,
00H51.9,Mackenzie Marie,,Beira,,Sofala,Mozambique,third-country,FFP,FV,,,FV - Factory Vessel,,
949.1,Mariscos Do Indico (Mariscos Do Índico S. A. ),Rua das Embarcações,Angoche,,Nampula,Mozambique,third-country,FFP,PP,,,PP - Processing Plant,,
905.9,Nauticus (Mar Beira),,Beira,,Sofala,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
839.1,"Ocean Source Mozambique (Ocean Source Mozambique, Limitada)",Bairro 5o Congresso,Vilanculos,,Inhambane,Mozambique,third-country,FFP,PP,,,PP - Processing Plant,,
681.9,"Pescabom-I (Pescabom, Lda)",,Beira,,Sofala,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
682.9,"Pescabom-II (Pescabom, Lda)",,Beira,,Sofala,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
922.9,"Pescabom-III (Pescabom, Lda)",,Beira,,Sofala,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
923.9,"Pescabom-IV (Pescabom, Lda)",,Beira,,Sofala,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
054.9,"Pescamar III (Pescamar, Lda)",,Beira,,Sofala,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
055.9,"Pescamar IV (Pescamar, Lda)",,Beira,,Sofala,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
507.9,"Pescamar IX (Pescamar, Lda)",,Beira,,Sofala,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
508.9,"Pescamar X (Pescamar, Lda)",,Beira,,Sofala,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
509.9,"Pescamar XI (Pescamar, Lda)",,Beira,,Sofala,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
773.9,"Pescamar XII (Pescamar, Lda)",,Beira,,Sofala,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
079.1,Pescas do Sul,,Maputo,1100,Maputo,Mozambique,third-country,FFP,PP,,,PP - Processing Plant,,
B27.9,"Pestrai IV (Pestrai, Lda)",,Beira,,Sofala,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
906.9,"Polo Norte (Sociedade Industrial de Pesca, Lda - SIP)","Av Martires de Inhaminga, recinto do Porto de Pesca de Maputo",Maputo,1100,Maputo,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
H09.9,"Polo Sul (VitaPesca, Lda)","Rua da Se no 114, 3rd andar Maputo",Maputo,1100,Maputo,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
J060.9,"Ponta Macalonga (Pescamar, Lda)",Largo Manuel Antonio de Sousa no 6,Beira,,Sofala,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
J045.9,"Ponta Matirre (Pescamar, Lda)",Largo Manuel Antonio de Sousa no 6,Beira,,Sofala,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
J061.9,"Ponta Timbue (Pescamar, Lda)",Largo Manuel Antonio de Sousa no 6,Beira,,Sofala,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
398.1,"Prapesca (Companhia De Pesca De Mocambique, Ltda)",,Beira,,Sofala,Mozambique,third-country,FFP,PP,,,PP - Processing Plant,,
398.1A,Prapesca Sanculo (PRAPESCA LDA),"Bairro de Sanculo - Lumbo, CP: 1053",Ilha de Mocambique,,Nampula,Mozambique,third-country,FFP,PP,,,PP - Processing Plant,,
946.9,"Recanto - III (Unipesca, Lda)",Rua Augusto Castilho 91 D 1o C.P. no 218,Beira,,Sofala,Mozambique,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
