approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
YGN/135/ANFM/DOF,"A & N Foods (Myanmar) Co., Ltd",Thanlyin Township,Thilawa Special Economic Zone,,Yangon,Myanmar/Burma,third-country,FFP,PP,,,PP - Processing Plant,,
MGIE/012(VAP)/ASK/DOF,A.S.K Andaman Limited,-,Myeik,14051,Tanintharyi Region,Myanmar/Burma,third-country,FFP,PP,,,PP - Processing Plant,,
YGN/019/ANDJ/DOF,"Anawa Devi Daiichi Join Venture Co., Ltd",,Yangon,11000,"Yangon,Yangon",Myanmar/Burma,third-country,FFP,PP,,,PP - Processing Plant,,
PTHN/001/AYWD/DOF,Ayeyarwaddy Fisheries Limited,"Yankin Taung Road, No(l) Quarter",Pathein,10271,Ayeyarwady,Myanmar/Burma,third-country,FFP,PP,,,PP - Processing Plant,,
YGN/136/CKF/DOF,"C.K. FROZEN FOODS YANGON CO., LTD","plot No(181), U Shwe Bin Street Industrial Zone (1),113, East Dagon Myothit Township",Dagon,,"Yangon,Yangon",Myanmar/Burma,third-country,FFP,PP,,,PP - Processing Plant,,
MUB/001/DQN/DOF,Delta Queen Cold Store,-,Nyaungdon,10181,Ayeyarwady,Myanmar/Burma,third-country,FFP,PP,,,PP - Processing Plant,,
YGN/146/EMP/DOF,Emdees Marine Products Myanmar Ltd.,"No.21, Ward No. C-4, Hlaing Thar Yar Township, Yangon Region.",Hlaing Tharyar,,Yangon,Myanmar/Burma,third-country,FFP,PP,,,PP - Processing Plant,19/08/2022,
YGN/100/GWI/DOF,Ghani Win International Modern Processing Plant & Cold Storage,"No.165, U Htun Nyo Street, Industrial Zone (3), Shwe Pyi Thar Township, Yangon Region",Shwepyithar,11411,"Yangon,Yangon",Myanmar/Burma,third-country,FFP,PP,,,PP - Processing Plant,29/08/2022,
YGN/037/GLF/DOF,"Global Lucky Fish Co., Ltd","No (430,431), Seik Kan Thar Street, Shwe Lin Ban Industrial Zone, 25 Ward, Hlaing Thar Yar Township",Yangon,11000,"Yangon,Yangon",Myanmar/Burma,third-country,FFP,PP,,,PP - Processing Plant,,
YGN/099/GLO/DOF,Glory One Seafood Processing and Cold Storage Plant,"No.9/3, D-1 Twin Thin Taik Wun U Tun Nyo Street, Industrial Zone 6, Hlaing Tharyar Township",Yangon,11081,"Yangon,Yangon",Myanmar/Burma,third-country,FFP,PP,,,PP - Processing Plant,07/04/2026,
YGN/104/GBL/DOF,Golden Bay Limited,"No.2/2, Department of Fisheries Compound, Bayint Naung Road",Yangon,11000,"Yangon,Yangon",Myanmar/Burma,third-country,FFP,PP,,,PP - Processing Plant,,
YGN/124/HLT/DOF,"Helianthus Trading Co.,Ltd","No.103 (A), Kone Baung Lane, Industrial Zone (7), Hlaing Thar Yar Township, Yangon Region",Hlaing Tharyar,,Yangon,Myanmar/Burma,third-country,FFP,PP,,,PP - Processing Plant,15/05/2025,
YGN/114/KYZ/DOF,Hlaing Htate Khaung Cold Store.,"No.449, Strand Road, Shwe Lin Pan Industrial Zone, Hlaing Thar Yar Township",Yangon,11000,"Yangon,Yangon",Myanmar/Burma,third-country,FFP,PP,,,PP - Processing Plant,,
