approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
2S,Amansio (Belinda Fishing Namibia CC),,Walvis Bay,,Erongo Region,Namibia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
2Z,Andante (Freddie Fish Processors (Pty) Ltd),,Walvis Bay,,Erongo Region,Namibia,third-country,FFP,FV,,,FV - Factory Vessel,,
8Z,Andra-Jane (Almacin Fisheries CC),"No 15, 5th Road East, Meersig",Walvis Bay,,Erongo Region,Namibia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
1W,Arthur M (Nexus Fishing Company (Pty) Ltd),,Walvis Bay,,Erongo Region,Namibia,third-country,FFP,FV,,,FV - Factory Vessel,,
6C,Atlantic Commercial Cold Store,"29-33 Langer Heinrich Crescent, P O Box 5860",Walvis Bay,,Erongo Region,Namibia,third-country,FFP,CS,,,CS - Cold Stores,,
5S,Atlantic Hunter (Maximus Fishing CC)),"23, Circumferential Road, P.O. Box 1493, Walvis Bay, Namibia",Walvis Bay,,Erongo Region; 8774451	18/02/2026,Namibia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
10N,Beta (Namatic Investment Cc),"7 Circumferential Road, Walvis bay P.O Box 4673, Walvis Bay",Walvis Bay,,Erongo Region,Namibia,third-country,FFP,FV,,,FV - Factory Vessel,30/06/2026,
0R,Bianca (Benguella Fishing Company Pty Ltd),,Walvis Bay,,Erongo Region,Namibia,third-country,FFP,FV,,,FV - Factory Vessel,,
10P,Blue Fin (Southern Wolf Holdings (PTY) LTD),"P O Box 305, Erf 662 Bay Road, Lüderitz",Lüderitz,,Karas; 8529521	12/01/2024,Namibia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
3T,Blue Sea I (Blue Sea Fishing Company (Pty) Ltd),,Walvis Bay,,Erongo Region,Namibia,third-country,FFP,FV,,,FV - Factory Vessel,,
5C,CPJ Commercial Cold Storage and Services CC,"Cnr 10th Road & Theo Ben Gurirab Street, P.O. Box 8430",Walvis Bay,,Erongo Region,Namibia,third-country,FFP,CS,,,CS - Cold Stores,,
7V,Caltop Galaxy(Caltop Fishing Operations(Pty) Ltd),"P.O. Box 1996, Ben Amathila Avenue, Walvis Bay",Walvis Bay,,Erongo Region; 8804347,Namibia,third-country,FFP,FV,,,FV - Factory Vessel,,
9R,Campa del Infanzon (Overberg Fishing Company),,Walvis Bay,,Erongo Region,Namibia,third-country,FFP,FV,,,FV - Factory Vessel,,
5N,Carapau I (Carapau Fishing (PTY) Ltd),,Walvis Bay,,Erongo Region,Namibia,third-country,FFP,FV,,,FV - Factory Vessel,,
7M,Casula Castro (Castrobros Investments CC),"30, 12th Street East, Industrial Area",Walvis Bay,,Erongo Region; 9574494	22/06/2026,Namibia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
3Q,Cavema Star (Venmar Fishing),"P O Box 5981, Erf 1239 2nd Str East, Walvis Bay, Namibia",Walvis Bay,,Erongo Region; 8519071	02/08/2023,Namibia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
9P,Christiaan De Wet (Luderitz Tuna Exporters Cc),,Luderitz,,Karas,Namibia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
1C,Commercial Cold Storage,,Walvis Bay,,Erongo Region,Namibia,third-country,FFP,CS,,,CS - Cold Stores,,
1Q,Crab Queen 1 (Taiyo Namibia (Pty) Ltd),,Walvis Bay,,Erongo Region,Namibia,third-country,FFP,FV,,,FV - Factory Vessel,,
8E,Deep Ocean Processors (Pty) Ltd,"P.O. Box 3041, Ben Amathila Avenue, Walvis Bay",Walvis Bay,,Erongo Region,Namibia,third-country,FFP,PP,,,PP - Processing Plant,,
5Y,Emanguluko (Glomar Fisheries (Pty) Ltd),,Walvis Bay,,Erongo Region,Namibia,third-country,FFP,FV,,,FV - Factory Vessel,,
