approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
ME136,Alliance Group Limited,Corner Hokio Beach Road & Hamaria Road,Levin,4440,"Horowhenua District,Manawatu-Wanganui",New Zealand,third-country,ABP-SH,,,,CAT3 - Category 3,25/08/2012,29/11/2024
AB32,Ashburton Meat Processors Limited,,Ashburton,7700,"Ashburton District,Canterbury",New Zealand,third-country,ABP-SH,,,,CAT3 - Category 3,10/12/2004,29/11/2024
ME103,Auckland Meat Processors Limited,851 Great South Rd,Auckland,2583,Auckland,New Zealand,third-country,ABP-SH,,,,CAT3 - Category 3,13/07/2005,29/11/2024
BOSTOCK1,Bostock Brothers Limited,30B James Rochfort Place,Hastings,,"Hastings District,Hawke's Bay",New Zealand,third-country,ABP-SH,,,,CAT3 - Category 3,03/09/2021,29/11/2024
PH499,Duncan Processors Limited,2670 State Highway 5,Rotorua,3010,"Rotorua District,Bay of Plenty",New Zealand,third-country,ABP-SH,,,,CAT3 - Category 3,22/08/2012,04/09/2024
GAME01,Game Meats Limited,167 Hororata Road,Hororata,7572,"Selwyn District,Canterbury",New Zealand,third-country,ABP-SH,,,,CAT3 - Category 3,24/11/2025,18/12/2025
AB81,Harris Farms Limited,150 Hurunui Mouth Road,Cheviot,,Canterbury,New Zealand,third-country,ABP-SH,,,,CAT3 - Category 3,15/11/2005,31/01/2023
PPH8,Inghams Enterprises (NZ) Pty Limited,"624 Waihekau Road, RD 1",Waitoa,3380,"Matamata Piako District,Waikato",New Zealand,third-country,ABP-SH,,,,CAT3 - Category 3,15/11/2004,20/04/2023
AB78,Kintyre Meats Limited,,Carterton,5218,"Carterton District,Wellington",New Zealand,third-country,ABP-SH,,,,CAT3 - Category 3,30/03/2007,29/11/2024
ME131,Land Meat New Zealand Limited,"47 Bryce Street, Castlecliff",Wanganui,,Manawatu-Wanganui,New Zealand,third-country,ABP-SH,,,,CAT3 - Category 3,02/09/2004,29/11/2024
PF22,Medallion 2010 Limited,26 Coughlan Road,Waipukurau,4122,"Central Hawke's Bay District,Hawke's Bay",New Zealand,third-country,ABP-SH,,,,CAT3 - Category 3,22/08/2012,29/11/2024
NZMP1,NZ Meat Processors Limited,"5264 State Highway 26, RD 2",Te Aroha,3392,"Matamata Piako District,Waikato",New Zealand,third-country,ABP-SH,,,,CAT3 - Category 3,02/06/2026,28/07/2026
PPH24,Pepe's Business Partnership LP trading as Quack 'a' Duck,20 Carters Crescent,Cambridge,3434,"Waipa District,Waikato",New Zealand,third-country,ABP-SH,,,,CAT3 - Category 3,01/03/2022,29/11/2024
ME132,Prime Range Meats Limited,"Sussex Street, Waikiwi",Invercargill,9810,"Invercargill City,Southland",New Zealand,third-country,ABP-SH,,,,CAT3 - Category 3,18/05/2011,29/11/2024
ME87,Progressive Meats Ltd,118 Kelfield Place,Hastings,,"Hastings District,Hawke's Bay",New Zealand,third-country,ABP-SH,,,,CAT3 - Category 3,04/02/2011,29/11/2024
PH206,Silver Fern Farms Limited - Hokitika,Seaview Road,Hokitika,7810,"Westland District,West Coast",New Zealand,third-country,ABP-SH,,,,CAT3 - Category 3,12/05/2003,29/11/2024
ME100,Silver Fern Farms Limited - Waitoa,Wood Road,Waitoa,2100,"Matamata Piako District,Waikato",New Zealand,third-country,ABP-SH,,,,CAT2 - Category 2 | CAT3 - Category 3,12/05/2003,29/11/2024
SPM135,South Pacific Meats Limited,"1044 Two Chain Road, Burnham, RD7",Christchurch,8082,"Christchurch City,Canterbury",New Zealand,third-country,ABP-SH,,,,CAT3 - Category 3,31/10/2011,29/11/2024
SWGCO1,Southern Wild Game Co. LP,616 Kaikorai Valley Road,Dunedin,9011,"Dunedin City,Otago",New Zealand,third-country,ABP-SH,,,,CAT3 - Category 3,10/11/2025,21/11/2025
PPH36,Tegel Foods Limited,"3-5 Bruce McLaren Road, Henderson, Auckland",Henderson,,Auckland,New Zealand,third-country,ABP-SH,,,,CAT3 - Category 3,11/12/2018,29/11/2024
PPH16,Tegel Foods Limited,,Christchurch,8082,"Christchurch City,Canterbury",New Zealand,third-country,ABP-SH,,,,CAT3 - Category 3,08/09/2005,29/11/2024
PPH26,Tegel Foods Limited,"Paraite Road, Bell Block",New Plymouth,4310,"New Plymouth District,Taranaki",New Zealand,third-country,ABP-SH,,,,CAT3 - Category 3,08/12/2011,29/11/2024
ME888,Waimarie Meats Limited Partnership trading as Waimarie Meats,"2 Gilberd Street, Castlecliff",Wanganui,,Manawatu-Wanganui,New Zealand,third-country,ABP-SH,,,,CAT3 - Category 3,28/07/2022,17/08/2022
AB52,Wilson Hellaby Limited T/a Ruakura Meat Processors,,Hamilton,2100,"Hamilton City,Waikato",New Zealand,third-country,ABP-SH,,,,CAT3 - Category 3,06/04/2005,29/11/2024
S229,ACFS Port Logistics NZ Limited,"373A Neilson Street, Onehunga",Auckland,0600,Auckland,New Zealand,third-country,FFP,CS,,,CS - Cold Stores,25/07/2025,
ME56.,AFFCO New Zealand Limited,"State Highway 2, Rangiuru",Te Puke,3183,"Western Bay of Plenty District,Bay of Plenty",New Zealand,third-country,FFP,CS,,,CS - Cold Stores,,
ME23,AFFCO New Zealand Limited,State Highway 1,Horotiu,2100,"Waikato District,Waikato",New Zealand,third-country,FFP,CS,,,CS - Cold Stores,,
L44616,Adelaide Pearl,Adelaide Pearl,Auckland,0600,Auckland,New Zealand,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
517,Alaron Products Limited,"13 Bolt Road, Tahunanui",Nelson,7010,Nelson,New Zealand,third-country,FFP,PP,,,PP - Processing Plant,,
L15874,Albatross II,Albatross II,Timaru,7910,"Timaru District,Canterbury; 8409111	15/04/2026",New Zealand,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
L62713,Aleksey Slobodchikov,Aleksey Slobodchikov,Nelson,7010,Nelson,New Zealand,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ME40,Alliance Group Limited,"Main Road, Stoke",Nelson,7010,Nelson,New Zealand,third-country,FFP,CS,,,CS - Cold Stores,,
L62373,Amaltal Apollo,Amaltal Apollo,Nelson,7010,Nelson,New Zealand,third-country,FFP,FV,,,FV - Factory Vessel,,
PH475,Amaltal Atlantis,Amaltal Atlantis,Nelson,7010,Nelson; 8901482,New Zealand,third-country,FFP,FV,,,FV - Factory Vessel,,
PH384,Amaltal Columbia,Amaltal Columbia,Nelson,7030,Nelson,New Zealand,third-country,FFP,FV,,,FV - Factory Vessel,28/06/2022,
PH622,Amaltal Enterprise,Amaltal Enterprise,Nelson,7010,Nelson; 8619534	03/09/2026,New Zealand,third-country,FFP,FV,,,FV - Factory Vessel,,
PH46,Amaltal Explorer,Amaltal Explorer,Nelson,7010,Nelson,New Zealand,third-country,FFP,FV,,,FV - Factory Vessel,,
S2013,Americold NZ Limited,"27 Dalgety Drive, Manukau City",Auckland,2583,Auckland,New Zealand,third-country,FFP,CS,,,CS - Cold Stores,,
S105,Americold NZ Limited,"1 Smarts Road, Hornby",Christchurch,8082,"Christchurch City,Canterbury",New Zealand,third-country,FFP,CS,,,CS - Cold Stores,,
S28,Americold NZ Limited,"4 Paisley Place, Mt Wellington",Auckland,0600,Auckland,New Zealand,third-country,FFP,CS,,,CS - Cold Stores,,
PH375,Amoa Seafoods Limited,6 Pragnell Street,Masterton,5871,"Masterton District,Wellington",New Zealand,third-country,FFP,PP,,,PP - Processing Plant,,
PH129,Aotearoa Fisheries Limited,"1-3 Bell Avenue, Westfield",Auckland,2583,Auckland,New Zealand,third-country,FFP,PP,,,PP - Processing Plant,,
PH193,Aotearoa Fisheries Limited,Wharf Road,Waitangi,8942,Chatham Islands,New Zealand,third-country,FFP,PP,,,PP - Processing Plant,,
PH35,Aroma (N.Z.) Limited,"12 Senior Place, Bromley",Christchurch,8011,"Christchurch City,Canterbury",New Zealand,third-country,FFP,PP,,,PP - Processing Plant,,
AROMA4,Aroma (N.Z.) Limited,1 Rangitane Drive,Havelock,7100,Marlborough,New Zealand,third-country,FFP,PP,,,PP - Processing Plant,,
