approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
#109,Empresa Empacadora De Carne Nicaraguense,"Km. 182, carretera Panammericana Norte, Condega",Esteli,31000,"Estelí (Municipio),Estelí",Nicaragua,third-country,ABP-SH,,,,CAT3 - Category 3,,
#4,"Industrial Comercial San Martin, S.A",Km. 67 ½ carretera a Nandaime-Granada,Granada,41000,"Granada (Municipio),Granada",Nicaragua,third-country,ABP-SH,,,,CAT3 - Category 3,,
#8,"Matadero Central, S.A.",Km. 130 carretera a Matagalpa-Juigalpa,Juigalpa,55000,"Juigalpa (Municipio),Chontales",Nicaragua,third-country,ABP-SH,,,,CAT3 - Category 3,,
#2,"Novaterra, S.A",Km. 42 Carretera Norte Vía hacia Matagalpa,Matagalpa,61000,"Matagalpa (Municipio),Matagalpa (Departemento)",Nicaragua,third-country,ABP-SH,,,,CAT3 - Category 3,,
#5,"Nuevo Carnic, S.A.",Km. 10 ½ carretera norte 800 mts al lago,Managua,11012,"Managua (Municipio),Managua",Nicaragua,third-country,ABP-SH,,,,CAT3 - Category 3,,
A 9335-018,ACOPIO ASKILL KEY,Bluefields,Pearl Lagoon,81000,"Laguna de Perlas (Municipio),South Atlantic Autonomous Region",Nicaragua,third-country,FFP,PP,,,PP - Processing Plant,30/11/2022,
9110-214,"ALIMENTOS INDUSTRIALES S,A (ALINSA)","Barrio Libertad, del portón de planta ENEL 2 cuadras al este",Bilwi (Puerto Cabezas),71000,"Puerto Cabezas (Municipio),North Carribean Coast Autonomous Region",Nicaragua,third-country,FFP,PP,,,PP - Processing Plant,07/08/2026,
123,ANDREA 1,Managua,Managua,14252,"Managua (Municipio),Managua",Nicaragua,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
A 9340-049,"Acopio Central American Fisheries S.A (CAF, S.A.)",Bluefields,Bluefields,81000,"Bluefields (Municipio),South Atlantic Autonomous Region",Nicaragua,third-country,FFP,PP,,,PP - Processing Plant,30/11/2022,
A 9335-051,Acopio Martinez,Corn Island,Bluefields,81000,"Bluefields (Municipio),South Atlantic Autonomous Region",Nicaragua,third-country,FFP,PP,,,PP - Processing Plant,30/11/2022,
A 9335-017,Acopio Promar,Corn Island,Bluefields,81000,"Bluefields (Municipio),South Atlantic Autonomous Region",Nicaragua,third-country,FFP,PP,,,PP - Processing Plant,30/11/2022,
6005-215,"Alimentos Industriales de Nicaragua S,A (ALINSA)","Comarca el Portillo, Puente el Arenal 800 mts a Cofradia, Municipio Nindiri, Departamento Masaya.",Nindirí,41000,"Nindirí (Municipio),Masaya",Nicaragua,third-country,FFP,PP,,,PP - Processing Plant,08/05/2026,
505-10,"Camanica Zona Franca, S.A.","Km 130 carretera Leon-Chianandega, Chinandega Nicaragua",Chinandega,25000,"Chinandega (Municipio),Chinandega",Nicaragua,third-country,FFP,PP,,,PP - Processing Plant,,
A 9110-020,Cayos Daimans,Puerto Cabeza,Bilwi (Puerto Cabezas),71000,"Puerto Cabezas (Municipio),North Carribean Coast Autonomous Region",Nicaragua,third-country,FFP,PP,,,PP - Processing Plant,30/11/2022,
A 9110-025,Cayos Maras,"Bilwi, Puerto Cabezas",Bilwi (Puerto Cabezas),71000,"Puerto Cabezas (Municipio),North Carribean Coast Autonomous Region",Nicaragua,third-country,FFP,PP,,,PP - Processing Plant,19/01/2026,
A 9110-019,Cayos Maras,Puerto Cabeza,Bilwi (Puerto Cabezas),71000,"Puerto Cabezas (Municipio),North Carribean Coast Autonomous Region",Nicaragua,third-country,FFP,PP,,,PP - Processing Plant,30/11/2022,
A 9110-021,Cayos Miskuta,Puerto Cabeza,Bilwi (Puerto Cabezas),71000,"Puerto Cabezas (Municipio),North Carribean Coast Autonomous Region",Nicaragua,third-country,FFP,PP,,,PP - Processing Plant,30/11/2022,
A 9110-026,Cayos Miskuta,"Bilwi, Puerto Cabezas",Bilwi (Puerto Cabezas),71000,"Puerto Cabezas (Municipio),North Carribean Coast Autonomous Region",Nicaragua,third-country,FFP,PP,,,PP - Processing Plant,19/01/2026,
505-8,Central American Fisheries S.A.,"Corn Island, Region Autonoma Costa Caribe",Bluefields,81000,"Bluefields (Municipio),South Atlantic Autonomous Region",Nicaragua,third-country,FFP,PP,,,PP - Processing Plant,31/01/2022,
505-2,Grupo Marazul S.A.,"Barrio Aeropuerto - Bilwi, Atlántico Norte",Bilwi (Puerto Cabezas),71000,"Puerto Cabezas (Municipio),North Carribean Coast Autonomous Region",Nicaragua,third-country,FFP,PP,,,PP - Processing Plant,31/01/2022,
505-4,PASENIC S.A. /(PROMARNIC),"Puerto Cabezas, Atlántico Norte",Bilwi (Puerto Cabezas),71000,"Puerto Cabezas (Municipio),North Carribean Coast Autonomous Region",Nicaragua,third-country,FFP,PP,,,PP - Processing Plant,19/01/2026,
505-19,Pasenic,"Corn Island, Atlantico Sur",Bluefields,81000,"Bluefields (Municipio),South Atlantic Autonomous Region",Nicaragua,third-country,FFP,PP,,,PP - Processing Plant,31/01/2022,
505-52,Pescatun I,,Managua,14252,"Managua (Municipio),Managua; 7305409	19/08/2026",Nicaragua,third-country,FFP,ZV ZVB,,,ZV - Freezer Vessel | ZVB - Freezer vessel freezing tuna in brine at -18°C,,
505-53,Sea Tuna I,,Managua,14252,"Managua (Municipio),Managua; 7123473	18/08/2026",Nicaragua,third-country,FFP,ZV ZVB,,,ZV - Freezer Vessel | ZVB - Freezer vessel freezing tuna in brine at -18°C,,
